src,dst
212155,212128
50491,50462
127047,126940
54342,53007
199868,198753
139978,140194
130141,129898
121906,121877
199253,199227
150984,149620
81078,81050
205359,205792
107387,107389
114371,114461
53536,53165
113269,113343
157774,157705
80679,80684
214806,214733
80150,79530
92042,92332
114918,114010
92019,91273
136574,135911
16786,14677
50541,50470
168231,168223
50452,50436
139951,138469
130785,130721
148231,148203
143514,142815
143162,143059
15334,15296
209548,209529
168516,225122
97059,97053
163782,163596
114140,114223
91688,91789
201380,201162
5916,4821
53827,52961
200856,198475
132319,132220
9123,8938
135726,135613
40924,39876
127403,126802
126448,124413
2404,1529
166512,166457
112429,112379
131508,131798
212893,212880
127810,127916
112765,112790
58792,58793
116088,116089
120391,120341
18886,18693
15995,13286
12849,12646
13853,13738
216738,216742
204734,203837
201158,198753
208238,208277
219621,219532
41749,40138
44755,44042
56899,56842
210263,210135
82581,79580
204493,204293
5314,4712
151594,151726
197273,197303
104456,104457
54657,54630
129010,129614
165521,165565
80747,79825
48141,48144
159839,159764
91074,91022
13594,13281
160991,160982
53861,52961
137875,137756
83102,83085
43302,41393
200355,198753
172277,172199
174249,174081
120322,120311
169940,169806
203472,203181
53055,52734
92738,92584
39119,39212
157521,157493
47592,48173
45010,45208
14876,13539
201472,201162
112948,113391
19716,19717
56416,52379
9938,9656
41168,40138
105751,105557
203408,203201
52946,52734
102679,101744
46328,46228
7248,6891
200343,198753
91775,91136
138325,138227
168715,168691
137576,137421
231060,83359
15339,15296
91461,91462
5894,4821
82496,82497
3011,829
52923,52992
125827,126467
124154,124333
40975,40644
231051,78942
112417,112404
176217,176065
81509,79857
6152,4737
96887,96666
92298,91305
138509,138476
41742,41265
158731,158707
211632,211580
173689,174081
40937,39868
208167,208270
92033,91832
133667,133668
83878,84068
79627,79600
82596,80422
58440,58441
197156,197089
213940,213917
170756,170765
207098,204879
168611,168547
14983,15820
16235,13613
49753,49659
90683,90218
207112,203578
166756,166857
54786,54739
127536,127206
80717,80642
41031,40636
54250,55232
2720,905
