src,dst
23913,23930
49737,40811
24848,23382
24758,24500
44544,43398
40875,40922
53783,53773
3239,3266
23998,23382
6021,6001
6876,6312
2241,2231
29268,29209
24342,23412
3202,2688
25941,23692
3223,2874
23905,23556
21826,21786
41695,41596
45670,47039
51089,51090
30421,21648
43562,43484
4308,3977
28943,26806
8001,1036
23979,25657
26733,26716
49606,40811
25041,27589
28961,26806
7567,7436
41840,41581
3583,3769
54823,54798
51077,51037
3966,2700
22621,22637
24708,23370
26704,21607
45641,44302
9461,9463
46481,46484
55354,42216
6575,316
23798,21718
25946,21688
24601,23659
29701,29670
4462,4754
9589,261
21894,21834
7272,6124
3460,2717
3515,2688
44130,44014
24098,21165
2315,2344
24093,23382
55194,55195
2271,1187
52116,50725
4359,6907
9391,9356
9671,966
28823,28827
24180,24451
24653,24062
1117,1104
25337,25265
7530,7406
56147,56435
24524,23382
8242,8100
10371,10109
3300,2688
30429,30416
50054,48493
2334,2386
46153,47861
3586,2680
21366,21165
25345,23362
3161,4376
3841,3866
24494,24017
4665,2688
4230,2676
9229,9230
23672,23659
29107,25705
4907,738
44319,43820
57934,57905
57350,57619
42188,48493
9110,2938
27383,27323
24447,28088
3814,3217
8730,4854
8214,8216
4830,6522
1681,1187
3935,3896
29404,25536
27234,27132
30951,30830
3548,7278
1126,1104
30123,30124
30993,20765
10249,10109
41236,43398
45090,45279
4527,2688
42678,42570
51989,51917
4298,2717
45501,44403
30638,28600
21992,21975
28968,26806
3007,905
22836,22816
57488,57493
46208,46179
23828,24240
9306,9209
24856,23867
25078,25020
24550,23574
10105,10095
3373,2688
1551,9562
45277,44087
44877,44108
46131,44099
25557,25536
29031,28767
1637,1638
46358,48493
44149,44014
46166,44139
44502,46423
4985,316
23495,23488
51069,51012
54626,54551
44611,45564
44995,44302
49651,48022
46021,47155
25171,27024
30405,23724
45366,45477
5892,4854
25747,25657
5416,1318
28944,28788
7720,7671
24972,23399
23495,23485
24087,27255
53192,53761
2351,722
3793,2680
46084,44285
44921,44108
4827,5009
44887,44302
41637,41641
44976,44087
29678,29670
27688,25705
45167,46332
23767,23590
24163,23574
25249,25265
57358,57624
24841,23362
1557,1445
54208,55001
24602,23574
27503,25705
24693,28088
2266,5166
28964,26806
45805,44087
47969,47930
46966,53187
3193,2717
43545,43484
611,692
28880,28794
23354,23301
26377,21387
45554,45457
49998,51545
24445,23370
54766,54328
24721,23574
52878,52583
46351,44285
47769,47757
4674,4649
41509,41489
3195,2680
24705,24613
24867,27589
57377,57619
41690,41596
44647,45067
44864,44096
45612,45329
10311,83
46002,44302
21823,21786
4713,2717
48796,48811
8732,738
25304,25373
3155,3562
41789,48187
3983,2717
3547,2977
45791,46359
30102,30038
3536,2700
25340,23362
24591,23412
22398,21607
24367,23399
6724,316
3251,3259
6889,6861
28851,28854
43536,43484
24475,23362
47430,47412
31079,20837
42485,50725
7977,7996
3225,2676
21922,21869
41248,43398
29795,29206
47674,47507
25401,23399
49926,50104
41374,43574
27796,26806
4445,3986
46101,50308
43206,43110
7964,1036
30143,30145
53029,53031
1483,1420
43012,42968
53891,53863
8252,8100
22433,21858
28212,28088
1493,1445
41754,41581
44181,44014
21558,21494
4522,4734
45445,44302
42665,47039
30188,29804
56742,55728
47749,47507
25843,25814
45328,44952
2961,2925
7373,6522
24526,23399
24864,23659
29169,29162
43897,43853
28754,25705
9629,3042
4312,2688
45668,44305
9520,9443
49700,49516
7303,7278
8251,6124
46305,47861
3919,2977
45209,44139
47334,50104
4080,2680
45180,44679
24575,21404
1591,1187
45615,48022
44794,44943
25592,25536
23675,23574
45369,44108
41930,47039
3416,483
23939,23941
44394,44370
44229,44014
45822,50379
45375,44126
9723,2971
29387,26806
4238,2717
57262,57619
42720,48187
22948,25848
51337,50379
20680,20590
3753,2717
55346,55280
43516,43484
6868,5201
8715,6124
46086,44083
23818,23855
46293,44126
3803,2688
44783,44096
5129,5063
45899,44108
1134,1104
45195,44126
45233,52000
30339,30250
29583,29418
24154,27782
1381,1413
57566,57144
55348,48187
7147,316
28664,23632
42399,48493
45922,44087
49046,50566
29315,29287
29784,25705
57592,57624
24792,24782
43008,42968
49726,40811
56804,55728
30191,21718
3393,2892
9441,9442
27160,27091
57022,57459
8141,8145
9631,9568
9027,6721
45289,45299
57297,57624
3369,2896
10275,10076
50137,50127
1769,1772
41035,41072
44909,44108
45725,44820
3310,3444
46167,46179
24927,25265
24680,23382
29038,28767
24261,23399
45883,44139
55374,55597
25235,25179
44897,44108
30353,21648
49612,52261
46228,44083
57634,57638
3758,2981
41884,41581
24036,25705
3100,2916
46041,52000
53949,40951
8283,8100
46301,44126
25336,23358
29396,25745
27904,26994
51929,50104
3168,2717
24926,23362
46961,50725
4020,2676
3743,2874
3347,2994
156,55
24508,23382
7255,316
3789,2676
8374,6124
4393,2892
565,688
27065,21387
3333,2680
