src,dst
145618,46532
52497,150724
72368,72281
110764,150724
68597,65745
107338,150724
127795,150662
8923,47860
148011,48159
148986,49278
3087,48278
67871,65745
73166,73009
128940,150662
2024,2027
126541,150724
73098,73009
149147,49278
26273,26332
147568,47925
84512,150724
129341,150724
25764,25991
48895,49911
68430,65745
53275,150662
68757,65745
124526,150662
42047,49700
126837,150724
74403,73491
50314,50275
149993,49794
32539,49700
12879,13435
132493,132219
84843,150724
32927,32956
15216,15413
149632,49611
127642,150724
13342,13435
43011,43012
123539,150662
28823,29018
68335,65745
68270,65753
32230,32173
71685,150724
67536,65745
50037,49097
125207,150724
52549,151242
66495,65745
11042,11054
21576,49611
73740,73491
70761,150662
73245,73009
72496,72281
47884,47901
9547,9495
111534,111693
145881,46598
80829,150724
147738,47901
63622,63550
147302,47630
126909,150724
8679,49053
73558,73491
18580,19335
64580,64781
143892,150662
145920,46694
149229,49278
68361,65745
108330,150724
73726,73491
31605,31621
150622,50073
128324,150724
103749,150724
84949,150662
145655,46532
145784,46598
66873,65745
37656,39911
60755,49072
68522,65745
36815,36878
107401,150724
110713,150662
124799,150662
147396,47642
41805,49700
26237,26326
43694,43697
148118,48200
1200,1218
66630,65745
109045,150662
66830,65745
32103,32112
109021,150662
43640,48259
149456,49497
23926,39516
74110,73491
147429,47642
46554,49153
149500,49523
81791,150724
48052,48039
13105,48002
73999,73491
110284,150662
1711,1736
68069,150662
46207,46406
68220,65753
149595,49611
18964,19228
14719,48400
149407,49463
87651,150724
41486,49153
148887,49278
14264,14797
110739,150662
2305,48002
78214,150662
73272,73019
31872,31769
30986,46459
66543,65745
150101,49794
80283,150724
86275,150724
147239,47508
68705,65745
36395,37111
111738,111888
147709,47901
86271,150724
63366,63107
65680,9303
10195,9507
53300,150662
126823,150724
148526,49053
74642,74613
148905,49278
103655,150724
74651,74613
594,2613
16295,16432
43105,43150
16136,49047
42922,48296
66581,65745
34208,48460
31004,31148
18426,48305
125017,150662
26972,3744
147774,47944
41232,48229
72210,150724
68888,65745
147764,47944
27929,48305
33113,47735
125330,150662
44759,44778
65586,9238
67017,65745
110300,150662
41025,46516
68382,65745
74485,74410
37338,48002
64607,64781
68066,65745
107235,150724
73405,73491
72427,72289
67419,65745
68498,65745
72532,72281
66201,65745
20868,47735
89441,150724
129210,150724
11204,48002
65647,9278
63736,63107
9831,9770
10883,46781
81060,150724
86594,150662
110294,150662
61956,61946
41490,49153
2474,48002
1899,1991
69188,150662
23459,23434
122814,150724
36800,48259
9898,9925
122819,150724
74210,73491
84883,150724
123515,150724
50042,49047
1552,1645
74184,73491
110843,150724
88357,150662
151123,151054
89290,150724
50096,50205
149255,49352
66162,65745
10165,10170
27562,46459
11228,11525
42224,48259
27310,46694
29734,46784
72403,72289
36126,36131
16264,16194
88945,150724
14414,14797
129215,150724
29549,29647
128607,150724
68471,65745
76480,150724
72444,72281
65589,9238
148719,49463
72402,72281
2906,49911
71414,150724
40351,50073
72519,72289
25886,25991
44636,47798
89313,150724
72468,72281
143866,150662
31554,50073
72531,72289
150039,49794
125221,150724
86048,150724
81716,150662
147848,48002
26259,26317
38506,48002
51662,2613
124720,150724
68077,150662
42276,42187
9846,9854
79356,150724
65704,9303
40589,48292
148974,49278
9568,9495
67726,65745
102259,150724
71831,71512
68086,150662
128390,150662
128984,150724
148189,48229
67756,65745
14468,14797
149413,49463
9609,9716
66505,65745
10022,48437
126537,150724
41335,49700
105020,150724
73957,73491
128993,150724
124269,150724
9730,9740
147487,47642
146833,47508
43524,49153
38831,47735
73938,73543
120218,150662
34310,34271
2909,48088
86285,150724
16527,48400
147594,47925
128077,150724
73037,73009
73116,73009
50786,50731
106733,150724
46352,46406
148173,48229
1601,1645
33437,39833
1567,1645
149597,49611
150549,50073
75299,150724
149175,49278
71463,150724
46271,46406
149159,49278
47589,47630
46484,3713
9589,9491
29977,29982
74579,74525
147827,48002
47762,3744
10708,11547
72494,72281
72437,72289
9658,9491
78003,150724
86992,150724
46719,46710
24366,48002
150084,49794
37639,48002
63354,63107
88984,150662
46625,3713
34506,34488
16277,16211
31275,49123
79307,150724
147346,47642
148764,49523
11506,50029
20394,48400
87001,150724
16776,48430
128313,150724
27565,27615
76498,150724
149545,49352
37218,37111
132529,132219
79349,150724
30286,48002
72894,150724
34084,48002
148762,49523
127803,150662
68536,65745
79845,150724
124213,150662
1577,1645
26024,25986
9269,9224
63618,63550
45907,45852
16707,48305
147013,47508
43214,43179
124222,150662
28790,49700
32270,49700
149912,49767
9617,9716
10294,9507
46514,46473
145967,46694
9543,9495
127980,150662
35123,48002
10183,9507
150553,50073
66492,65745
125350,150662
149185,49278
41254,41235
67567,65745
9668,9491
86050,150724
149075,49278
10416,10420
148627,49153
145352,150662
147046,47508
67193,65745
16050,15862
148025,48159
2467,48002
34639,49611
52093,52043
32222,50073
41632,41624
46552,48253
68045,150662
32105,32129
49545,49497
148789,49497
10007,10012
145861,46598
1869,1991
148998,49278
146021,46694
70944,71026
27885,28038
149135,49278
29902,48002
145973,46694
127951,150662
89435,150724
14418,14797
74700,74613
149029,49278
41101,48305
128915,150662
132485,132219
54025,2613
150289,49890
143889,150662
74497,74410
62015,61946
64572,64781
124733,150662
52630,52345
72410,72281
84463,150724
52770,150724
12891,13435
70932,71026
3107,49911
62007,61946
28737,28791
50441,50349
33726,33745
66601,65745
67877,65745
16402,16350
68232,65753
27317,46459
79362,150724
33879,33885
86147,150724
25660,48002
34291,34271
88941,150724
88307,150662
14283,14797
10279,9495
150373,49942
73979,73491
38277,48002
63654,63550
146935,47508
68830,65745
110448,150724
69138,65745
597,48002
124424,150662
132499,132219
68029,65745
17120,16955
26978,26984
68510,65745
68063,65745
68659,65745
73667,73491
68153,65753
2010,2027
42273,42187
33573,47715
20186,20205
27307,46459
132473,132219
68486,65745
10231,10239
127565,150662
67597,65745
150482,50060
17491,17254
51552,2613
13270,13435
72445,72289
125213,150724
72196,72215
47719,48305
1609,1645
85850,150724
37518,39890
9534,9491
50602,50491
31237,31339
40986,3713
128094,150724
120403,150724
68873,65745
68594,65745
22497,48002
119407,150662
68514,65745
74665,74613
43152,42563
123309,150662
75116,150724
63630,63550
9643,9491
110138,150662
72436,72281
81174,150724
68894,65745
50407,50466
49751,49911
66727,150724
72507,72289
28803,29000
24503,47735
146872,47508
141102,48309
150031,49794
17428,48400
102882,150724
123089,150724
53999,49911
27724,48305
72975,150724
9961,9976
79369,150724
31286,31287
147296,47630
73628,73491
71897,71512
80807,150724
127056,150724
67348,65745
68082,150662
74007,73491
149480,49523
89724,150662
128120,150662
31951,49700
81609,150724
148343,48253
81595,150724
15209,15413
149201,49278
68228,65753
85015,150724
105026,104945
148942,49278
89722,150662
72649,72289
46202,46406
147334,47642
33007,50009
31903,31769
39763,50009
67619,150662
80898,150724
66845,65745
150212,49794
123080,150724
111852,111888
26983,26984
18453,48315
146141,46724
3450,48309
72849,150724
46316,46432
149613,49611
128166,150724
73812,73491
68448,65745
72495,72289
147972,48002
36523,48002
71079,71487
149660,49611
43760,48002
120385,150662
149740,49700
149059,49278
49552,49590
126425,150662
26246,26301
148951,49278
124429,150662
29553,46459
15536,49153
17752,18399
29636,29515
20603,48002
18231,18399
74654,74613
74399,73491
13310,13435
12946,13435
2751,2788
147220,47508
2022,2027
127282,150662
66705,150724
73825,73491
150021,49794
88354,150662
74692,74613
128411,150662
125348,150662
31216,31303
1763,1820
3066,3101
42614,49700
61981,61946
85479,150662
25856,26015
68306,65745
68781,65745
10310,9507
71931,71512
36358,36381
73682,73491
63425,63107
53904,150662
2115,2246
30835,48002
34361,34200
12838,13435
1181,1218
150539,50073
30459,30396
9676,9495
30300,30315
149083,49278
11552,48309
147650,47925
63481,63107
74178,73491
151087,150858
81732,150662
17994,18399
150945,150858
35284,48002
9602,9712
39645,49153
14459,14797
67614,65745
9578,9491
25827,26068
68966,65745
149349,49352
1961,1991
89753,150662
1539,1645
2953,2962
8935,8948
74202,73491
148864,49278
39848,39833
147330,47642
21667,47642
67616,150662
149411,49463
65562,9238
68125,65753
26005,25986
17314,17254
147766,47944
74409,73491
146485,46505
66515,65745
52501,150724
3412,3505
111761,111927
68733,65745
68749,65745
73586,73491
43526,48253
66124,65745
147525,47642
102509,150724
72416,72281
25806,25991
35609,48002
30858,30870
19212,19591
146444,46505
66218,65745
27749,27763
21562,48002
74998,150724
148373,48887
126710,150662
89616,150724
45484,45465
66637,65745
10210,10420
150831,150845
46128,48002
125727,150724
32031,49134
1716,1736
151119,150957
67103,65745
68484,65745
16382,49911
150128,49794
145489,46459
120371,150662
132445,132219
74099,73491
42980,48309
72931,150724
149342,49352
12922,13435
62047,62038
147223,47508
107017,150724
29777,46757
50870,50731
74372,73543
72483,72289
149008,49278
33449,49682
67697,65745
145823,46598
73971,73491
150917,150858
53481,150662
41270,41265
1156,1218
9518,9710
148970,49278
88323,150662
30166,30178
150364,49942
149101,49278
53259,150662
