Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js supportsColor 44 19 187
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 47 16 189 =======> 0.077654704452
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 51 17 191 =======> 0.077654428780
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 55 36 194 =======> 0.763864934444
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js stylize 60 31 201 =======> 0.913817405701
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 78 25 219 =======> 0.699476301670
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js build 85 0 227 =======> 0.823717236519
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js builder 86 16 232 =======> 0.814972102642
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 96 14 243 =======> 0.785397768021
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 99 34 253 =======> 0.627484798431
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 103 11 260 =======> 0.433445602655
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js colors 111 24 268 =======> 0.888668239117
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js applyStyle 113 0 269 =======> 0.337643057108
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 116 21 281 =======> 0.718531310558
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 138 38 312 =======> 0.860117375851
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 147 18 317 =======> 0.741049647331
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 159 5 328 =======> 0.768834888935
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 160 22 329 =======> 0.432037919760
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js init 174 0 340 =======> 0.763982772827
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 176 30 346 =======> 0.678688645363
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 178 11 349 =======> 0.434168696404
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js sequencer 186 16 356 =======> 0.880594015121
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 204 3 385 =======> 0.769433796406
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 205 18 386 =======> 0.494973033667
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/custom/zalgo.js randomNumber 79 22 558
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/custom/zalgo.js zalgo 2 20 492 =======> 0.015961263329
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/custom/zalgo.js randomNumber 43 2 510 =======> 0.855658411980
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/custom/zalgo.js isChar 48 2 521 =======> 0.145845830441
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/custom/zalgo.js nan 50 15 528 =======> 0.107645474374
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/custom/zalgo.js heComes 57 2 531 =======> 0.298808276653
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js strip 16 11 613
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 47 16 189 =======> 0.030342454091
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 51 17 191 =======> 0.030342454091
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 55 36 194 =======> 0.551397919655
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js stylize 60 31 201 =======> 0.900164246559
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 78 25 219 =======> 0.447293132544
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js build 85 0 227 =======> 0.665000021458
