Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js highlightTags 194 6 294
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js nan 43 25 151 =======> 0.001247948967
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js nan 48 23 156 =======> 0.000037576054
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js nan 61 24 166 =======> 0.001680566464
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js nan 72 13 173 =======> 0.000497857283
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js nan 74 21 175 =======> 0.064191550016
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js nan 82 20 189 =======> 0.004723298363
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js timeslice 97 0 202 =======> 0.003997102845
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js nan 113 27 219 =======> 0.020171955228
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js nan 125 19 226 =======> 0.003290238557
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js nan 126 36 229 =======> 0.006491565146
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js nan 137 11 233 =======> 0.114955395460
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js nan 147 14 241 =======> 0.026793194935
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js nan 156 12 257 =======> 0.239391997457
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js nan 159 13 260 =======> 0.000423328282
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js nan 171 12 267 =======> 0.005183923524
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js nan 186 41 287 =======> 0.108102947474
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js nan 222 10 299 =======> 0.001288124709
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/browser/highlight-tags.js highlight 10 0 828 =======> 0.000001561651
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/browser/highlight-tags.js highlightTags 34 17 843 =======> 0.000000110436
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/browser/parse-query.js parseQuery 10 17 864 =======> 0.258898794651
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/browser/parse-query.js nan 14 12 874 =======> 0.021852955222
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/config.js js 75 15 1205
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/config.js nan 38 8 1157 =======> 0.665318489075
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/config.js nan 39 6 1165 =======> 0.756614327431
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/config.js nan 52 8 1184 =======> 0.934829354286
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/config.js nan 66 21 1192 =======> 0.852138042450
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/config.js nan 94 21 1216 =======> 0.003351800842
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js nan 16 20 2546 =======> 0.000002343284
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js nan 21 21 2554 =======> 0.000010818519
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js nan 34 18 2560 =======> 0.000007087140
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js nan 50 13 2569 =======> 0.000045771892
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createNoFilesMatchPatternError 191 0 2598 =======> 0.000019872728
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidReporterError 206 0 2608 =======> 0.000000112306
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidInterfaceError 222 0 2615 =======> 0.000001472446
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createUnsupportedError 237 0 2622 =======> 0.276573657990
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createMissingArgumentError 253 0 2627 =======> 0.000170867890
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidArgumentTypeError 267 0 2634 =======> 0.000006037283
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidArgumentValueError 287 0 2640 =======> 0.000135675175
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidExceptionError 304 0 2649 =======> 0.000000303076
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createFatalError 320 0 2656 =======> 0.000000163239
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidLegacyPluginError 338 0 2662 =======> 0.000000042377
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidPluginError 360 0 2676 =======> 0.000000054357
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createMochaInstanceAlreadyDisposedError 372 0 2684 =======> 0.000000082623
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createMochaInstanceAlreadyRunningError 390 0 2691 =======> 0.000000131669
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createMultipleDoneError 406 0 2696 =======> 0.000000009665
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createForbiddenExclusivityError 443 0 2724 =======> 0.000007100196
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidPluginDefinitionError 461 0 2732 =======> 0.000000055802
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidPluginImplementationError 478 0 2738 =======> 0.000000273067
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createTimeoutError 497 0 2747 =======> 0.000000014068
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createUnparsableFileError 513 0 2753 =======> 0.101468347013
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js nan 527 21 2761 =======> 0.000009868625
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/utils.js nan 35 17 8057 =======> 0.099111527205
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/utils.js nan 46 19 8067 =======> 0.001184141729
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/utils.js nan 57 15 8072 =======> 0.126004889607
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/utils.js nan 71 16 8082 =======> 0.020073805004
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/utils.js emptyRepresentation 107 0 8103 =======> 0.000223269642
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/utils.js canonicalType 143 45 8120 =======> 0.005271400791
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/utils.js type 177 15 8139 =======> 0.017261145636
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/utils.js nan 213 20 8168 =======> 0.161104768515
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/utils.js nan 229 37 8194 =======> 0.000003018894
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/utils.js jsonStringify 260 0 8215 =======> 0.000001591040
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/utils.js repeat 275 2 8237 =======> 0.000018172974
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/utils.js _stringify 279 2 8245 =======> 0.000001579178
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/utils.js canonicalize 359 23 8308 =======> 0.000405801373
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/utils.js withStack 365 2 8314 =======> 0.004344138782
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/utils.js nan 384 23 8334 =======> 0.276829153299
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/utils.js nan 385 37 8337 =======> 0.001875399030
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/utils.js nan 404 23 8353 =======> 0.061836361885
