Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js format 158 0 108
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js morgan 59 0 30 =======> 0.862077116966
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js logger 103 9 73 =======> 0.815129101276
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js logRequest 116 4 86 =======> 0.388432472944
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js developmentFormatLine 183 21 115 =======> 0.221534982324
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getUrlToken 212 20 138 =======> 0.334478884935
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getMethodToken 220 23 144 =======> 0.610589921474
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getResponseTimeToken 228 30 149 =======> 0.481783390045
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getTotalTimeToken 246 27 163 =======> 0.502089798450
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getDateToken 266 21 178 =======> 0.440196216106
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getStatusToken 283 23 198 =======> 0.612155199051
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getReferrerToken 293 25 206 =======> 0.451981663704
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getRemoteUserToken 307 28 214 =======> 0.426896393299
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getHttpVersionToken 321 29 223 =======> 0.405010342598
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getUserAgentToken 329 27 229 =======> 0.497902512550
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getRequestToken 337 20 233 =======> 0.425487637520
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getResponseHeader 350 20 248 =======> 0.224878251553
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js clfdate 371 0 261 =======> 0.531274735928
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js compile 393 0 292 =======> 0.957380473614
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js nan 399 87 305 =======> 0.626851916313
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js createBufferStream 422 0 321 =======> 0.194125741720
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js flush 427 2 327 =======> 0.007964100689
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js write 434 2 332 =======> 0.476757973433
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js format 454 0 341 =======> 0.939047157764
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getFormatFunction 467 0 343 =======> 0.070304550231
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getip 485 0 350 =======> 0.323709100485
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js headersSent 500 0 355 =======> 0.763710796833
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js pad2 515 0 362 =======> 0.877751708031
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js recordStartTime 527 0 368 =======> 0.104470945895
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js token 541 0 371 =======> 0.837993204594
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js token 307 0 213
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js morgan 59 0 30 =======> 0.954341590405
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js logger 103 9 73 =======> 0.935472130775
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js logRequest 116 4 86 =======> 0.865480363369
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js developmentFormatLine 183 21 115 =======> 0.732800364494
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getUrlToken 212 20 138 =======> 0.748551011086
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getMethodToken 220 23 144 =======> 0.894217312336
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getResponseTimeToken 228 30 149 =======> 0.869559586048
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js getTotalTimeToken 246 27 163 =======> 0.825563549995
