Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/__tests__/copy-broken-symlink.test.js copy 35 6 100
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/__tests__/copy-broken-symlink.test.js nan 12 34 58 =======> 0.000013441878
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/__tests__/copy-broken-symlink.test.js nan 17 13 73 =======> 0.000163405639
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/__tests__/copy-broken-symlink.test.js nan 18 27 77 =======> 0.158820182085
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/__tests__/copy-broken-symlink.test.js nan 24 12 85 =======> 0.000464224984
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/__tests__/copy-broken-symlink.test.js nan 26 37 89 =======> 0.000000933925
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/__tests__/copy-broken-symlink.test.js nan 27 57 92 =======> 0.000312144373
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/__tests__/copy-broken-symlink.test.js nan 28 22 94 =======> 0.987500429153
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/__tests__/copy-broken-symlink.test.js nan 34 52 99 =======> 0.000221580063
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/__tests__/copy-broken-symlink.test.js nan 35 45 103 =======> 0.992834568024
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/__tests__/copy-broken-symlink.test.js createFixtures 43 0 107 =======> 0.003149060067
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/__tests__/copy-broken-symlink.test.js nan 44 19 112 =======> 0.754938066006
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js copy 10 0 5195 =======> 0.890201747417
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 18 13 5209 =======> 0.002019972075
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 33 43 5227 =======> 0.001918226480
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 36 54 5239 =======> 0.001001443248
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 38 33 5245 =======> 0.000115072537
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js checkParentDir 48 0 5256 =======> 0.000004783584
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 50 25 5262 =======> 0.001243580598
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 53 23 5272 =======> 0.057484675199
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js runFilter 60 0 5278 =======> 0.000126172003
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 63 10 5289 =======> 0.105757735670
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 63 40 5291 =======> 0.356504082680
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js getStats 66 0 5294 =======> 0.000027205142
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 68 12 5300 =======> 0.000151516084
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js onFile 82 0 5351 =======> 0.000010944508
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js mayCopyFile 87 0 5360 =======> 0.000012076606
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 89 20 5364 =======> 0.028493717313
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js copyFile 98 0 5380 =======> 0.000032519496
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 99 25 5382 =======> 0.006034177262
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js handleTimestampsAndMode 106 0 5394 =======> 0.000082422855
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 111 43 5402 =======> 0.006944959518
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js fileIsNotWritable 119 0 5411 =======> 0.000118906959
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js makeFileWritable 123 0 5413 =======> 0.000016861008
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js setDestTimestampsAndMode 127 0 5416 =======> 0.000232513179
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 128 31 5419 =======> 0.002615728416
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js setDestMode 134 0 5425 =======> 0.000118903452
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js setDestTimestamps 138 0 5429 =======> 0.000111426860
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 142 15 5431 =======> 0.001157128601
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js onDir 148 0 5440 =======> 0.000000457643
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js mkDirAndCopy 153 0 5449 =======> 0.000018391956
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 154 17 5452 =======> 0.009605708532
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 156 29 5457 =======> 0.007071331143
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js copyDir 163 0 5463 =======> 0.000100349615
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 164 18 5466 =======> 0.004020365886
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js copyDirItems 170 0 5474 =======> 0.000068475609
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js copyDirItem 176 0 5486 =======> 0.000043202661
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 179 37 5495 =======> 0.000237389351
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 183 53 5504 =======> 0.002933078445
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 186 50 5511 =======> 0.002549105324
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js onLink 194 0 5517 =======> 0.000006790394
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 195 19 5520 =======> 0.000147355880
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 204 24 5535 =======> 0.000754561333
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js copyLink 231 0 5569 =======> 0.000088491230
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/copy.js nan 232 18 5571 =======> 0.012816296890
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/__tests__/copy-sync-prevent-copying-into-itself.test.js testSuccess 73 15 3021
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/__tests__/copy-sync-prevent-copying-into-itself.test.js nan 24 55 2942 =======> 0.000000007279
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/__tests__/copy-sync-prevent-copying-into-itself.test.js nan 27 13 2948 =======> 0.000010588784
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/__tests__/copy-sync-prevent-copying-into-itself.test.js nan 39 12 2968 =======> 0.000008866812
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fs-extra/lib/copy/__tests__/copy-sync-prevent-copying-into-itself.test.js nan 41 38 2972 =======> 0.000000000633
