Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js getWarnings 141 11 1566
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 16 19 1405 =======> 0.000367501954
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 17 20 1408 =======> 0.003938339185
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 27 48 1431 =======> 0.004173691384
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 40 53 1449 =======> 0.004639738239
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 41 19 1452 =======> 0.000000518436
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 41 25 1453 =======> 0.000000001843
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 42 20 1457 =======> 0.000000021498
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 63 51 1485 =======> 0.003780607134
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 64 19 1487 =======> 0.000001012522
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 64 25 1488 =======> 0.000000003553
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 87 62 1519 =======> 0.002357374178
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 88 19 1521 =======> 0.000001469315
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 88 25 1522 =======> 0.000000004781
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 145 33 1571 =======> 0.003993539140
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 185 33 1619 =======> 0.003955927677
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 202 60 1638 =======> 0.000321744359
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 203 103 1640 =======> 0.002521879971
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 211 22 1651 =======> 0.000000040658
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 215 25 1659 =======> 0.000000003055
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 229 95 1678 =======> 0.002521969844
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 240 22 1686 =======> 0.000000040658
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 244 25 1691 =======> 0.000000003055
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 258 98 1706 =======> 0.002521838062
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 269 22 1714 =======> 0.000000040659
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 273 25 1719 =======> 0.000000003055
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 287 71 1734 =======> 0.002521894407
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 295 22 1742 =======> 0.000000040658
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 299 25 1747 =======> 0.000000003055
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 313 52 1762 =======> 0.002519911155
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 321 22 1770 =======> 0.000000004901
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js getWarnings 181 11 1614
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 16 19 1405 =======> 0.000368157867
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss-loader/test/loader.test.js nan 17 20 1408 =======> 0.003945095465
