Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js nfcall 31 8 62
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js nan 6 41 29 =======> 0.000014065225
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js nan 7 51 32 =======> 0.062843397260
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js nan 11 44 38 =======> 0.003070807550
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js nan 15 42 42 =======> 0.012340882793
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js nan 20 23 46 =======> 0.000571488577
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js nan 26 38 56 =======> 0.001848934684
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js nan 30 27 60 =======> 0.123394109309
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js nan 34 43 65 =======> 0.107005305588
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js nan 38 60 69 =======> 0.074766874313
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js nan 45 37 80 =======> 0.000101362129
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js makeCounter 46 4 81 =======> 0.009529184550
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js nan 48 15 88 =======> 0.000223058989
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js nan 56 49 95 =======> 0.004641480278
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js nan 64 44 106 =======> 0.003080227179
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 29 1 859 =======> 0.585362851620
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 70 30 899 =======> 0.976690113544
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 79 3 904 =======> 0.986904025078
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 97 11 923 =======> 0.095451354980
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 101 15 927 =======> 0.789972484112
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js flush 111 4 946 =======> 0.011548462324
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js runSingle 135 4 963 =======> 0.001595836133
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 160 27 977 =======> 0.643704473972
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 171 15 981 =======> 0.997494697571
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 196 22 991 =======> 0.114195518196
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 205 26 1000 =======> 0.006455955561
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 216 34 1010 =======> 0.000195359447
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 221 30 1014 =======> 0.013515895233
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 226 22 1018 =======> 0.025005133823
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 233 22 1021 =======> 0.024371696636
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 240 24 1024 =======> 0.087053649127
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js uncurryThis 261 0 1034 =======> 0.593180596828
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 262 11 1038 =======> 0.644738972187
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 273 30 1053 =======> 0.415890991688
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 302 31 1077 =======> 0.989464640617
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 314 27 1091 =======> 0.760541856289
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 317 27 1098 =======> 0.381917119026
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 324 37 1108 =======> 0.024895103648
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js Type 325 4 1109 =======> 0.007244373672
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 330 53 1116 =======> 0.027718665078
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 337 33 1128 =======> 0.706560909748
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js isObject 349 0 1142 =======> 0.212914168835
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js isStopIteration 356 0 1146 =======> 0.609066605568
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 369 19 1156 =======> 0.985800683498
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js makeStackTraceLong 378 0 1159 =======> 0.998638451099
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js filterStackString 402 0 1193 =======> 0.616498768330
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js isNodeFrame 415 0 1217 =======> 0.211964309216
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js getFileNameAndLineNumber 420 0 1224 =======> 0.536189436913
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js isInternalFrame 441 0 1249 =======> 0.187360167503
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js captureLine 458 0 1262 =======> 0.538287580013
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js deprecate 478 0 1282 =======> 0.093364268541
