Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js Request 53 9 48
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js initParams 24 0 13 =======> 0.985259413719
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js request 42 0 33 =======> 0.747070848942
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js verbFunc 56 0 50 =======> 0.449311226606
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 58 9 57 =======> 0.737933099270
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 75 14 77 =======> 0.835780024529
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 79 17 82 =======> 0.886612892151
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js wrapRequestMethod 83 0 87 =======> 0.661668181419
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 84 9 91 =======> 0.900516271591
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 104 19 107 =======> 0.064840398729
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 117 16 121 =======> 0.055362474173
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 127 18 126 =======> 0.939883291721
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 149 7 144 =======> 0.664321362972
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 152 7 148 =======> 0.263936311007
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 8 16 334 =======> 0.531784415245
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js RequestJar 19 0 347 =======> 0.043786615133
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 23 33 358 =======> 0.913734614849
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 27 39 367 =======> 0.992470741272
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 31 34 373 =======> 0.928862035275
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 36 14 379 =======> 0.799588382244
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js paramsHaveRequestBody 11 0 802 =======> 0.247321933508
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js safeStringify 20 0 811 =======> 0.004391506780
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js md5 30 0 825 =======> 0.305293917656
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js isReadStream 34 0 835 =======> 0.000052760541
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js toBase64 38 0 842 =======> 0.042774021626
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js copy 42 0 849 =======> 0.014842152596
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js nan 44 27 859 =======> 0.015884425491
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js version 50 0 862 =======> 0.746514797211
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js request 61 11 61
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js initParams 24 0 13 =======> 0.988443076611
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js request 42 0 33 =======> 0.890276849270
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js verbFunc 56 0 50 =======> 0.123077213764
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 58 9 57 =======> 0.664213418961
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 75 14 77 =======> 0.933247685432
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 79 17 82 =======> 0.941954016685
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js wrapRequestMethod 83 0 87 =======> 0.432713657618
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 84 9 91 =======> 0.547387778759
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 104 19 107 =======> 0.153038710356
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 117 16 121 =======> 0.024634938687
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 127 18 126 =======> 0.848322153091
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 149 7 144 =======> 0.049136627465
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 152 7 148 =======> 0.020646585152
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 8 16 334 =======> 0.046876583248
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js RequestJar 19 0 347 =======> 0.004287228920
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 23 33 358 =======> 0.957106649876
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 27 39 367 =======> 0.989535629749
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 31 34 373 =======> 0.972876727581
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 36 14 379 =======> 0.154684349895
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js paramsHaveRequestBody 11 0 802 =======> 0.013098167256
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js safeStringify 20 0 811 =======> 0.000359991187
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js md5 30 0 825 =======> 0.010929103009
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js isReadStream 34 0 835 =======> 0.000016016182
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js toBase64 38 0 842 =======> 0.002140007680
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js copy 42 0 849 =======> 0.001167584560
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js nan 44 27 859 =======> 0.001587919658
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js version 50 0 862 =======> 0.051246516407
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js wrapRequestMethod 121 20 123
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js initParams 24 0 13 =======> 0.992079317570
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js request 42 0 33 =======> 0.996870696545
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js verbFunc 56 0 50 =======> 0.264674067497
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 58 9 57 =======> 0.811689198017
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 75 14 77 =======> 0.993179321289
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js nan 79 17 82 =======> 0.976506888866
