src, dst
3872,3796
9722,9506
12577,9922
12588,12525
12876,10597
13320,12680
13669,13602
13830,9922
14165,10597
14230,9929
20937,20861
29810,29711
37393,46390
37403,48065
37800,37604
37818,37604
37831,37604
37844,37604
62342,30148
62404,30148
3,4
17,33
27,33
131,98
137,224
155,188
158,49
184,188
197,210
203,210
220,103
260,224
261,132
328,262
343,249
367,249
525,515
537,392
540,448
543,436
546,472
547,497
632,586
643,664
663,586
675,586
686,411
697,414
699,232
702,567
704,239
707,567
714,533
735,414
752,414
757,758
770,460
770,479
770,515
780,414
788,548
792,758
798,682
798,679
799,249
803,262
809,411
822,414
837,414
845,414
853,548
858,273
867,392
869,804
869,854
870,249
874,262
879,348
883,262
887,316
892,273
896,262
901,348
905,262
909,316
960,411
962,914
973,414
1028,1098
1052,1098
1081,1131
1091,1098
1093,1245
1096,1106
1104,1164
1117,414
1163,1106
1171,548
1220,414
1226,1149
1232,249
1264,1282
1406,1324
1469,224
1510,1400
1548,249
1551,945
1620,1715
1690,1656
1696,1791
1706,1627
1712,1791
1721,1574
1733,1574
1784,1574
1820,249
1863,1872
1866,2095
1954,2115
1962,1684
1968,1700
1977,103
1983,2227
2043,1901
2053,1901
2055,2321
2060,1901
2062,2227
2071,2321
2075,103
2077,1901
2094,1854
2103,1872
2105,1845
2113,1557
2146,2064
2153,1915
2155,1915
2165,2064
2171,1915
2173,1915
2179,1872
2181,1614
2192,2064
2198,1915
2200,1915
2210,2064
2216,1915
2218,1915
2223,1766
2270,1715
2291,1901
2297,1901
2300,548
2301,1997
2348,103
2360,2083
2365,2083
2370,2083
2375,2083
2380,2083
2386,1802
2391,1802
2398,411
2401,249
2403,273
2416,414
2420,262
2453,914
2455,273
2471,920
2480,2421
2489,348
2490,679
2494,262
2500,249
2502,273
2543,262
2547,273
2551,262
2556,273
2560,262
2593,249
2635,2583
2635,2577
2642,262
2648,2583
2648,2577
2651,679
2655,262
2661,2583
2661,2577
2664,679
2668,262
2676,249
2693,43023
2707,2669
2714,548
2718,249
2722,249
2730,552
2744,552
2751,552
2756,2739
2760,262
2766,249
2768,273
2792,273
2793,2782
2794,249
2798,262
2804,682
2804,679
2805,2782
2806,249
2810,262
2815,273
2819,262
2824,224
2847,103
2866,2583
2866,2577
2874,262
2880,2583
2880,2577
2885,679
2889,262
2895,2583
2895,2577
2903,262
3003,392
3005,2904
3005,2950
3006,249
3010,2997
3014,262
3019,2997
3020,679
3024,262
3029,2997
3033,262
3040,548
3043,249
3044,2820
3049,552
3056,3045
3060,262
3066,249
3068,273
3133,262
3138,273
3143,273
3147,2669
3153,411
3160,249
3163,682
3163,679
3179,414
3183,262
3188,273
3193,273
3211,249
3215,49
3220,3198
3226,103
3298,98
3302,262
3308,392
3317,249
3339,273
3344,273
3345,679
3351,249
3353,1802
3407,3656
3416,3650
3449,3645
3462,3656
3475,3656
3519,3399
3561,3442
3631,3650
3640,3442
3679,3346
3688,3364
3730,2139
3730,3726
3731,3702
3739,2158
3739,3735
3740,3702
3753,411
3759,414
3766,414
3777,249
3782,262
3795,273
3801,249
3803,49
3881,249
3883,2997
3897,3877
3901,262
3906,3877
3907,679
3911,262
3916,3877
3920,262
3946,3921
3958,914
3963,4020
3968,914
3978,249
4014,920
4017,3982
4042,3921
4082,224
4088,249
4090,49
4105,914
4113,3934
4115,3934
4122,273
4128,2583
4128,2577
4134,262
4140,2583
4140,2577
4142,679
4146,262
4152,2583
4152,2577
4157,262
4163,249
4165,273
4213,262
4221,249
4223,49
4298,249
4300,273
4301,4278
4306,4292
4311,4292
4336,411
4338,914
4341,249
4343,273
4350,414
4361,273
4366,249
4395,262
4413,548
4416,249
4419,249
4429,552
4441,552
4448,552
4457,262
4463,249
4465,273
4476,411
4482,414
4488,414
4497,249
4503,548
4516,414
4519,4492
4521,4492
4526,262
9405,9406
9419,9437
9429,9437
9485,9440
9493,9440
9510,9440
9569,9440
9595,9560
9601,9503
9621,9522
9633,9648
9639,9648
9658,9565
9684,9669
9685,9596
9696,9440
9700,9503
9715,9678
9857,9781
9858,9826
9876,9522
9881,9843
9914,9893
9917,9871
9999,9983
10001,9843
10018,9994
10019,10020
10028,9983
10251,9983
10252,9893
