src, dst
5529,5463
5529,5472
5610,5549
5610,5560
5713,5624
5713,5662
6030,5822
7137,5463
7137,5472
7137,7102
7267,7273
8123,5133
8222,8064
8222,8136
8231,8064
8231,8144
8312,8064
8312,8136
8322,8064
8322,8144
8434,8064
8434,8150
8562,5133
13292,5624
13292,5662
13549,5463
13549,5472
13620,5549
13620,5560
15247,15300
15291,15300
15562,14718
15562,14947
15749,15300
16028,15300
16085,15300
16283,14718
16283,14954
16353,5133
17271,17225
17275,17230
17281,16675
17281,17235
17290,16675
17290,17241
17296,16675
17296,17246
17310,16675
17310,17235
17319,16675
17319,17241
17325,16675
17325,17246
25979,25625
25984,25625
25989,25625
30828,30488
36273,36195
42166,41888
42166,41957
42171,41888
42171,41963
42176,41888
42176,41969
42181,41888
42181,41974
42252,41888
42252,41979
42261,41888
42274,41888
42620,41888
42620,41957
42624,41888
42624,41963
42632,41888
42632,41969
42636,41888
42636,41974
43382,41888
43392,41888
43402,41888
43855,43828
43859,43833
43871,41888
43871,42873
43878,41888
43878,42878
43882,41888
43882,42873
43889,41888
43889,42878
44442,41888
44446,41888
47321,47207
47953,41888
51684,51164
51684,51418
51735,51164
51735,51418
51751,51164
51751,51418
51879,51164
51879,51418
51991,51164
51991,51418
52125,51164
52125,51411
52147,51164
52147,51464
52230,51164
52230,51411
52333,51164
52333,51411
52357,51164
52357,51418
52383,51164
52383,51411
52883,5133
148815,148630
148815,148689
148815,148896
148815,148997
148884,148630
148884,148689
148884,148896
148884,148997
166350,166352
795,761
817,389
939,149872
994,149872
1024,890
1024,877
1066,151012
1136,1052
1160,1052
1168,1170
1173,1189
1183,1170
1188,1170
1206,1356
1214,1102
1239,149872
1255,1170
1307,1286
1311,1294
1393,1395
1418,1282
1425,1623
1428,1395
1554,149837
1594,149872
1611,1170
1614,1282
1616,1429
1620,1623
1631,1844
1639,1863
1647,1909
1655,1965
1720,1251
1778,1251
1786,2248
1786,141862
1841,1251
1843,1251
1848,151012
1853,1184
1856,1189
1861,1445
1868,151113
1875,1184
1881,151012
1887,1184
1891,1189
1899,151138
1907,1445
1915,868
1932,1016
1943,868
1946,192
1946,175
1952,1189
1959,1445
1964,1184
1981,1162
1995,1462
1999,1462
2015,1016
2023,868
2024,2003
2066,1016
2078,868
2082,2003
2085,192
2085,175
2092,1189
2099,1445
2107,868
2114,868
2116,1016
2127,192
2127,175
2134,1184
2141,1184
2234,389
2263,868
2274,877
2294,1184
2303,1184
2311,877
2320,877
2328,877
2357,857
2363,877
2377,151113
2383,857
2388,151012
2394,857
2397,877
2404,1445
2408,877
2417,877
2423,192
2423,175
2429,1189
2445,1184
2448,1184
2456,868
2527,868
2540,192
2540,175
2555,150155
2559,1189
2565,1445
2582,1184
2593,150174
2597,1189
2603,1445
2611,150108
2620,1184
2623,1189
2629,1445
2656,150794
2663,150419
2666,1085
2668,1085
2674,1184
2677,1189
2685,1445
2696,1085
2699,151012
2704,1184
2707,1189
2712,1445
2720,1085
2723,151180
2730,1184
2751,1189
2756,1445
2770,1085
2773,151012
2779,1189
2786,150971
2792,1184
2796,1189
2802,1445
2816,151012
2827,151113
2831,145271
2839,145957
2846,1184
2864,192
2864,175
2869,1189
2877,1184
2883,146927
2888,1184
2891,1189
2899,1189
2904,151713
2909,1445
2918,1189
2923,151421
2928,1445
2938,1085
2950,146399
2988,1189
2998,1189
3008,1445
3015,151598
3020,1189
3030,1445
3035,3036
3049,3067
3059,3067
3097,3165
3127,3169
3157,3169
3173,3073
3178,3087
3216,3221
3272,3221
3324,3286
3347,3286
3373,3293
3586,3655
3783,3479
3783,3482
3788,3380
3788,3479
3797,3479
3797,3743
3806,3702
3809,3486
3887,3137
3905,3475
3919,3475
3940,3475
3944,3475
3965,3286
3971,3286
3985,3286
3990,3286
4017,3946
4018,3946
4034,3367
4129,3286
4144,3286
4177,3286
4192,3286
4200,3946
4362,3073
4366,3073
4374,3073
4467,4248
4500,4452
4662,4534
4662,4544
4796,4539
4796,4566
4797,4519
4797,4526
4816,4519
4816,4526
4822,4539
4822,4566
4860,4519
4860,4526
4861,4539
4861,4566
5014,4580
5019,4580
5024,4580
5029,4580
5067,5069
5143,5075
5164,5302
5190,5322
5200,5322
5224,5069
5458,5376
5460,5408
5460,5439
5487,5466
5544,7653
5575,5554
5617,7653
5680,5621
5680,5659
5721,7653
5735,7653
5859,5746
5947,5746
5975,6368
5982,6390
6007,5818
6052,5828
6052,5872
6086,7653
6099,7653
6175,7653
6237,6289
6286,6178
6286,7653
6321,6368
6327,6390
6374,6390
6387,6338
6523,5376
6530,6338
6544,6390
6547,6424
6547,6435
6547,6448
6547,6459
6547,6472
6547,6493
6628,6390
6631,6572
6631,6585
6631,6598
6639,6644
6641,6338
6656,6559
6706,6390
6709,6658
6709,6668
6709,6678
6716,6338
6734,6736
6748,6719
6828,6728
6837,6758
6845,6728
6854,6785
6864,6821
6873,6840
6882,6821
6882,6840
6893,6719
6901,6728
6902,6338
6914,6813
6920,6390
6923,6857
6923,6866
6923,6875
6969,6390
6974,6936
6974,6946
6979,6338
7023,6390
7028,6990
7028,7000
7033,6338
7052,6390
7076,6390
7088,5453
7090,5479
7115,5453
7122,5466
7124,5479
7156,6390
7191,5479
7201,6699
7206,6338
7243,7270
7410,7236
7410,7270
7482,7295
7495,6338
7542,6390
7545,7327
7545,7391
7579,6559
7624,7572
7633,7572
7642,6390
7645,7617
7645,7626
7666,7653
7716,7653
7723,7653
7729,7710
7732,5453
7740,7742
7884,7804
7893,7818
7900,7653
7906,7653
7924,7804
7942,7818
7951,7804
7967,7818
8001,7477
8001,7710
8006,7477
8031,7477
8031,7710
8035,7477
8043,7477
8049,7477
8184,5037
8229,8406
8243,7477
8243,7477
8243,7710
8249,7990
8253,7970
8265,8452
8269,7978
8296,7477
8296,7710
8300,8020
8304,7978
8336,8406
8342,7970
8344,8452
8367,7978
8403,7970
8418,5206
8422,7549
8423,8067
8481,7549
8482,8067
8508,8060
8524,8060
8538,8060
8552,8060
8972,8585
9017,9172
9036,9117
9044,9172
9052,9172
9066,9126
9076,9126
9091,9337
9102,9337
9112,9117
9116,9172
9120,9172
9137,9172
9146,8994
9150,9172
9156,9172
9168,9138
9169,9172
9195,8585
9196,8595
9208,9172
9230,9172
9359,9464
9367,9464
9377,8994
9381,9464
9451,9464
9460,9361
9461,9464
9487,8585
9488,8595
9500,9464
9520,9464
9566,9172
9567,9612
9573,9612
9574,9612
9672,9787
9685,9787
9693,9787
9711,9138
9714,9942
9718,9942
9721,9942
9724,9911
9745,9911
9754,9911
9762,9787
9773,9787
9783,9665
9784,9787
9810,8585
9811,8595
9817,9787
9834,9787
9877,9921
9882,9921
9886,9921
9888,9172
9889,9930
9896,9930
9903,9930
9959,10026
9969,9665
9977,10026
9989,10026
10011,9953
10012,10026
10022,9953
10023,10026
10049,8585
10050,8595
10056,10026
10073,10026
10092,9665
10128,10200
10138,9138
10184,10200
10196,10121
10197,10200
10223,8585
10224,8595
10236,10200
10256,10200
10302,9172
10401,10321
10440,10321
10489,10451
10500,10444
10517,10460
10518,10444
10528,10451
10529,10444
10535,10536
10542,10503
10549,10512
10549,10521
10552,9162
10555,9162
10557,10512
10557,10521
10561,10512
10561,10521
10565,10521
10574,10474
10578,10474
10582,10474
10619,9162
10668,10593
10672,10593
10699,10968
10790,10968
10915,10744
10942,10822
10945,10815
10979,10444
10980,10543
10980,10673
10980,10723
10980,10744
10980,10757
10980,10831
10987,8994
11162,11042
11204,11042
11249,10744
11254,10744
11289,11218
11291,10744
11300,11218
11315,11218
11317,10744
11326,11218
11339,11218
11347,10744
11352,10744
11366,11218
11382,11226
11388,11265
11392,11301
11396,11327
11430,11211
11434,11211
11594,11446
11602,11465
11605,11456
11614,11446
11635,9453
11638,9453
11640,10521
11644,10521
11648,10521
11675,11623
11679,11623
11685,10521
11688,9776
11691,9776
11693,10521
11697,10521
11701,10521
11736,10015
11739,10015
11741,10521
11745,10521
11749,10521
11776,11725
11780,11725
11785,11786
11800,10189
11803,10189
11805,10521
11809,10521
11813,10521
11846,11781
11850,11781
11919,11910
11969,11914
12002,12136
12021,12136
12026,11929
12028,11954
12035,11914
12072,12031
12077,12096
12135,12136
12178,11910
12184,11929
12191,11954
12197,12005
12208,11929
12215,11954
12224,11914
12227,11954
12234,11954
12243,5037
12288,12348
12314,12334
12327,12334
12361,12022
12369,11954
12378,12381
12392,12555
12407,12179
12444,12179
12455,11954
12461,12512
12466,5226
