src, dst
160,46
162,113
176,46
178,113
190,46
192,113
204,46
206,113
218,46
220,113
230,46
234,113
240,113
248,46
252,113
264,46
268,113
279,46
304,130
314,46
316,113
326,46
328,113
338,46
340,113
352,46
356,113
366,46
368,113
380,46
384,113
400,113
410,46
412,113
424,46
446,113
454,113
460,113
466,46
472,130
478,130
484,130
494,46
496,113
508,46
510,113
520,46
522,113
532,46
534,113
544,46
546,113
556,46
558,113
568,46
570,113
582,46
586,113
600,46
604,113
615,46
617,113
627,46
629,113
640,46
642,113
653,46
655,113
666,46
668,113
679,46
681,113
695,46
697,113
704,46
708,113
715,46
719,113
730,46
732,113
743,46
745,113
757,46
759,113
771,46
773,113
785,46
787,113
797,46
801,113
811,46
813,113
823,46
825,113
835,46
837,113
847,46
849,113
859,46
861,113
871,46
875,113
881,113
891,46
893,113
903,46
905,113
915,46
917,113
927,46
929,113
939,46
941,113
951,46
953,113
963,46
967,113
977,46
979,113
989,46
993,113
1001,46
1005,113
1015,46
1017,113
1023,46
1027,113
1037,46
1041,113
1051,46
1053,113
1063,46
1065,113
1075,46
1077,113
1089,46
1093,113
1103,46
1105,113
1117,46
1119,113
1130,46
1132,113
1142,46
1146,113
1154,113
1160,46
1164,113
1174,46
1176,113
1186,46
1188,113
1199,46
1201,113
1213,46
1215,113
1227,46
1231,113
1243,46
1247,113
1257,46
1259,113
1269,46
1271,113
1321,11366
1339,11373
1356,1287
1498,1419
1628,1867
1652,11981
1680,10642
1681,1619
1691,1619
1706,1438
1744,1663
1744,1487
1786,1746
1801,1746
1835,1815
1894,1995
1938,16645
1973,1900
2089,2346
2096,2217
2100,2321
2110,2161
2122,2250
2131,16658
2166,2447
2170,11366
2198,2281
2208,2116
2223,12206
2223,12100
2240,12199
2240,12100
2266,16658
2317,2346
2327,1900
2356,2281
2378,2390
2386,2116
2409,12206
2409,12100
2452,2346
2492,4391
2510,4391
2585,4391
2608,4391
2698,4391
2715,4391
2836,16645
2883,14761
2893,16645
2956,16645
3011,16645
3561,3573
3569,11128
3582,4391
3624,3573
3708,14761
3718,16645
3860,4391
3880,4391
3928,4391
3994,11366
4006,2281
4017,2116
4028,11366
4039,2281
4047,2116
4068,4391
4117,4391
4188,11366
4200,2281
4211,2116
4222,11366
4233,2281
4241,2116
4288,4391
4343,4391
4363,4391
4444,4391
4499,4391
4517,4391
4878,4939
4889,4906
4894,5050
4900,4967
4927,5636
4961,5625
5146,5625
5172,5282
5188,5282
5206,5282
5252,5598
5261,5598
5269,5598
5277,5598
5338,16689
5345,11128
5362,4708
5492,5358
5496,4734
5521,4708
5556,5093
5563,5154
5573,5429
5584,4866
5712,6857
5720,6798
5728,6798
5745,6908
5749,8231
5753,8356
5847,11366
5912,16778
6030,6857
6038,6798
6080,6908
6176,12871
6184,13989
6190,8412
6194,8607
6215,7059
6225,6943
6247,13743
6309,8857
6327,6943
6479,8412
6483,8607
6518,6943
6523,7059
6535,6434
6556,7059
6566,8735
6575,7137
6581,8192
6647,8412
6651,8607
6661,7276
6686,8735
6693,8192
6821,6756
6827,6756
7086,6954
7163,7123
7188,7113
7192,7113
7298,7247
7306,7257
7333,7257
7347,7137
7353,7059
7362,7059
7445,7427
7551,7427
7554,8412
7559,8607
7565,7276
7627,7511
7643,7511
7665,16645
7714,16645
7769,7529
7799,7427
7941,7370
7987,7370
8006,7447
8050,7370
8081,7370
8104,7447
8281,7276
8285,8412
8519,16749
8523,16749
8615,7427
8623,16749
8635,8464
8644,16678
8683,8412
8695,8509
8702,7427
8709,8464
8877,8764
8881,8764
8910,7137
9217,9192
9232,11128
9235,9156
9248,9156
9262,9192
9269,9237
9275,9192
9282,9237
9329,4391
9352,4391
9527,11366
9564,2281
9575,2116
9588,11366
9607,2281
9615,2116
9627,2281
9635,2116
9709,4391
9732,4391
9851,11128
9859,11128
9877,17019
9887,17019
9950,6857
9956,6908
9960,6908
9964,6908
9967,6908
10286,10246
10290,10320
10304,10246
10458,2447
10462,11366
10467,2281
10478,2116
10682,10562
10770,10604
10802,10604
10857,10604
10886,10604
10963,14917
10972,15019
10983,14911
10990,14917
10992,15019
11006,15019
11034,11042
11152,16689
11253,11194
11269,11194
11302,11194
11363,11278
11369,11296
11399,17082
11440,17082
11446,11373
11454,1900
11480,11373
11494,16658
12009,12237
12013,12524
12024,15794
12031,12871
12056,1867
12065,11981
12121,12741
12158,1956
12167,12741
12187,1956
12202,12128
12209,12128
12218,12078
12228,17097
12233,12078
12243,15154
12475,12078
12584,2025
12592,16645
12602,1985
12612,2025
