src, dst
15770,30246
15927,30246
15938,30246
15948,30246
15978,30246
17425,17320
17425,17336
17425,17340
20179,20203
20731,30246
20753,30246
20797,30246
20838,30246
21817,30246
22180,30246
22252,30246
22255,30246
22504,22531
22513,30246
22552,30246
22555,30246
22597,30246
24441,30246
24451,30246
24597,30246
24609,22666
27779,27783
27809,30246
27821,30246
28993,28912
29006,28898
29018,28885
29030,28926
29042,28837
29064,28864
29253,30246
30089,30246
31440,31419
31765,31734
31832,31825
32242,32230
32242,32264
32319,32378
32355,32230
32355,32264
32360,32230
32360,32264
32381,32378
33253,33272
33373,33317
33611,33472
34033,34011
34033,34211
34221,34011
34221,34211
34245,34242
34938,34892
34938,34916
34980,34873
34980,34892
34980,34916
35009,34873
35009,34892
35009,34916
35015,34873
35015,34892
35015,34916
35035,34873
35035,34892
35035,34916
35043,34873
35043,34892
35043,34916
35095,34873
35095,34892
35095,34916
35105,34873
35105,34892
35105,34916
35231,34873
35231,34892
35231,34916
35245,34873
35245,34892
35245,34916
36440,36449
37688,32230
37688,32264
45590,45592
69245,69242
69245,69336
69256,69251
69256,69346
69341,69242
69341,69336
69351,69251
69351,69346
81530,81481
82156,82100
425,350
466,350
473,478
476,478
483,350
499,350
516,350
5557,5469
5559,5482
5604,5469
5606,5482
5616,5621
5619,5621
5626,5469
5628,5482
5647,5469
5649,5482
5669,5469
5671,5482
9268,9171
9464,9407
9571,11181
9626,9367
9643,9367
9674,9289
9683,9323
9687,9367
9702,9289
9707,9323
9749,9710
9755,9710
9878,9798
9878,9846
9879,9289
9886,9798
9886,9846
9887,9323
9891,9367
9927,11181
10072,11181
10082,10002
10083,9938
10086,9367
10343,10123
10343,10179
10343,10282
10344,9289
10351,10123
10351,10179
10351,10282
10352,9323
10356,9367
10566,10432
10571,10496
11133,11094
11167,10905
11201,11340
11216,11149
11244,11094
11265,11340
11292,11149
11321,11149
11412,11094
11494,11094
11996,11937
12086,12027
13953,13771
13957,13938
13998,14093
14092,13665
14275,14429
14280,14429
14301,14261
14310,14261
14319,14320
14325,14326
14393,14362
14454,14384
14463,14328
14518,26921
14525,26921
14544,14785
14622,85886
14627,14635
14661,14648
14665,27864
14665,27901
14665,27908
14665,27929
14665,28016
14665,28041
14665,28052
14671,14648
14682,14429
14686,26997
14692,14812
14700,14429
14704,26997
14709,14812
14717,26958
14723,14812
14747,27117
14751,14753
14757,27077
14771,27077
14775,27077
14788,14429
14792,14741
14796,14833
14805,14741
14824,27864
14824,27901
14824,27908
14824,27929
14824,28016
14824,28041
14824,28052
14962,22940
15002,24175
15089,22652
15195,30747
15238,15180
15244,15180
15267,30874
15270,30775
15289,15245
15316,15235
15383,15241
15540,14429
15589,14429
15637,14429
15680,14429
15770,30268
15893,23908
15927,30268
15938,30268
15948,30268
15950,30359
15956,19923
15978,30268
16338,16395
16394,16327
16593,31019
16599,31019
16602,31019
16611,31019
16614,31019
16623,31019
16626,31019
16633,31019
16638,31019
16644,16645
16669,16671
16689,19958
16696,19958
16744,16678
16754,18464
16811,18464
16862,14429
16883,14429
16916,14429
16936,18118
16955,31051
16970,31051
16999,18582
17049,16420
17049,16455
17071,16426
17083,18582
17141,17142
17214,19958
17220,19958
17226,17147
17256,19958
17262,19958
17268,17147
17301,17147
17312,17313
17442,17193
17442,17241
17442,17287
17442,17306
17472,16980
17478,17078
17482,16975
17482,17025
17499,30359
17734,30775
17784,14429
17795,14429
17817,14429
17862,14429
17905,14429
17914,18733
17925,30829
17955,18390
17958,30452
17970,30452
18024,18304
18117,18118
18126,19530
18148,18390
18160,17416
18163,18417
18331,18590
18331,18709
18331,19057
18397,19668
18407,18351
18416,18304
18429,30359
18438,19014
18438,19154
18450,19190
18450,19205
18450,19227
18497,17416
18501,18417
18505,17416
18531,19668
18533,30775
18564,18566
18622,18582
18662,18596
18682,18596
18718,18596
18736,14429
18760,19063
18760,19100
18760,19134
18765,18780
18770,30282
18818,14429
18823,14429
18862,14429
18875,14429
18962,18780
18967,18390
18984,18304
18992,18235
18994,18203
18996,30452
18998,18165
19000,30452
19004,19005
19017,14429
19031,19668
19034,18506
19174,19668
19177,18506
19244,16980
19539,19530
19541,30452
19547,30452
19568,30282
19578,19525
19582,19525
19586,19525
19590,19525
19642,19958
19749,19741
19751,30452
19754,30452
19769,30452
19773,30452
19787,30282
19798,19969
19807,19958
19836,19837
20083,15858
20141,20145
20195,20145
20270,19530
20289,20125
20302,20145
20310,20145
20333,20084
20402,30359
20412,23381
20420,30874
20433,15880
20502,30246
20502,30268
20632,30282
20687,20641
20731,30268
20753,30268
20773,20918
20797,30268
20810,20918
20838,30268
20850,20918
20911,20782
20921,14429
20933,20652
20958,20652
20985,20480
20991,14429
20999,20818
21084,20684
21127,20534
21130,20881
21136,20782
21155,30874
21179,20534
21183,20881
21186,20891
21288,32478
21347,21254
21352,21233
21357,21245
21403,22940
21482,24872
21499,23579
21515,31051
21520,23753
21541,25289
21541,25215
21546,23163
21616,31051
21682,30282
21715,14429
21760,21946
21817,30268
21931,21988
21980,21710
22042,30874
22069,30874
22081,30874
22096,21586
22104,22030
22112,22030
22157,30874
22166,22940
22180,30268
22214,30874
22218,22940
22252,30268
22255,30268
22261,30246
22261,30268
22281,14429
22337,19975
22352,22328
22375,19923
22402,30803
22424,22345
22425,30371
22431,24872
22438,24811
22448,24811
22513,30268
22542,14429
22552,30268
22555,30268
22586,14429
22590,14429
22597,30268
22684,23381
22705,31112
22738,22711
22760,22711
22769,30452
22780,30452
22790,30452
22802,14500
22804,19958
22867,29102
22872,25175
22877,16285
22887,16526
22896,20061
22901,15858
22937,30874
22946,22914
22975,24345
23040,30359
23050,22680
23054,30874
23070,30775
23073,23100
23077,15880
23080,23100
23091,23415
23108,19259
23121,30874
23130,30874
23138,23415
23151,23415
23155,23677
23170,22680
23172,30874
23177,23415
23177,23234
23247,25289
23247,25215
23257,23007
23287,22940
23308,30246
23308,30268
23309,22406
23314,24300
23321,23579
23325,23753
23338,25289
23338,25215
23348,29123
23355,22940
23360,23621
23385,22940
23390,24300
23406,30874
23409,14558
23421,14429
23431,22940
23435,24495
23470,23908
23491,22727
23491,22733
23491,22755
23533,19530
23542,14696
23547,31051
23555,23981
23567,14429
23756,14580
23800,14429
23802,23592
23831,23908
23843,14429
23846,14429
23848,23592
23866,14429
23868,23592
23872,14429
23889,14429
23891,23592
23895,14429
23933,23796
23940,23981
23951,14429
23955,23863
23959,23886
23963,23840
23967,23796
23974,23981
23984,14429
23988,14429
23990,23579
23994,14429
23996,23592
24001,23564
24012,23605
24019,14429
24024,14429
24029,14429
24034,14429
24054,31051
24064,31051
24068,14429
24075,14429
24081,14429
24087,14429
24115,31051
24126,31051
24129,23605
24144,14429
24147,14429
24151,14429
24153,23592
24157,14429
24161,14429
24163,23579
24167,23981
24187,24300
24190,22657
24194,29123
24200,24811
24212,24495
24219,24872
24223,22657
24233,23564
24239,23915
24249,23948
24253,23659
24257,23605
24261,24532
24269,24811
24279,24872
24288,19530
24293,24872
24307,30850
24307,30866
24319,19259
24326,30874
24338,24872
24351,14429
24378,24175
24383,24300
24396,24300
24434,30874
24441,30268
24443,23908
24451,30268
24465,14429
24467,23579
24473,24872
24479,24300
24484,17978
24489,24175
24501,23592
24505,24513
24516,14429
24517,23592
24521,14429
24535,14429
24536,23592
24540,14429
24557,14429
24559,23592
24597,30268
24600,24872
24607,24811
24644,23753
24647,24403
24675,23753
24681,24811
24685,24872
24719,24403
24735,24554
24755,23796
24767,24554
24778,14429
24780,23592
24784,14429
24828,22657
24834,24872
24838,23621
24853,24995
24859,14712
24882,23640
24890,23692
24895,14429
24897,23564
24901,14603
24910,14712
24934,23863
24939,23840
24944,23796
24948,24775
24952,24554
24970,23886
24975,23840
24980,23796
24984,24775
24988,24554
25016,24747
25022,24960
25031,24747
25037,24924
25041,23605
25057,14429
25059,23592
25063,14429
25064,23579
25092,19958
25129,18104
25134,22940
25141,30452
25145,22120
25148,14855
25151,15405
25154,19295
25157,28778
25160,21197
25214,14429
25220,14429
25232,22940
25266,25298
25272,30282
25336,14429
25340,14429
25343,23753
25370,25638
25378,25611
25384,30919
25384,30979
25398,30874
25403,24300
25424,25584
25428,25195
25431,25439
25444,25792
25458,25785
25530,25659
25541,25716
25550,25705
25557,25659
25561,14429
25567,23753
25588,14429
25590,25574
25594,14429
25602,24811
25615,25574
25641,14429
25643,25574
25651,24300
25663,14429
25665,25574
25669,14429
25674,14429
25694,25584
25708,25611
25719,14429
25721,25574
25725,14429
25734,25638
25746,25574
25755,25611
25874,30747
25912,30414
25918,25891
25970,30521
25970,30594
25995,25868
26003,25891
26005,25904
26013,25919
26078,30754
26088,30754
26125,26094
26129,26034
26146,26074
26187,26137
26212,26169
26217,26084
26235,26236
26261,14429
26285,22406
26292,30384
26300,30371
26312,30452
26324,14429
26328,14429
26335,26018
26339,25963
26366,26112
26366,26228
26374,26112
26374,26228
26376,30452
26382,30736
26390,26112
26390,26228
26405,30874
26409,25891
26430,26386
26432,30883
26486,30747
26495,30521
26495,30594
26512,30637
26517,26319
26521,26319
26523,26319
26566,26567
26663,26592
26670,19923
26716,30282
26735,14429
26742,14429
26773,26615
26842,30359
26861,26646
26879,26830
26887,26830
26964,27117
26968,27126
27002,14429
27007,14429
27013,27117
27017,26946
27022,26958
27026,26958
27030,26958
27041,27126
27080,14429
27082,27117
27134,27145
27171,26895
27211,27213
27225,27200
27229,30919
27229,30979
27238,30874
27300,27213
27309,27213
27358,31051
27424,30282
27489,27513
27699,27725
27707,27725
27735,30874
27740,27335
27794,30268
27873,31025
27961,27962
28034,28005
28099,30282
28113,14429
28153,14429
28160,14429
28177,28108
28189,14429
28195,14429
28209,28108
28226,28089
28237,28089
28245,28216
28312,30282
28366,28673
28376,28687
28396,28321
28429,14429
28447,14429
28453,28659
28459,28623
28463,28415
28472,28415
28478,28415
28509,14429
28515,28648
28520,28563
28546,14429
28552,28648
28556,28563
28567,28415
28570,28673
28577,19530
28680,28634
28711,28687
28730,28287
28737,14429
28742,14429
28745,28425
28748,28389
28757,28714
28765,28714
28841,28885
28851,28826
28868,28898
28877,28826
29129,30359
29137,29191
29150,23381
29166,29209
29171,22940
29183,29220
29196,29186
29224,14429
29230,22940
29253,30268
29264,24300
29277,24175
29289,24300
29346,29355
29408,29316
29425,29355
29458,30803
29509,29316
29520,29430
29656,29597
29680,29587
29689,29645
29691,29645
29742,29727
29750,29727
29763,29737
29829,30282
29849,29806
29936,30874
29969,29865
29980,29806
30085,30268
30092,30246
30116,29628
30194,29819
30273,14429
30340,30292
30377,30343
30382,30775
30457,30343
30471,19958
30483,30484
30536,30497
30584,19975
30597,30497
30648,19923
30681,19923
30726,30698
30734,30698
30740,30698
30742,14429
30809,30452
30834,30784
30835,19880
30835,20014
30841,30842
30853,30829
30859,30775
30869,30829
30873,30775
30891,19923
30909,19958
30911,19948
30923,19990
30982,19990
30995,30944
30995,30949
31007,30874
31043,30874
31155,31156
31205,31206
31233,30736
31252,31253
31274,31275
31372,31419
31386,31360
31395,31360
31626,31615
31628,31615
31645,31536
31645,31544
31645,31623
31661,31637
31670,31825
31680,31734
31693,31674
31701,31674
31846,31734
31875,31869
31875,31889
31884,31885
31898,31869
31898,31889
31970,31971
31992,31993
32080,31995
32174,32175
32205,32177
32212,32177
32428,34407
32482,34407
32536,34407
32597,34407
32650,34407
32702,34407
32787,34407
32891,34407
32909,34312
32963,34407
32985,34312
33100,33107
33100,33317
33244,33272
33244,33317
33251,33272
33251,33317
33281,34361
33313,33314
33342,33317
33343,33472
33347,33317
33350,33317
33353,33317
33356,33317
33359,33317
33362,33317
33365,33317
33366,33317
33442,33317
33575,33405
33577,33405
33586,33405
33601,33436
33628,33317
33653,33654
33766,33755
33769,33755
33862,33772
33864,33755
33870,33755
33873,33755
33883,33671
33890,33671
33894,33671
33895,33755
33903,33696
33908,33696
33911,33671
33913,33696
33916,33719
33919,33671
33921,33671
33927,33719
33996,33997
34370,34343
34385,34343
34400,34343
34422,34423
34469,34470
34502,34478
34503,34478
34824,34478
34829,34478
34976,34967
35110,34991
35110,35018
35110,35053
35113,34478
35183,35128
35271,34842
35282,34842
35280,34842
35290,34842
35358,35128
35362,35128
35363,35128
35365,35128
35366,35128
35367,35128
35368,35128
35369,35128
35402,35139
35441,35198
35466,34955
35466,34991
35466,35018
35466,35053
35472,35198
35481,35139
35587,35198
35596,34478
35678,35618
35727,35618
35737,35618
35770,35618
35801,35618
35835,35618
35874,35618
35883,35618
35911,35618
35923,35618
35949,35626
35959,35626
35962,35618
35963,35618
35967,35618
35971,35915
35985,35626
35995,35626
35998,35618
35999,35618
36014,35626
36015,35618
36021,35915
36022,35626
36025,35618
36033,36043
36062,36029
36064,34955
36064,34991
36064,35018
36064,35053
36068,36029
36087,35915
36088,35626
36092,35626
36093,35618
36103,36043
36153,34473
36175,34473
36219,36220
36367,36236
36453,36405
36505,36560
36559,36518
36609,36610
36619,36661
36649,36695
36707,36612
36746,36612
36751,36685
36766,36685
36773,36774
36887,37161
36893,37161
36919,37089
37009,36776
37011,37051
37020,36776
37025,37051
37033,37089
37074,37156
37107,37131
37121,37051
37167,36841
37171,36841
37175,36841
37184,36790
37190,36841
37197,36790
37203,36841
37222,36855
37229,36855
37236,36855
37243,36855
37250,36855
37289,36855
37413,37309
37438,37321
37464,37309
37497,37309
37505,37321
37756,36813
37810,36685
37834,36685
37887,37842
37931,37954
37945,37861
37971,37842
38095,37842
