id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,11523,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
3,CallExpression,,-1,1,1,0,11523,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
4,FunctionExpression,,1,-1,1,1,1,318,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
5,Identifier,f,-1,-1,1,10,1,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
7,IfStatement,,-1,-1,1,13,1,317,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
10,UnaryExpression,,-1,-1,1,16,1,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
11,Identifier,exports,-1,-1,1,23,1,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
13,UnaryExpression,,-1,-1,1,43,1,56,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
14,Identifier,module,-1,-1,1,50,1,56,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
19,CallExpression,f,-1,0,1,87,1,90,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
20,IfStatement,,-1,-1,1,96,1,317,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
23,UnaryExpression,,-1,-1,1,99,1,112,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
24,Identifier,define,-1,-1,1,106,1,112,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
26,Identifier,amd,-1,-1,1,134,1,137,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
29,CallExpression,define,-1,2,1,139,1,151,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
30,ArrayExpression,,-1,-1,1,146,1,148,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
32,VariableDeclaration,,-1,-1,1,157,1,163,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
34,Identifier,g,-1,-1,1,161,1,162,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
35,IfStatement,,-1,-1,1,163,1,304,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
37,UnaryExpression,,-1,-1,1,166,1,179,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
38,Identifier,window,-1,-1,1,173,1,179,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
42,IfStatement,,-1,-1,1,209,1,304,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chai/chai.js
