id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,29,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
2,VariableDeclaration,,-1,-1,1,0,27,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
4,Identifier,fixtures,-1,-1,1,4,1,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
5,ArrayExpression,,-1,-1,1,15,27,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
6,ObjectExpression,,-1,-1,2,1,6,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
8,Identifier,description,-1,-1,3,2,3,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
10,Identifier,args,-1,-1,4,2,4,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
11,ArrayExpression,,-1,-1,4,8,4,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
13,Identifier,expected,-1,-1,5,2,5,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
14,ObjectExpression,,-1,-1,7,1,11,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
17,ArrayExpression,,-1,-1,9,8,9,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
18,ObjectExpression,,-1,-1,9,9,9,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
20,Identifier,one,-1,-1,9,10,9,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
22,Identifier,two,-1,-1,9,21,9,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
24,Identifier,three,-1,-1,9,32,9,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
26,ObjectExpression,,-1,-1,12,1,16,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
29,ArrayExpression,,-1,-1,14,8,14,50,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
30,ObjectExpression,,-1,-1,14,23,14,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
32,Identifier,four,-1,-1,14,24,14,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
35,ObjectExpression,,-1,-1,17,1,21,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
38,ArrayExpression,,-1,-1,19,8,19,77,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
39,ObjectExpression,,-1,-1,19,16,19,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
42,ObjectExpression,,-1,-1,19,43,19,69,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
45,Identifier,five,-1,-1,19,58,19,62,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
46,ObjectExpression,,-1,-1,19,74,19,76,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
48,ObjectExpression,,-1,-1,22,1,26,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
51,ArrayExpression,,-1,-1,24,8,24,86,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
52,ArrayExpression,,-1,-1,24,9,24,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
53,ArrayExpression,,-1,-1,24,25,24,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
54,ArrayExpression,,-1,-1,24,36,24,54,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
55,ArrayExpression,,-1,-1,24,45,24,53,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
56,ArrayExpression,,-1,-1,24,56,24,85,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
57,ObjectExpression,,-1,-1,24,57,24,68,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
59,Identifier,six,-1,-1,24,58,24,61,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
60,ObjectExpression,,-1,-1,24,70,24,84,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
62,Identifier,seven,-1,-1,24,71,24,76,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
67,Identifier,module,-1,-1,29,0,29,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
68,Identifier,exports,-1,-1,29,7,29,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
69,Program,,-1,-1,1,0,33,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
70,VariableDeclaration,,-1,-1,1,0,1,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
72,Identifier,fixtures,-1,-1,1,4,1,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
73,CallExpression,require,-1,1,1,15,1,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
74,Identifier,require,-1,-1,1,15,1,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
75,VariableDeclaration,,-1,-1,2,0,2,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
77,Identifier,local,-1,-1,2,4,2,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
78,CallExpression,require,-1,1,2,12,2,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
79,VariableDeclaration,,-1,-1,3,0,3,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
81,Identifier,dedupe,-1,-1,3,4,3,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
82,CallExpression,require,-1,1,3,13,3,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
83,VariableDeclaration,,-1,-1,4,0,4,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
85,Identifier,localPackage,-1,-1,4,4,4,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
86,CallExpression,require,-1,1,4,19,4,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
87,FunctionDeclaration,log,1,-1,6,0,8,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
88,Identifier,log,-1,-1,6,9,6,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
89,Identifier,message,-1,-1,6,14,6,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
92,CallExpression,log,-1,1,7,1,7,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
94,Identifier,console,-1,-1,7,1,7,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
95,TryStatement,,-1,-1,10,0,18,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
97,VariableDeclaration,,-1,-1,11,1,11,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
99,Identifier,npm,-1,-1,11,5,11,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
100,CallExpression,require,-1,1,11,11,11,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
101,VariableDeclaration,,-1,-1,12,1,12,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
103,Identifier,npmDedupe,-1,-1,12,5,12,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
104,CallExpression,require,-1,1,12,17,12,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
105,VariableDeclaration,,-1,-1,13,1,13,68,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
107,Identifier,npmPackage,-1,-1,13,5,13,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
108,CallExpression,require,-1,1,13,18,13,67,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
109,CatchClause,,-1,-1,14,2,18,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
110,Identifier,e,-1,-1,14,9,14,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
113,CallExpression,log,-1,1,15,1,16,66,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
116,CallExpression,exit,-1,1,17,1,17,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
118,Identifier,process,-1,-1,17,1,17,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
119,Identifier,exit,-1,-1,17,9,17,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
120,IfStatement,,-1,-1,20,0,25,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
123,Identifier,version,-1,-1,20,17,20,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
127,CallExpression,log,-1,1,21,1,23,42,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
137,CallExpression,exit,-1,1,24,1,24,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
139,VariableDeclaration,,-1,-1,27,0,27,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
141,Identifier,runChecks,-1,-1,27,4,27,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
142,CallExpression,require,-1,1,27,16,27,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
143,VariableDeclaration,,-1,-1,28,0,28,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
145,Identifier,runSuite,-1,-1,28,4,28,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
146,CallExpression,require,-1,1,28,15,28,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
148,CallExpression,forEach,-1,1,30,0,33,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
150,Identifier,forEach,-1,-1,30,9,30,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
151,FunctionExpression,,1,-1,30,17,33,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
152,Identifier,f,-1,-1,30,27,30,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
155,CallExpression,runChecks,-1,5,31,1,31,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
157,CallExpression,runSuite,-1,6,32,1,32,48,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
158,Program,,-1,-1,1,0,15,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/runChecks.js
159,VariableDeclaration,,-1,-1,1,0,1,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/runChecks.js
161,Identifier,assert,-1,-1,1,4,1,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/runChecks.js
162,CallExpression,require,-1,1,1,13,1,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/runChecks.js
163,Identifier,require,-1,-1,1,13,1,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/runChecks.js
164,FunctionDeclaration,sortClasses,1,-1,3,0,5,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/runChecks.js
165,Identifier,sortClasses,-1,-1,3,9,3,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/runChecks.js
166,Identifier,str,-1,-1,3,22,3,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/runChecks.js
168,ReturnStatement,,-1,-1,4,1,4,40,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/runChecks.js
169,CallExpression,join,-1,1,4,8,4,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/runChecks.js
171,CallExpression,sort,-1,0,4,8,4,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/runChecks.js
173,CallExpression,split,-1,1,4,8,4,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/runChecks.js
175,Identifier,split,-1,-1,4,12,4,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/runChecks.js
176,Identifier,sort,-1,-1,4,23,4,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/runChecks.js
177,Identifier,join,-1,-1,4,30,4,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/runChecks.js
