src, dst
564,566
1216,1218
1409,1227
1417,1227
1628,1227
1683,1227
1729,1227
1738,1227
1750,1227
1762,1227
1777,1227
1790,1227
2102,1227
2112,1227
2135,1227
2149,1227
2154,1227
2187,1227
2219,2221
2235,1227
2276,1227
2323,1227
2355,1227
2359,1227
2597,1227
2610,1227
2633,1227
2714,1227
2759,1227
2830,1227
3018,3020
3435,3028
3539,3028
3542,3028
3548,3028
3579,3028
3606,3028
3612,3028
3647,3028
3662,3028
4306,3028
4321,3028
4674,3028
4861,3028
4986,3028
4993,3028
5000,3028
5006,3028
5012,3028
5019,3028
5043,3028
5060,3028
5781,3028
6091,3028
6104,3028
6111,3028
20676,7486
20766,20334
20834,20836
21173,20843
21320,21322
24120,21408
25031,21408
25508,25510
26404,21408
27624,21408
27778,21408
28093,21408
28587,21408
29013,29015
29163,21408
29428,21408
30826,21408
33586,33588
33953,33955
35093,35095
35274,35154
35332,35102
35350,35154
35493,35446
35493,35460
36160,36162
37415,37417
37565,37567
37628,37630
37732,37734
38907,38909
40739,40741
42560,42562
42860,42862
72464,48061
72552,72103
72579,72581
72996,72998
73086,73088
73535,73537
74783,35586
74918,74920
74940,35586
75082,75084
75210,75212
75232,35586
76512,35586
76547,76549
76568,35586
76677,35586
76807,35586
76890,35586
76989,35586
77360,77362
77414,35586
77537,77539
77616,35586
77688,77690
77705,35586
77761,77763
77778,35586
77832,35586
77879,77881
77896,35586
78000,35586
78075,35586
78133,35586
78175,35586
78224,35586
78256,78258
78292,35586
78492,78494
78516,35586
78617,78619
78634,35586
78654,78656
78671,35586
78691,78693
78729,35586
79776,79778
79799,35586
79964,35586
80142,35586
80247,35586
80295,35586
80331,80333
80365,35586
80433,35586
80463,35586
80500,80502
80530,35586
80644,80646
80681,35586
80926,80928
80951,35586
81031,81033
81061,35586
81515,81517
81689,81691
81740,35586
82146,82148
82393,82395
82445,82447
82462,35586
82581,82583
82603,35586
82802,82804
82843,35586
82911,82913
82977,35586
83036,83038
83059,35586
83103,83105
83139,35586
83221,83223
83243,35586
83307,83309
83330,35586
83825,83827
84055,84057
84077,35586
84212,84214
84244,35586
85073,85075
85140,35586
85256,85258
85290,35586
85551,85553
85914,85916
85956,85958
85977,35586
86902,86904
87125,87127
87157,35586
87530,87532
87623,87625
87657,35586
87752,87754
87778,35586
87833,87835
87856,35586
87998,35586
88176,88178
88199,35586
88322,35586
88520,35586
88600,35586
88643,35586
88676,88678
88697,35586
88734,88736
88877,35586
88902,35586
88916,88918
88942,35586
89113,35586
89215,35586
89254,35586
89294,35586
89351,35586
89394,35586
89465,89467
89497,35586
91317,35586
91333,91335
91359,35586
92202,92204
93050,93052
93186,93188
93212,35586
93577,93579
93614,35586
93812,93814
93829,35586
93916,93918
93933,35586
94006,94008
94046,35586
94367,94369
94420,35586
95702,95704
95724,35586
95993,95995
96017,35586
96273,96275
96300,35586
96530,96532
96551,35586
96633,96635
96669,35586
96867,96869
96888,35586
97037,97039
97075,35586
97734,35586
97771,97773
97792,35586
97826,35586
97840,97842
97861,35586
98961,98963
98995,98997
99019,35586
99547,99549
99583,35586
99655,99657
99677,35586
99702,99704
99733,35586
100340,100342
100362,35586
100416,100418
101468,101470
101574,101576
101960,101962
102986,102988
103197,103044
103287,103044
103443,103396
103443,103410
104105,104107
105360,105362
105510,105512
105572,105574
105676,105678
106851,106853
108683,108685
110503,110505
110803,110805
140407,116004
140495,140046
140522,140524
140939,140941
141029,141031
141477,141479
142722,103536
142858,142860
142879,103536
143021,143023
143149,143151
143170,103536
144449,103536
144484,144486
144504,103536
144612,103536
144741,103536
144823,103536
144921,103536
145292,145294
145345,103536
145468,145470
145546,103536
145618,145620
145634,103536
145690,145692
145706,103536
145759,103536
145806,145808
145822,103536
145925,103536
145999,103536
146056,103536
146097,103536
146145,103536
146177,146179
146212,103536
146412,146414
146435,103536
146536,146538
146552,103536
146572,146574
146588,103536
146608,146610
146645,103536
147692,147694
147714,103536
147878,103536
148055,103536
148159,103536
148206,103536
148242,148244
148275,103536
148342,103536
148371,103536
148408,148410
148437,103536
148551,148553
148587,103536
148832,148834
148856,103536
148936,148938
148965,103536
149419,149421
149593,149595
149643,103536
150049,150051
150296,150298
150348,150350
150364,103536
150483,150485
150504,103536
150703,150705
150743,103536
150811,150813
150876,103536
150935,150937
150957,103536
151001,151003
151036,103536
151118,151120
151139,103536
151203,151205
151225,103536
151720,151722
151950,151952
151971,103536
152106,152108
152137,103536
152966,152968
153032,103536
153148,153150
153181,103536
153442,153444
153805,153807
153847,153849
153867,103536
154792,154794
155015,155017
155046,103536
155419,155421
155512,155514
155545,103536
155640,155642
155665,103536
155720,155722
155742,103536
155883,103536
156061,156063
156083,103536
156205,103536
156402,103536
156481,103536
156523,103536
156556,156558
156576,103536
156613,156615
156755,103536
156779,103536
156793,156795
156818,103536
156988,103536
157089,103536
157127,103536
157166,103536
157222,103536
157264,103536
157335,157337
157366,103536
159185,103536
159201,159203
159226,103536
160069,160071
160917,160919
161053,161055
161078,103536
161443,161445
161479,103536
161677,161679
161693,103536
161780,161782
161796,103536
161869,161871
161908,103536
162229,162231
162281,103536
163563,163565
163584,103536
163853,163855
163876,103536
164132,164134
164158,103536
164388,164390
164408,103536
164490,164492
164525,103536
164723,164725
164743,103536
164892,164894
164929,103536
165587,103536
165624,165626
165644,103536
165677,103536
165691,165693
165711,103536
166811,166813
166845,166847
166868,103536
167396,167398
167431,103536
167503,167505
167524,103536
167549,167551
167579,103536
168186,168188
168207,103536
168261,168263
169313,169315
169418,169420
169803,169805
170829,170831
171040,170887
171130,170887
171247,171249
