src, dst
289,212
334,188
346,212
386,188
598,535
604,535
927,2268
940,2268
951,2268
962,2268
973,2268
984,2268
995,2268
1006,2268
1017,2268
1028,2268
1039,2268
1050,2268
1460,3281
1518,1128
1520,1530
1572,2709
1580,2917
1635,3075
1647,2569
1677,2594
1715,1838
1847,2168
1849,2268
1875,2418
1877,2418
1884,3194
1978,1716
2001,2659
2004,2860
2024,3238
2432,2356
2455,2395
2905,2810
2908,2810
2962,2930
3039,2930
3219,3047
3904,3845
3927,4094
3933,4112
4196,4094
4349,4251
4625,4559
4650,4559
4691,4559
4699,4540
4830,4590
4882,4590
5268,5224
5282,5224
5286,5211
5430,6812
5470,6812
5487,7495
5512,5293
5840,5629
5861,5786
5887,5666
5933,6812
5937,7756
6089,7553
6370,7810
6405,7889
6412,7889
6433,7889
6448,7889
6454,7889
6473,7889
6488,7889
6621,6530
6628,6572
6703,6572
6893,8341
7006,6942
7109,6956
7236,7159
7243,7134
7737,7675
7742,7698
7763,7683
7766,7747
7769,7720
8092,8015
8116,8015
8374,8120
8379,8280
8452,8027
8460,7946
8500,8280
8509,8280
8829,8607
8837,8667
8841,8726
9005,9044
9008,9106
9014,9044
9017,9044
9019,9227
9542,9521
9554,9775
9560,9676
9567,9521
9581,7495
9621,9575
9625,9775
9630,9676
9635,9521
9642,7495
9712,9685
9718,9538
9729,9562
9734,9631
9789,9738
9791,9744
9813,9753
9827,9738
9830,9775
9849,9794
9853,9794
10038,9917
10042,9917
10078,10034
10111,10053
10112,10034
11347,11348
11681,11500
11687,11556
11690,11585
11697,11612
11734,7810
11742,11726
11801,11726
11804,11726
11807,11726
11810,11726
11813,11726
11816,11761
11819,11726
11822,11726
11825,11726
11828,11726
11831,11726
11834,11761
11837,11726
11840,11726
11843,11726
11846,11726
11849,11761
11863,11726
11865,11726
11867,11726
11869,11726
11871,11726
11873,11761
11875,11726
11877,11726
11879,11726
11881,11726
11883,11726
11885,11761
11887,11726
11889,11726
11891,11726
11893,11726
11895,11761
11899,11854
11902,11854
11905,11726
11908,11854
11916,11726
11954,11854
11959,11726
11961,11854
11965,11854
11970,11854
11975,11761
11980,11854
11982,11854
11987,11854
11992,11854
11997,11854
12002,11761
12007,11854
12012,11854
12014,11854
12016,11854
12018,11761
12024,11854
12026,11854
12028,11854
12033,11854
12178,7889
12233,7197
12254,9289
12260,8536
12301,12606
12352,12606
12399,12606
12437,12606
12452,12606
12574,12532
12686,12663
12712,12663
12766,12606
12785,12606
12800,12606
12815,12606
12830,12606
12845,12606
12860,12606
12875,12606
12890,12606
12905,12606
12920,12606
12935,12606
12950,12606
12965,12606
12980,12606
13036,12532
13107,12606
13109,13000
13118,12606
13120,13000
13129,12606
13131,13000
13140,12606
13142,13000
13151,12606
13153,13000
13162,12606
13164,13000
13173,12606
13190,12606
13207,12606
13223,12606
13238,12606
13253,12606
13268,12606
13270,13000
13279,12606
13467,6739
13512,6572
13519,4158
13531,13841
13534,13670
13591,3861
13624,8969
13642,8863
13651,8863
13725,7495
13735,7495
14006,13917
14591,13943
14706,14657
14707,14672
14835,14746
14848,14746
14908,14909
15017,14955
15021,14935
15515,14935
15580,15654
15592,15713
15604,15875
15717,15875
