id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,7,0,127,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
3,VariableDeclaration,,-1,-1,9,0,125,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
5,Identifier,siteConfig,-1,-1,9,6,9,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
6,ObjectExpression,,-1,-1,9,19,125,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
8,Identifier,title,-1,-1,10,2,10,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
10,Identifier,tagline,-1,-1,11,2,11,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
12,Identifier,url,-1,-1,12,2,12,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
14,Identifier,baseUrl,-1,-1,13,2,13,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
16,Identifier,projectName,-1,-1,14,2,14,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
18,Identifier,organizationName,-1,-1,15,2,15,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
20,Identifier,favicon,-1,-1,16,2,16,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
22,Identifier,presets,-1,-1,17,2,17,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
23,ArrayExpression,,-1,-1,17,11,34,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
24,ArrayExpression,,-1,-1,18,4,33,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
25,ObjectExpression,,-1,-1,20,6,32,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
27,Identifier,docs,-1,-1,21,8,21,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
28,ObjectExpression,,-1,-1,21,14,28,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
30,Identifier,path,-1,-1,22,10,22,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
32,Identifier,sidebarPath,-1,-1,23,10,23,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
33,CallExpression,resolve,-1,1,23,23,23,57,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
35,Identifier,require,-1,-1,23,23,23,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
36,Identifier,resolve,-1,-1,23,31,23,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
38,Identifier,editUrl,-1,-1,24,10,24,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
40,Identifier,showLastUpdateAuthor,-1,-1,26,10,26,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
42,Identifier,showLastUpdateTime,-1,-1,27,10,27,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
44,Identifier,theme,-1,-1,29,8,29,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
45,ObjectExpression,,-1,-1,29,15,31,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
47,Identifier,customCss,-1,-1,30,10,30,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
48,CallExpression,resolve,-1,1,30,21,30,60,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
51,Identifier,themeConfig,-1,-1,35,2,35,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
52,ObjectExpression,,-1,-1,35,15,124,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
54,Identifier,image,-1,-1,36,4,36,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
56,Identifier,announcementBar,-1,-1,37,4,37,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
57,ObjectExpression,,-1,-1,37,21,45,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
59,Identifier,id,-1,-1,38,6,38,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
61,Identifier,content,-1,-1,39,6,39,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
63,Identifier,backgroundColor,-1,-1,42,6,42,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
65,Identifier,textColor,-1,-1,43,6,43,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
67,Identifier,isCloseable,-1,-1,44,6,44,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
69,Identifier,algolia,-1,-1,46,4,46,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
70,ObjectExpression,,-1,-1,46,13,50,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
72,Identifier,appId,-1,-1,47,6,47,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
74,Identifier,apiKey,-1,-1,48,6,48,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
76,Identifier,indexName,-1,-1,49,6,49,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
78,Identifier,navbar,-1,-1,51,4,51,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
79,ObjectExpression,,-1,-1,51,12,70,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
82,Identifier,logo,-1,-1,53,6,53,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
83,ObjectExpression,,-1,-1,53,12,56,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
85,Identifier,alt,-1,-1,54,8,54,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
87,Identifier,src,-1,-1,55,8,55,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
89,Identifier,items,-1,-1,57,6,57,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
90,ArrayExpression,,-1,-1,57,13,69,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
91,ObjectExpression,,-1,-1,58,8,58,72,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
93,Identifier,to,-1,-1,58,10,58,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
95,Identifier,label,-1,-1,58,38,58,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
97,Identifier,position,-1,-1,58,53,58,61,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
98,ObjectExpression,,-1,-1,59,8,63,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
100,Identifier,href,-1,-1,60,10,60,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
103,ObjectExpression,,-1,-1,64,8,68,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
108,Identifier,footer,-1,-1,71,4,71,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
109,ObjectExpression,,-1,-1,71,12,123,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
111,Identifier,style,-1,-1,72,6,72,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
113,Identifier,links,-1,-1,73,6,73,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
114,ArrayExpression,,-1,-1,73,13,117,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
115,ObjectExpression,,-1,-1,74,8,86,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
118,ArrayExpression,,-1,-1,76,17,85,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
119,ObjectExpression,,-1,-1,77,12,80,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
122,ObjectExpression,,-1,-1,81,12,84,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
125,ObjectExpression,,-1,-1,87,8,107,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
128,ArrayExpression,,-1,-1,89,17,106,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
129,ObjectExpression,,-1,-1,90,12,93,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
132,ObjectExpression,,-1,-1,94,12,97,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
135,ObjectExpression,,-1,-1,98,12,101,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
138,ObjectExpression,,-1,-1,102,12,105,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/docusaurus/website/docusaurus.config.js
