id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,57,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
5,Identifier,module,-1,-1,1,0,1,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
6,Identifier,exports,-1,-1,1,7,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
7,FunctionExpression,,1,-1,1,17,57,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
8,Identifier,config,-1,-1,1,27,1,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
11,CallExpression,set,-1,1,2,1,56,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
13,Identifier,set,-1,-1,2,8,2,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
14,ObjectExpression,,-1,-1,2,12,56,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
16,Identifier,frameworks,-1,-1,5,2,5,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
17,ArrayExpression,,-1,-1,5,14,5,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
19,Identifier,files,-1,-1,8,2,8,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
20,ArrayExpression,,-1,-1,8,9,12,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
22,Identifier,reporters,-1,-1,17,2,17,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
23,ArrayExpression,,-1,-1,17,13,17,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
25,Identifier,port,-1,-1,20,2,20,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
27,Identifier,colors,-1,-1,23,2,23,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
29,Identifier,logLevel,-1,-1,27,2,27,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
31,Identifier,LOG_DEBUG,-1,-1,27,19,27,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
33,Identifier,browsers,-1,-1,31,2,31,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
34,ArrayExpression,,-1,-1,31,12,31,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
36,Identifier,customLaunchers,-1,-1,32,2,32,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
37,ObjectExpression,,-1,-1,32,19,37,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
39,Identifier,HeadlessChrome,-1,-1,33,3,33,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
40,ObjectExpression,,-1,-1,33,19,36,4,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
42,Identifier,base,-1,-1,34,4,34,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
44,Identifier,flags,-1,-1,35,4,35,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
45,ArrayExpression,,-1,-1,35,11,35,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
47,Identifier,preprocessors,-1,-1,39,2,39,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
48,ObjectExpression,,-1,-1,39,17,42,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
50,ArrayExpression,,-1,-1,41,55,41,69,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
52,Identifier,browserify,-1,-1,44,2,44,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
53,ObjectExpression,,-1,-1,44,14,47,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
55,Identifier,debug,-1,-1,45,3,45,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
57,Identifier,transform,-1,-1,46,3,46,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
58,ArrayExpression,,-1,-1,46,14,46,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
60,Identifier,singleRun,-1,-1,51,2,51,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
62,Identifier,concurrency,-1,-1,55,2,55,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
63,Program,,-1,-1,7,0,269,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/src/browser.js
67,Identifier,exports,-1,-1,7,0,7,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/src/browser.js
68,Identifier,formatArgs,-1,-1,7,8,7,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/src/browser.js
72,Identifier,save,-1,-1,8,8,8,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/src/browser.js
76,Identifier,load,-1,-1,9,8,9,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/src/browser.js
80,Identifier,useColors,-1,-1,10,8,10,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/src/browser.js
84,Identifier,storage,-1,-1,11,8,11,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/src/browser.js
85,CallExpression,localstorage,-1,0,11,18,11,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/src/browser.js
86,Identifier,localstorage,-1,-1,11,18,11,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/src/browser.js
90,Identifier,destroy,-1,-1,12,8,12,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/src/browser.js
91,CallExpression,,-1,0,12,18,21,4,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/src/browser.js
92,ArrowFunctionExpression,,0,-1,12,19,21,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/src/browser.js
94,VariableDeclaration,,-1,-1,13,1,13,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/src/browser.js
96,Identifier,warned,-1,-1,13,5,13,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/src/browser.js
