src, dst
16981,16977
18365,18356
446,5485
449,4880
479,6735
508,6735
549,6735
572,5678
638,617
693,703
743,748
781,908
831,908
842,908
851,887
856,868
863,703
900,679
923,753
926,679
942,1025
947,908
999,753
1009,956
1014,1025
1018,719
1021,703
1030,887
1044,703
1047,703
1049,753
1059,1025
1063,719
1066,703
1142,2275
1212,6735
1236,1285
1247,1090
1252,1177
1344,1285
1376,2307
1387,1242
1393,1242
1398,2004
1406,1754
1414,1737
1419,1972
1423,1972
1427,1972
1431,1972
1440,1698
1445,1972
1449,1972
1453,1972
1457,1972
1461,1972
1473,1242
1480,2096
1493,1972
1514,1242
1540,1972
1569,1285
1574,2096
1590,1972
1596,1972
1600,1972
1609,1500
1618,1668
1633,1972
1638,1972
1646,1466
1659,1972
1672,2307
1675,2004
1682,1737
1689,1754
1694,1698
1712,1972
1717,1972
1721,1972
1729,1285
1733,1972
1746,1285
1750,1972
1758,2096
1773,1972
1795,1285
1799,1972
1804,628
1814,1993
1820,1972
1830,617
1841,2129
1848,1972
1856,1972
1869,1972
1877,1972
1889,1972
1899,1972
1909,1972
1918,1972
1926,1972
1943,1972
1951,2088
1961,1972
1968,1972
2008,628
2018,2129
2029,590
2083,2088
2092,1285
2103,2072
2107,1972
2111,1972
2118,1285
2124,1972
2151,6823
2167,2225
2172,2262
2177,2465
2177,2357
2187,6735
2190,2225
2199,2262
2204,2465
2204,2357
2220,2194
2273,1177
2273,1090
2301,2275
2372,2451
2382,4516
2418,908
2446,4498
2514,2917
2569,3965
2651,4210
2671,815
2682,719
2682,823
2688,3191
2693,835
2709,847
2716,719
2716,823
2721,835
2729,847
2742,2941
2757,2392
2873,4507
2883,737
2904,748
2928,796
2936,796
3015,3191
3041,3064
3056,908
3086,868
3146,835
3155,2443
3168,835
3175,823
3186,847
3206,4516
3211,4484
3216,4677
3223,4419
3232,4181
3235,935
3246,4516
3251,4484
3255,4677
3259,4364
3266,4460
3274,4210
3281,935
3318,4412
3324,4244
3331,4210
3334,2404
3337,4419
3344,4419
3348,4210
3352,2404
3361,4210
3365,2404
3373,4210
3376,2404
3380,4516
3383,4419
3400,4201
3404,4484
3431,4181
3434,2378
3441,3397
3445,3492
3459,4181
3466,3492
3477,4201
3482,4201
3488,3492
3507,4181
3510,4774
3529,4244
3537,2367
3554,4181
3558,4516
3561,4419
3564,4484
3573,4201
3619,4181
3622,4507
3632,4201
3635,4498
3643,4201
3655,4201
3658,4125
3664,4201
3675,2367
3679,4677
3683,835
3688,935
3700,4419
3705,4547
3731,4516
3738,3755
3744,935
3751,4181
3785,4547
3789,4181
3792,935
3804,4161
3810,4419
3814,3569
3819,4547
3828,2367
3846,4516
3850,4181
3860,4516
3863,935
3878,4588
3886,4419
3917,2367
3935,4507
3942,4181
3945,935
3960,4419
3986,2357
3992,4098
4025,2465
4190,908
4205,4181
4208,2349
4217,835
4221,2404
4224,956
4239,835
4259,4412
4268,4419
4288,4329
4295,4181
4300,4460
4313,4419
4323,4181
4352,4357
4398,4329
4402,4210
4425,4412
4465,4412
4502,956
4511,978
4535,908
4554,4677
4560,2367
4565,4516
4572,4484
4575,4484
4606,4498
4612,4419
4618,4419
4623,4419
4644,4419
4655,1055
4681,4588
4694,4507
4700,4161
4717,4718
4779,4419
4795,2367
4802,4516
4804,4498
4823,537
4856,6735
4885,4819
4895,464
4964,464
4990,6779
5003,6903
5062,5005
5080,5005
5094,5005
5144,5005
5168,5005
5179,5005
5199,464
5236,464
5252,6779
5269,6884
5283,464
5313,464
5383,464
5413,464
5429,6779
5443,6884
5490,4891
5492,4960
5494,5195
5496,5232
5498,5309
5500,5379
5502,5409
5539,6735
5596,5533
5607,5533
5625,5632
5630,5632
5652,5655
5665,5772
5754,6823
5778,5745
5786,5745
5956,6735
5973,6735
6091,6095
6126,5614
6151,6095
6206,6177
6216,6438
6228,6438
6261,6735
6285,6351
6296,6613
6339,6631
6360,6735
6366,6650
6378,6247
6392,6735
6404,5560
6412,5504
6414,5504
6478,6631
6552,6903
6570,6903
6584,6735
6608,6562
6624,6903
6647,6735
6669,6671
6677,5695
6681,6735
6816,6786
6821,6786
6910,6735
6966,2181
6973,2159
6996,6952
7001,5808
7034,421
7038,6735
7067,5901
7073,7028
7078,5808
7174,7206
7186,7291
7210,7810
7216,7810
7229,7176
7290,7176
7477,7188
7480,7188
7784,7827
7791,18444
7803,18444
8265,8206
8275,8206
8281,8206
8292,8206
8302,8206
8314,8206
8326,8206
8336,8206
8339,8206
8342,8206
8348,8206
10748,10723
11286,11221
11301,11270
11320,11270
11848,11822
11850,11822
11855,11822
11856,11822
11861,11822
11862,11822
11867,11822
11868,11822
11873,11822
11874,11822
11879,11822
11880,11822
11889,11822
11890,11822
11895,11822
11896,11822
11901,11822
11902,11822
11907,11822
11908,11822
11913,11822
11914,11822
11919,11822
11920,11822
11925,11822
11926,11822
12997,13955
13004,13013
13035,13036
13109,13050
13223,13050
13257,13050
13272,13050
13284,13050
13293,13295
13392,13359
13430,13402
13468,13440
13526,13562
13553,13562
13581,13600
