src, dst
9697,9323
11299,13352
14136,14327
14158,14257
226,7403
242,7403
255,7403
262,7403
270,16613
277,16613
286,12445
294,12445
302,16751
306,12456
311,16751
314,12456
322,7403
330,7403
337,7403
360,7403
366,7403
374,16151
381,16151
390,5829
393,5829
395,5829
397,5897
418,7403
423,7403
429,16689
437,16689
442,11361
447,11361
453,16721
461,16721
466,5829
470,5829
476,16674
484,16674
489,14690
494,14690
500,16796
508,16796
513,14063
518,14063
524,16781
532,16781
675,647
802,803
809,805
1949,1911
1954,1911
1959,1911
1984,1916
1990,1916
2055,1916
2070,1916
2144,2145
2151,2148
2376,2269
2377,2287
2378,2269
2379,2287
2380,2269
2381,2287
2437,2269
2438,2287
2439,2269
2440,2287
2441,2269
2442,2287
2479,2300
2493,2480
2497,2480
2505,2300
2755,2629
2757,2639
3004,2923
3044,16613
3045,13318
3055,16659
3056,13475
3066,16644
3067,13511
3078,16613
3080,16599
3081,13560
3288,17307
3295,16938
3310,16659
3336,9411
3342,16838
3349,9272
3356,7403
3357,3346
3366,11361
3367,3346
3375,11808
3377,16659
3379,4192
3389,14063
3391,16659
3393,4192
3402,9500
3410,16644
3412,3333
3416,16659
3418,3346
3421,3399
3429,14690
3431,16659
3433,4192
3442,5829
3444,16659
3446,4192
3477,9350
3477,3406
3492,11239
3494,10636
3502,3695
3508,16151
3525,16938
3553,11239
3555,9991
3562,10182
3572,3833
3585,16938
3601,16938
3648,11239
3650,9784
3659,4714
3670,4714
3679,11239
3681,9863
3690,11239
3692,10217
3698,16938
3723,11239
3725,10989
3739,3685
3756,3695
3765,15276
3769,3406
3779,10101
3787,16999
3802,13607
3811,9350
3811,3406
3819,3406
3827,3550
3830,4745
3859,3833
3874,9323
3874,3346
3886,9323
3886,3346
3898,9323
3898,3346
3906,3566
3914,11239
3916,10892
3924,11239
3926,10755
3932,9558
3940,3566
3946,16151
3953,10131
3961,3936
3976,3039
3978,3520
3994,3039
4004,3855
4008,16151
4018,9350
4018,3406
4031,9323
4031,3406
4043,9323
4043,3346
4051,11057
4058,11057
4065,11057
4068,4756
4076,11057
4079,4756
4085,3685
4097,3685
4111,3685
4122,11239
4124,10514
4131,4119
4134,4745
4140,11239
4142,10989
4149,3685
4159,3685
4170,11239
4172,10418
4179,4167
4182,4745
4195,3333
4210,4780
4256,17307
4263,11239
4265,9669
4275,11239
4295,11239
4330,17343
4331,17343
4333,17307
4339,9272
4345,11239
4347,9991
4392,11239
4394,9863
4400,11239
4402,10217
4430,15351
4441,4397
4445,11239
4451,16897
4452,4397
4473,4485
4480,11239
4482,10755
4489,15296
4517,15296
4534,4364
4543,11239
4545,10910
4558,16897
4562,11112
4583,11239
4589,11986
4596,4485
4604,11239
4606,10514
4618,16897
4620,11239
4622,11112
4635,16897
4637,11239
4639,11112
4648,16897
4654,11239
4656,11112
4668,17307
4709,17307
4711,17307
4713,17307
4719,16938
4769,16897
4790,16704
4794,16659
4812,4884
4814,4907
4815,4907
4822,4884
4823,4907
4824,4907
4833,4907
4840,4907
4842,4844
4880,9181
4915,4982
4924,9181
4930,5253
4935,4982
4943,4988
4952,5016
4954,5047
4959,5088
4963,5069
4973,5047
5015,9181
5030,5047
5068,9181
5082,5265
5131,5232
5139,5265
5217,5218
5624,5596
5685,5711
5705,5711
5731,5711
5743,5711
5835,6793
5845,16674
5851,3062
5861,16938
5868,6748
5870,6439
5900,5829
5920,15296
5937,6982
5951,6799
5968,6119
5977,6085
6046,6793
6060,16566
6066,7017
6088,7017
6098,16566
6104,7017
6122,7017
6146,3062
6151,5671
6179,5829
6184,16566
6202,7017
6211,16566
6244,15328
6249,7017
6251,15351
6252,15358
6266,6616
6270,5587
6280,5662
6281,5636
6297,6616
6337,6793
6349,6748
6478,6439
6517,6966
6599,6966
6629,7293
6636,6640
6646,6650
6648,6691
6724,6676
6724,6716
6742,6640
6798,6748
6803,15296
6815,16566
6824,5948
6824,7017
6827,5948
6827,7017
6843,15254
6846,7293
6851,6886
6857,6886
6882,6748
6920,6886
6928,6966
6944,15262
6947,6966
6976,6439
6987,7293
7034,15272
7066,5995
7084,6439
7109,7293
7113,7293
7121,6439
7138,6982
7142,6439
7155,6966
7173,6966
7188,6542
