src, dst
2076,2014
175,126
195,126
222,479
1826,5642
1917,1987
1995,2001
2291,2296
2380,8549
2390,5841
2394,4839
2417,4756
2424,3074
2478,4123
2504,4123
2516,4390
2531,4123
2541,3074
2575,4123
2588,5485
2593,4705
2632,4705
2645,4390
2653,2805
2664,4123
2677,4123
2686,4839
2700,4123
2711,4705
2736,4705
2750,4123
2758,2805
2788,5530
2793,3074
2799,5692
2814,4123
2824,4123
2838,4123
2846,2805
2855,3074
2867,5692
2879,4123
2902,4705
2915,4123
2924,5841
2928,2385
2948,3074
2963,6223
3040,4756
3056,3074
3063,5069
3087,4219
3098,5642
3120,4756
3130,3074
3180,5692
3188,18734
3196,18734
3387,7198
3417,4756
3457,5485
3494,3074
3558,4756
3563,3074
3592,4756
3622,5642
3626,3984
3642,3997
3661,16880
3670,16974
3739,3074
3786,5623
3815,5806
3875,5881
3901,9784
3911,6564
3974,17518
3987,5485
4002,4756
4042,4074
4049,3984
4133,4756
4164,3074
4176,4074
4215,17518
4362,3074
4395,5485
4423,4123
4526,10919
4538,10894
4578,10894
4678,3093
4712,4756
4720,3074
4787,3074
4820,4756
4842,5841
4849,3074
4873,18635
4881,18635
5033,2272
5073,5083
5088,5485
5126,5245
5169,5294
5177,5258
5191,5215
5207,5294
5227,5312
5303,5321
5308,5258
5315,5321
5745,9605
5812,5642
5889,5485
5896,5924
5969,6208
5974,5949
5989,5623
5994,5949
5996,5642
6012,6208
6024,5949
6042,5949
6088,5485
6121,5881
6128,6146
6135,5881
6163,6146
6198,6146
6250,5485
6254,5642
6272,6514
6365,5642
6374,6514
6378,6067
6408,6067
6436,5485
6467,5642
6625,6930
6702,6818
6746,6818
6751,6818
6757,6818
6821,6869
6890,5623
6965,6835
6973,6869
6977,6869
6998,7033
7009,7128
7024,7128
7216,4219
7246,9784
7327,7768
7376,7687
7384,7821
7502,5642
7641,7666
7658,7802
8008,8435
8089,8353
8097,8353
8110,9040
8119,5530
8127,6082
8158,5642
8168,8435
8186,5841
8197,8083
8225,8083
8232,8461
8263,7198
8279,8435
8380,5692
8508,7970
8585,8902
8633,9718
8701,8902
8736,8902
8807,5670
8850,8902
8893,9570
9031,8902
9046,9060
9050,9067
9070,9570
9115,9397
9127,9397
9139,9397
9151,9397
9189,9397
9262,9397
9308,9067
9322,9397
9332,9397
9358,9067
9365,9397
9381,9397
9413,9397
9431,9545
9489,9545
9515,9067
9535,9397
9792,9605
10901,10862
10912,11059
10923,10862
10936,11059
10958,11076
10994,17356
11024,17376
11052,17397
11062,5642
11153,11162
11420,7033
11458,7033
11490,11469
11494,11469
11649,11923
11694,6223
11768,5841
11842,5642
11967,12066
11981,12066
12061,12066
12085,7033
12119,3379
12255,5642
12346,9605
12615,14175
12776,5841
12793,5760
12998,14133
13114,14133
13210,14133
13254,14133
13292,14133
13316,13991
13323,14050
13331,14077
13367,5561
13432,5841
13448,5760
13458,14153
13506,5485
13525,6067
13561,14175
13644,5485
13665,5586
13905,14153
13940,14153
14072,13991
14199,14274
14221,14274
14438,5561
14684,5841
14701,18635
14719,18680
14732,5841
14746,18635
14761,18680
14897,15172
14984,5561
15012,15172
15200,5598
15206,15252
15231,15252
15238,15252
15247,15252
15540,15702
15567,15702
15586,6067
15650,5642
15733,15778
15736,15873
15752,15873
15755,15873
15887,6930
16001,16521
16004,16521
16031,16540
16064,5610
16155,5561
16905,5692
16911,17407
16945,7033
16983,5692
16988,17407
17252,6983
17289,7033
17415,17479
17433,17315
17446,10862
17454,17518
17467,6983
17532,4429
17541,18431
17569,3881
17589,17567
17592,3881
17632,18176
17682,18176
17703,18554
17706,10919
17738,18176
17744,18176
17747,3881
17762,18176
17777,18176
17780,3881
17819,18176
17829,3881
17845,18176
17871,3881
17885,18176
17924,18176
17936,18176
17945,18176
17948,17954
18037,5806
18044,3881
18065,18122
18091,18176
18117,18176
18129,18162
18149,18162
18168,6682
18194,18467
18257,18467
18328,6930
18359,10946
18452,5692
18520,3881
18542,5623
18563,3924
18657,19134
18684,5623
18710,18814
18742,18635
18764,18680
18778,18784
18787,5623
18822,18827
19023,18635
19045,18635
19237,38742
19262,38742
19281,38742
19456,38742
19604,38742
19678,38742
19684,38742
19724,38742
19742,38742
19759,38742
19782,38742
19800,38742
19817,38742
19867,38742
19884,38742
19901,38742
19938,38742
19955,38742
19971,38742
20016,38742
20062,38742
20091,38742
20132,38742
20179,38742
20242,38742
20288,38742
20347,38742
20471,38742
20481,38742
20504,38742
20528,38742
20565,38742
20586,38742
20595,38742
20617,38742
20655,38742
20676,38742
20697,38742
20709,38742
20746,38742
20780,38742
20824,38742
20850,38742
20876,38742
20936,38742
20962,38742
20988,38742
21072,38742
21098,38742
21124,38742
21230,38742
21396,38742
21441,38742
21494,38742
21582,38742
21620,38742
21652,38742
21685,38742
21711,38742
21735,38742
21764,38742
21797,38742
21830,38742
21869,38742
21906,38742
21946,38742
22072,38742
22111,38742
22143,38742
22176,38742
22236,38742
22256,38742
22275,38742
22297,38742
22326,38742
22352,38742
22420,38742
22489,38742
22514,38742
23413,38742
23638,38742
23676,38742
23791,38742
23803,38742
23896,38742
23915,38742
23957,38742
23982,38742
24014,38742
24083,38742
24120,38742
24152,38742
24196,38742
24237,38742
24257,38742
24541,38742
24575,38742
24698,38742
24798,38742
24834,38742
25002,38742
25268,38742
25287,38742
25669,38742
25758,38742
25784,38742
25869,38742
25895,38742
25921,38742
25955,38742
26043,38742
26118,38742
26148,38742
26163,38742
26232,38742
26271,38742
26334,38742
26408,38742
26489,38742
26575,38742
26624,38742
26655,38742
26793,38703
26824,38703
26873,38703
26904,38703
26971,38703
27066,38742
27073,38742
27083,38742
27120,38742
27136,38742
27155,38742
27187,38742
27217,38742
27243,38742
27265,38742
27299,38742
27324,38742
27364,38742
27393,38742
27422,38742
27454,38742
27487,38742
27524,38742
27554,38742
27588,38742
27601,38742
27625,38742
27801,38742
27945,38742
28039,38742
28078,38742
28173,38742
28290,38742
28397,38742
28516,38742
28641,38742
28756,38742
28807,38742
28866,38742
28926,38742
28984,38742
29037,38742
29220,38742
29328,38742
29442,38742
29563,38742
29696,38742
29752,38742
29900,38742
30055,38742
30179,38742
30241,38742
30432,30425
30517,30511
30595,30589
30676,30670
30771,30765
31090,5485
31171,38742
31184,38742
31215,38742
31238,38742
31261,38742
31294,38742
31334,38703
31352,38703
31367,38703
31382,38703
31397,38703
31412,38703
31427,38703
33203,38742
33230,38742
34635,38703
35065,38742
35133,38742
35197,38742
35263,38742
35328,38742
35386,38742
37434,38742
37587,38742
38734,38953
38947,38953
42874,44072
42906,44072
42958,44072
43003,44072
43039,44072
43065,44072
43106,44072
43143,44072
43178,44072
43239,44072
43292,44072
43311,44072
43346,44072
43373,44072
43397,44072
43555,44072
43576,44072
43596,44072
43611,44072
