src, dst
3418,3259
3463,3259
15456,15388
15471,15388
17959,17930
25837,25592
25862,25592
28323,28286
28494,28461
29715,29763
61666,61507
61711,61507
73704,73636
73719,73636
76207,76178
84085,83840
84110,83840
86571,86534
86742,86709
87963,88011
119656,119400
119670,119400
121835,121792
128528,128485
139205,139134
139222,139134
145748,145582
145797,145582
147486,147550
151909,152889
3,4
19,41
39,41
176,80
307,308
325,98
326,298
442,510
451,510
459,510
467,510
539,540
618,448
624,448
886,887
981,958
1042,1071
1211,1154
1475,889
1540,1544
1626,2024
1631,2024
1637,2024
1641,1759
1681,1751
1749,1370
1754,2031
1943,2031
2006,1370
2016,1370
2043,2024
2067,889
2088,2056
2138,889
2174,2103
2224,889
2256,2163
2285,2163
2307,2317
2402,2385
2418,2385
2509,2414
2516,2497
2519,2397
2536,2419
2542,2414
2557,2497
2559,2463
2671,2497
2678,2497
2695,2650
2818,2790
2893,2564
2908,2564
3049,3040
3119,3085
3148,3085
3149,3085
3151,3085
3175,3085
3188,3085
3191,3085
3205,3085
3214,3085
3235,3085
3244,3085
3295,3263
3301,3302
3328,3263
3356,3336
3496,3336
3513,3336
3532,3541
3608,3541
3660,3620
3687,3620
3884,3976
3884,3982
3901,3923
3909,3982
3910,3976
3912,3982
3991,3992
4057,4076
4169,3304
4185,3683
4209,3994
4228,3336
4244,4076
4282,3683
4286,2605
4305,4065
4317,4324
4412,4024
4417,27969
4437,4076
4555,3336
4576,4076
4705,4706
4722,4755
4746,4755
4766,4729
4797,4798
4806,3304
4828,3336
4935,2605
5079,5080
5088,3304
5099,4800
5107,4824
5120,5210
5135,3336
5140,5150
5202,448
5283,5544
5305,5862
5312,21239
5399,5210
5503,5544
5526,5862
5645,5729
5845,5729
5895,2163
5981,13269
6078,5210
6127,5210
6157,6158
6172,3304
6181,3336
6345,6346
6354,3304
6465,6429
6477,6406
6481,6429
6506,6429
6516,6443
6532,3304
6542,6348
6552,3336
6615,6457
6638,6665
6644,6731
6693,6667
6701,6685
6712,6429
6718,7114
6726,6457
6755,14360
6771,3336
6875,6783
6885,6982
6912,3336
6952,7114
6957,7032
6963,6498
7012,2103
7182,18005
7200,18005
7218,13703
7342,7280
7363,7280
7531,7280
7762,7588
7892,7588
7919,7588
7962,7588
8024,7588
8104,8082
8104,8090
8123,7588
8184,7968
8204,7588
8248,7588
8383,7233
8392,7588
8476,8442
8502,8432
8508,8432
8512,8432
8538,7536
8542,2857
8561,7866
8567,8539
8576,8320
8582,7909
8587,8539
8593,8320
8607,2564
8608,8341
8628,8367
8658,8397
8671,2857
8718,7866
8723,8539
8730,13233
8740,13233
8817,8367
8823,2857
8838,14484
8841,8952
8860,8499
8866,2857
8870,8397
8903,2857
8928,2857
8943,4222
8943,4160
8947,8913
8970,9056
8985,8277
8991,9969
9010,10429
9013,11228
9017,9978
9019,11178
9022,9796
9026,9158
9031,12116
9045,7909
9068,14360
9081,9978
9098,7776
9101,7909
9109,7793
9114,7968
9120,7793
9124,7831
9127,19051
9143,7909
9145,7866
9151,1989
9154,13809
9170,8277
9175,7776
9179,7866
9185,7831
9193,9234
9209,7831
9214,9265
9219,7909
9223,7793
9227,7831
9230,18343
9240,9252
9246,9252
9249,9252
9262,8551
9283,7776
9296,11118
9299,9378
9303,13024
9325,7909
9331,7909
9342,13703
9351,7831
9363,9690
9367,9617
9370,9086
9373,9710
9385,7776
9389,7866
9395,7793
9400,7909
9404,7793
9409,10613
9415,7831
9418,20646
9423,7793
9439,7939
9452,9086
9455,9489
9458,9572
9462,7866
9468,8578
9470,19286
9484,13852
9500,7776
9505,8320
9508,7866
9513,8320
9523,8330
9528,9796
9533,7831
9537,7831
9540,18599
9544,7793
9559,8320
9562,7866
9566,18599
9582,8320
9585,7866
9589,18762
9604,8320
9607,7866
9611,18762
9622,7776
9627,8320
9630,7866
9638,7831
9641,1370
9646,7793
9653,7776
9663,7866
9672,7831
9676,7793
9680,1989
9686,7939
9693,8348
9699,7866
9704,17301
9717,7866
9722,21174
9737,7776
9742,7909
9747,7909
9753,7793
9758,7866
9763,7831
9766,20574
9777,7793
9787,8320
9790,7866
9813,7776
9819,8320
9822,7866
9827,10529
9838,7939
9844,7793
9855,21425
9861,10650
9865,7831
9870,7831
9873,21516
9877,7793
9898,7939
9959,7909
9912,7866
9917,10696
9942,8539
9945,21239
9947,13269
9962,8551
9966,8551
9972,9880
9983,8320
10006,7776
10010,10091
10016,7909
10022,10141
10026,8578
10034,10529
10043,7793
10053,7793
10059,12355
10066,10650
10070,7831
10074,22375
10083,21516
10088,7793
10115,7866
10123,2163
10137,7909
10185,7776
10194,11118
10196,13024
10204,7939
10212,7909
10231,9489
10233,9572
10235,9357
10237,9138
10239,9978
10286,7909
10296,8539
10302,11118
10304,13024
10312,8539
10315,7793
10327,7939
10338,7909
10378,7909
10387,7909
10395,8539
10404,13703
10421,7831
10450,8320
10453,8320
10455,8277
10460,7776
10464,7866
10474,10141
10485,7909
10489,7793
10497,7939
10502,8551
10507,11083
10513,7831
10516,21702
10522,7793
10526,7793
10538,8320
10545,7776
10549,10574
10559,7793
10566,7831
10577,7776
10581,7909
10585,7793
10590,7866
10594,7909
10598,7793
10606,7831
10610,7793
10628,9056
10631,9357
10633,9489
10635,9427
10637,9572
10639,9158
10641,9138
10643,9978
10647,9728
10654,7909
10656,8277
10665,7866
10671,7866
10678,8551
10689,8578
10691,19051
10709,10784
10721,7866
10723,7866
10725,7909
10727,7909
10729,11022
10733,7866
10735,7866
10737,9548
10745,7776
10748,7909
10754,10861
10757,7909
10762,2056
10765,7831
10769,7793
10773,7831
10778,2163
10788,8320
10794,7776
10799,7866
10804,7831
10807,2103
10810,7793
10830,8320
10839,7840
10846,2103
10849,7840
10854,2103
10858,2103
10890,9880
10895,7939
10898,10696
10906,8551
10912,8539
10928,8539
10931,8320
10959,13269
10965,8539
10977,10861
11004,8539
11007,7909
11015,8539
11026,7909
11046,9548
11051,8551
11054,7866
11063,9086
11065,7866
11067,7866
11069,9548
11075,7866
11078,8578
11080,18934
11091,7909
11094,8952
11097,7909
11107,11083
11114,14484
11127,7776
11130,7866
11135,10141
11147,7909
11151,7793
11156,11103
11162,7831
11167,21702
11171,16842
11175,7793
11187,7776
11194,8595
11198,10967
11204,11083
11209,7831
11213,14484
11225,7793
11242,8320
11261,7776
11266,9780
11269,13106
11283,11118
11319,11401
11326,11384
11333,7831
11336,13992
11344,12318
11351,12355
11358,11401
11364,10650
11369,7831
11372,13992
11377,7793
11381,7793
11391,7866
11396,13852
11427,8320
11440,11422
11450,9056
11461,10613
11471,11422
11478,18005
11489,8330
11495,13852
11498,7776
11502,8034
11511,8539
11522,7831
11525,13852
11546,19051
11562,19051
11576,7831
11579,18005
11582,7793
11597,7866
11605,11656
11613,9086
11617,9427
11624,11881
11631,7909
11638,8539
11642,13703
11645,19894
11654,8539
11671,7909
11679,11715
11707,7909
11712,8578
11719,7866
11745,7776
11753,9138
11755,9489
11757,9078
11765,7909
11770,13095
11774,7776
11781,7866
11785,7793
11789,12624
11793,7776
11797,12847
11807,7793
11811,7793
11815,12318
11819,7909
11829,2056
11831,20831
11851,2056
11853,13992
11862,2056
11866,8539
11869,8539
11871,7831
11878,18005
11896,11727
11906,7909
11914,9489
11916,9078
11925,7909
11940,11881
11945,11083
11952,8539
11954,7831
11959,19694
11959,20974
11982,8595
11984,7776
11987,7925
11991,7939
11995,11935
12001,7939
12005,11935
12011,7793
12027,7866
12033,12082
12052,9086
12056,9427
12063,7909
12070,8539
12072,19894
12080,8539
12085,7776
12089,7909
12093,7793
12098,7866
12104,7831
12112,7793
12146,8320
12154,11585
12157,8713
12157,12014
12160,11970
12167,7776
12171,7866
12233,10613
12240,8539
12247,13024
12254,8539
12261,11401
12267,8320
12276,8320
12280,8539
12292,11103
12300,7909
12304,7831
12307,16464
12313,8595
12315,7793
12332,13024
12342,7909
12351,13703
12359,8320
12363,7866
12374,7776
12377,7909
12382,12504
12388,7909
12392,7831
12396,18005
12405,7793
12409,7793
12429,12967
12437,7840
12443,8277
12448,7776
12454,7909
12456,7909
12458,7939
12464,7831
12469,12967
12476,7793
12480,7831
12491,17761
12498,7840
12518,12413
12525,7840
12533,7866
12538,7909
12540,7909
12548,12413
12563,17761
12569,7840
12588,12624
12598,8277
12601,7909
12607,12624
12616,20720
12639,7939
12643,12671
12653,12635
12658,12624
12665,20720
12688,12736
12691,12757
12700,12847
12707,7939
12711,12682
12718,12703
12723,12671
12730,20720
12739,7939
12744,12757
12767,7776
12771,12624
12777,7793
12782,7909
12786,7793
12790,7831
12796,7776
12800,7939
12804,7793
12809,12759
12814,7831
12819,12847
12826,7793
12831,7909
12835,7793
12839,8320
12843,7831
12875,12504
12878,9138
12880,9086
12882,9078
12896,7909
12900,7909
12909,7909
12913,7909
12922,7909
12926,7909
12932,7909
12949,20720
12954,8539
12960,20720
12962,13809
12976,8277
12981,7909
12993,12367
12996,9690
12998,9617
13000,9489
13002,9572
13004,9158
13006,9086
13008,9650
13010,9078
13019,21190
13041,9056
13053,12504
13056,10613
13072,8277
13077,7909
13084,13852
13092,18005
13099,7866
13119,7776
13124,7866
13131,13809
13135,7831
13145,7866
13157,13138
13162,13138
13169,13138
13172,7831
13204,13809
13210,18599
13218,18762
13228,7793
13322,889
13369,13403
13374,13269
13392,2827
13411,2163
13423,8612
13423,8527
13441,2857
13465,2163
13473,13269
13648,13365
13730,889
13765,13703
13820,889
13844,13809
13849,13809
13892,889
13899,13852
14004,13703
