id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,4,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/example/parse.js
3,VariableDeclaration,,-1,-1,3,0,3,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/example/parse.js
5,Identifier,argv,-1,-1,3,4,3,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/example/parse.js
6,CallExpression,,-1,1,3,11,3,48,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/example/parse.js
7,CallExpression,require,-1,1,3,11,3,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/example/parse.js
8,Identifier,require,-1,-1,3,11,3,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/example/parse.js
9,CallExpression,slice,-1,1,3,26,3,47,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/example/parse.js
12,Identifier,process,-1,-1,3,26,3,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/example/parse.js
13,Identifier,slice,-1,-1,3,39,3,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/example/parse.js
15,CallExpression,log,-1,1,4,0,4,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/example/parse.js
17,Identifier,console,-1,-1,4,0,4,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/example/parse.js
18,Identifier,log,-1,-1,4,8,4,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/example/parse.js
19,Program,,-1,-1,1,0,271,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
21,FunctionDeclaration,hasKey,2,-1,3,0,11,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
22,Identifier,hasKey,-1,-1,3,9,3,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
23,Identifier,obj,-1,-1,3,16,3,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
24,Identifier,keys,-1,-1,3,21,3,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
26,VariableDeclaration,,-1,-1,4,1,4,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
28,Identifier,o,-1,-1,4,5,4,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
30,CallExpression,forEach,-1,1,5,1,7,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
32,CallExpression,slice,-1,2,5,1,5,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
34,Identifier,slice,-1,-1,5,6,5,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
35,UnaryExpression,,-1,-1,5,15,5,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
36,Identifier,forEach,-1,-1,5,19,5,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
37,FunctionExpression,,1,-1,5,27,7,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
38,Identifier,key,-1,-1,5,37,5,40,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
44,ObjectExpression,,-1,-1,6,16,6,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
45,VariableDeclaration,,-1,-1,9,1,9,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
50,Identifier,length,-1,-1,9,21,9,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
51,ReturnStatement,,-1,-1,10,1,10,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
53,FunctionDeclaration,isNumber,1,-1,13,0,17,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
54,Identifier,isNumber,-1,-1,13,9,13,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
55,Identifier,x,-1,-1,13,18,13,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
57,IfStatement,,-1,-1,14,1,14,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
59,UnaryExpression,,-1,-1,14,5,14,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
61,ReturnStatement,,-1,-1,14,30,14,42,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
62,IfStatement,,-1,-1,15,1,15,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
63,CallExpression,test,-1,1,15,5,15,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
65,Identifier,test,-1,-1,15,24,15,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
67,ReturnStatement,,-1,-1,15,35,15,47,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
68,ReturnStatement,,-1,-1,16,1,16,63,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
69,CallExpression,test,-1,1,16,8,16,62,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
71,FunctionDeclaration,isConstructorOrProto,2,-1,19,0,21,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
72,Identifier,isConstructorOrProto,-1,-1,19,9,19,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
74,ReturnStatement,,-1,-1,20,1,20,89,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
79,UnaryExpression,,-1,-1,20,34,20,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
85,Identifier,module,-1,-1,23,0,23,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
86,Identifier,exports,-1,-1,23,7,23,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
87,FunctionExpression,,2,-1,23,17,271,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
88,Identifier,args,-1,-1,23,27,23,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
89,Identifier,opts,-1,-1,23,33,23,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
91,IfStatement,,-1,-1,24,1,24,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
92,UnaryExpression,,-1,-1,24,5,24,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
96,ObjectExpression,,-1,-1,24,21,24,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
97,VariableDeclaration,,-1,-1,26,1,30,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
99,Identifier,flags,-1,-1,26,5,26,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
100,ObjectExpression,,-1,-1,26,13,30,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
102,Identifier,bools,-1,-1,27,2,27,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
103,ObjectExpression,,-1,-1,27,9,27,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
105,Identifier,strings,-1,-1,28,2,28,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
106,ObjectExpression,,-1,-1,28,11,28,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
108,Identifier,unknownFn,-1,-1,29,2,29,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
109,IfStatement,,-1,-1,32,1,34,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
111,UnaryExpression,,-1,-1,32,5,32,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
113,Identifier,unknown,-1,-1,32,17,32,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
119,IfStatement,,-1,-1,36,1,42,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
122,UnaryExpression,,-1,-1,36,5,36,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
124,Identifier,boolean,-1,-1,36,17,36,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
130,Identifier,allBools,-1,-1,37,8,37,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
133,CallExpression,forEach,-1,1,39,2,41,4,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
135,CallExpression,filter,-1,1,39,2,39,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
137,CallExpression,concat,-1,1,39,2,39,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
139,ArrayExpression,,-1,-1,39,2,39,4,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
140,Identifier,concat,-1,-1,39,5,39,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
142,Identifier,filter,-1,-1,39,26,39,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
143,Identifier,Boolean,-1,-1,39,33,39,40,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
144,FunctionExpression,,1,-1,39,50,41,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
150,VariableDeclaration,,-1,-1,44,1,44,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
152,Identifier,aliases,-1,-1,44,5,44,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
153,ObjectExpression,,-1,-1,44,15,44,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
154,FunctionDeclaration,isBooleanKey,1,-1,46,1,56,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
155,Identifier,isBooleanKey,-1,-1,46,10,46,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
157,IfStatement,,-1,-1,47,2,49,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
161,ReturnStatement,,-1,-1,48,3,48,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
162,IfStatement,,-1,-1,50,2,52,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
163,UnaryExpression,,-1,-1,50,6,50,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
166,ReturnStatement,,-1,-1,51,3,51,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
167,ReturnStatement,,-1,-1,53,2,55,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
168,CallExpression,some,-1,1,53,9,55,4,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
171,Identifier,some,-1,-1,53,22,53,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
172,FunctionExpression,,1,-1,53,27,55,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
174,ReturnStatement,,-1,-1,54,3,54,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
178,CallExpression,forEach,-1,1,58,1,65,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
180,CallExpression,keys,-1,1,58,1,58,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
182,Identifier,Object,-1,-1,58,1,58,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
185,Identifier,alias,-1,-1,58,18,58,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
186,ObjectExpression,,-1,-1,58,27,58,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
187,FunctionExpression,,1,-1,58,39,65,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
192,CallExpression,concat,-1,1,59,17,59,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js
