src, dst
450,447
570,528
5436,12979
5456,13064
8478,62163
8478,62297
8481,62163
8481,62297
8534,8097
8730,8097
8946,8097
9822,8097
9997,8097
10333,8097
10566,8097
10729,8097
10966,8097
11053,8097
11653,8097
11904,8097
12119,8097
12372,12326
12414,12326
12558,8097
13651,62163
13651,62297
13660,62163
13660,62297
17379,12979
17400,13064
17778,62163
17778,62297
28577,28564
28577,28681
28577,28826
28577,28968
28577,29102
28694,28564
28694,28681
28694,28826
28694,28968
28694,29102
28839,28564
28839,28681
28839,28826
28839,28968
28839,29102
28981,28564
28981,28681
28981,28826
28981,28968
28981,29102
29115,28564
29115,28681
29115,28826
29115,28968
29115,29102
34241,33855
34254,33855
34266,33855
34278,33855
34290,33855
34302,33855
34314,33855
34326,33855
36575,36633
46254,11048
48601,11192
48661,11192
48902,11556
48956,11270
49006,11270
49048,11270
49134,11225
49182,11225
49258,11319
49309,11319
51134,12553
51360,12553
51454,12714
51492,12714
51528,12738
51561,12738
51598,12738
51685,12773
51788,12773
51829,12773
58066,58060
58108,58103
58153,58148
62171,62163
62171,62297
62305,62163
62305,62297
540,1706
591,1666
1696,1639
1767,1786
1772,1813
1777,1826
2092,18463
2093,2577
2345,2267
2354,2278
2359,2309
2364,5350
2377,18443
2654,5001
2709,2577
2720,5063
2732,2550
2733,2539
2796,3579
2941,2854
2948,2854
3162,2770
3270,2374
3273,2322
3341,5350
3362,3129
3376,3257
3380,3284
3412,3129
3947,5092
4073,5063
4081,5052
4086,5052
4092,5052
4098,5052
4104,5052
4110,5052
4117,5052
4252,4383
4293,4765
4298,2052
4300,447
4329,4383
4364,4765
4368,2052
4370,447
4431,4581
4453,4595
4462,4644
4466,4711
4469,320
4475,4721
4482,320
4498,320
4503,4721
4576,4644
4618,4737
4623,4662
4659,4662
4667,4729
4670,4595
4741,4678
4810,4800
4810,4773
4816,4800
4816,4773
4835,4826
4835,4773
4841,4826
4841,4773
4856,4851
4856,4773
4874,4864
4874,4773
4880,4864
4880,4773
4943,4897
4955,4897
5069,5071
5162,5020
5165,5036
5177,4925
5179,5154
5227,13306
5565,16884
5626,5805
5656,5841
5736,17360
5830,16884
5899,5279
5905,5922
5918,5922
5926,16150
5950,17118
5960,5810
5963,5052
5987,5063
5991,16884
6013,5279
6109,17360
6121,16150
6130,6056
6204,5805
6234,5841
6292,17360
6312,6288
6365,5805
6399,5841
6466,17360
6485,6452
6587,8097
6603,6638
6625,6881
6651,6609
6663,6609
6700,6778
6783,6748
6818,7163
6831,17789
6847,5071
6855,17789
6862,5071
6885,6838
6912,17789
6940,17789
6965,17789
6988,17789
7013,17789
7015,17789
7045,6889
7104,17789
7126,17789
7136,7089
7140,17789
7149,7069
7160,7089
7169,5071
7188,7089
7197,7069
7212,17789
7214,17789
7229,6824
7231,6808
7357,5071
7365,5071
7380,5092
7400,7321
7400,7343
7463,7205
7549,18453
7707,7551
7767,7744
7771,7753
7792,8472
7806,17660
7811,17660
7818,17830
7825,17830
7872,8301
7874,8352
7895,7673
7896,7673
7926,7673
7927,7673
7928,7673
8037,7784
8040,7800
8044,7673
8045,7673
8054,7673
8059,7833
8191,7784
