src, dst
11550,11451
11561,11451
22861,22776
22870,22776
24459,30919
24743,24701
25476,25455
25495,25455
26609,26308
26620,26308
26634,26308
26645,26308
26656,26308
26667,26308
26688,26536
26908,26987
26954,26987
27896,26308
27909,26308
27920,26308
27934,26308
27945,26308
27956,26308
27969,26308
27980,26308
27991,26308
28002,26308
28013,26308
28024,26308
28045,27814
28330,28454
28376,28454
28421,28454
28621,28587
28637,28587
29836,27249
30107,27219
30107,27249
30932,30919
30957,30919
31075,26308
34208,34278
34229,34278
34248,34278
34464,34546
34488,34546
34568,34572
35226,30919
36112,35985
49079,48978
49090,48978
62859,62772
62868,62772
84290,84220
84298,84220
92188,92123
92196,92123
108188,114646
108472,108430
109205,109184
109224,109184
110338,110037
110349,110037
110363,110037
110374,110037
110385,110037
110396,110037
110417,110265
110637,110716
110683,110716
111625,110037
111638,110037
111649,110037
111663,110037
111674,110037
111685,110037
111698,110037
111709,110037
111720,110037
111731,110037
111742,110037
111753,110037
111774,111543
112059,112183
112105,112183
112150,112183
112350,112316
112366,112316
113563,110978
113834,110948
113834,110978
114659,114646
114684,114646
114802,110037
117935,118005
117956,118005
117975,118005
118191,118273
118215,118273
118295,118299
118953,114646
119839,119712
127380,127310
127388,127310
135257,135192
135265,135192
450072,450051
450090,450051
450417,450964
450687,450654
450702,450654
451886,451903
477618,477159
477629,477159
496113,502571
496397,496355
497130,497109
497149,497109
498263,497962
498274,497962
498288,497962
498299,497962
498310,497962
498321,497962
498342,498190
498562,498641
498608,498641
499550,497962
499563,497962
499574,497962
499588,497962
499599,497962
499610,497962
499623,497962
499634,497962
499645,497962
499656,497962
499667,497962
499678,497962
499699,499468
499984,500108
500030,500108
500075,500108
500275,500241
500291,500241
501488,498903
501759,498873
501759,498903
502584,502571
502609,502571
502727,497962
505860,505930
505881,505930
505900,505930
506116,506198
506140,506198
506220,506224
506878,502571
507764,507637
509470,508856
509470,508896
510629,508896
512198,512055
512848,512827
512869,512827
515958,510728
515986,510728
516118,510728
518312,518072
518609,518735
518656,518735
518702,518735
519566,519640
519589,519640
519609,519640
519821,519787
519838,519787
520806,520648
521039,521119
521086,521119
522436,522532
522467,522532
522554,522558
534009,533910
534020,533910
545320,545235
545329,545235
741221,523272
394,398
531,507
537,507
543,507
549,507
555,507
561,507
607,611
752,720
865,831
878,806
890,776
1106,1074
1148,1152
1213,1217
1393,29139
1595,1534
1600,1534
1616,29139
1698,1582
1701,1582
1703,1582
1706,1582
1708,1582
1711,1582
1713,1582
1716,1582
1718,1582
1721,1582
1723,1582
1726,1582
1746,29139
1922,1861
1927,1861
1943,29139
2025,1909
2028,1909
2030,1909
2033,1909
2035,1909
2038,1909
2040,1909
2043,1909
2045,1909
2048,1909
2050,1909
2053,1909
2087,29139
2214,29139
2365,29139
2554,2493
2559,2493
2575,29139
2657,2541
2660,2541
2662,2541
2665,2541
2667,2541
2670,2541
2672,2541
2675,2541
2677,2541
2680,2541
2682,2541
2685,2541
2747,29139
2981,2909
2985,29139
3172,29139
3341,29139
3466,29139
3692,29139
3893,29139
4089,4117
4096,4108
4114,4108
4124,4127
4176,29139
4438,29139
4578,29139
4831,4795
4846,4795
4861,4795
4876,4795
4891,4795
4906,4795
4911,29139
5058,29139
5175,29139
5317,29139
5469,29139
5620,29139
5771,29139
5879,29139
6025,29139
6183,6004
6244,29139
6369,29139
6487,29139
6612,29139
6737,29139
6855,29139
6980,29139
7105,29139
7230,29139
7379,29139
7583,29139
7789,29139
7993,29139
8254,29139
8345,29139
8486,29139
8717,8720
8729,29139
8838,29139
8944,29139
9046,29139
9166,29139
9303,29139
9456,29139
9608,29139
9725,29139
9826,29139
10061,29139
10304,29139
10509,29139
10693,29139
10904,29139
11227,29139
11465,29139
11612,29139
11775,29139
11956,11923
11969,11923
11983,11923
11999,11923
12023,11923
12045,11923
12056,29139
12158,29139
12280,29139
12482,29139
12726,29139
12875,29139
13072,29139
13219,29139
13397,29139
13590,29139
13761,29139
13933,29139
14097,14120
14114,14120
14159,14120
14161,14120
14172,14120
14178,14120
14180,29139
14293,29139
14461,14478
14465,14478
14467,14478
14497,14455
14504,14468
14506,14478
14508,14478
14515,14478
14520,14468
14522,14478
14524,14478
14526,29139
14727,14693
14733,14693
14741,29139
14902,14865
14905,29139
15040,29139
15150,29139
15315,29139
15499,29139
15773,29139
15951,29139
16100,29139
16249,29139
16378,29139
16501,29139
16638,29139
16839,29139
17000,29139
17150,29139
17260,29139
17432,29139
17657,17626
17665,17626
17673,17626
17678,17626
17683,17626
17688,17626
17690,29139
17852,29139
17965,29139
18128,29139
18292,18224
18300,29139
18556,29139
18679,29139
18781,29139
18949,18918
18964,18918
18979,18918
18994,18918
19009,18918
19024,18918
19029,29139
19352,29139
19493,29139
19714,19660
19728,29139
19958,19904
19972,29139
20107,29139
20266,29139
20395,29139
20522,29139
20721,29139
20884,29139
21035,29139
21219,29139
21362,29139
21495,29139
21692,21713
21765,29139
21890,29139
22055,29139
22246,29139
22344,29139
22442,29139
22712,22640
22789,29139
22836,22771
22839,22771
22842,22771
22845,22771
22861,22771
22870,22771
22968,29139
23091,29139
23189,29139
23287,29139
23435,29139
23562,29139
23664,29139
23889,29139
24078,29139
24267,29139
24529,24497
24597,24497
24604,24497
24611,24497
24628,31595
24628,30861
24684,24631
24740,24672
24833,24619
24839,24589
24840,24672
24845,24672
24871,24533
24881,24533
24891,24533
24901,24533
24911,24533
24920,24533
24930,24533
24940,24533
24950,24533
24956,24672
24959,24533
24983,24533
24994,24855
25009,33628
25024,31454
25066,24589
25111,24497
25135,25040
25177,25040
25211,24497
25217,25187
25261,24589
25267,24497
25271,24486
25273,24486
25281,24589
25285,24589
25305,24497
25307,24497
25308,24486
25314,24589
25325,25202
25349,24497
25389,25187
25475,25392
25544,25498
25560,25187
25572,33628
25578,33125
25583,25596
25585,33125
25592,25513
25768,25187
25785,25187
25839,24497
25843,25812
25874,24497
25941,25907
25954,25981
25958,31454
25965,25968
25972,33628
25985,33628
25995,25894
25999,26866
26009,25923
26018,26866
26020,26328
26022,26866
26038,25812
26040,25187
26059,25825
26063,25862
26085,25812
26087,25187
26146,25187
26158,24497
26162,26169
26172,26189
26214,24539
26223,25923
26240,26198
26259,24497
26339,26285
26348,25894
26353,25440
26363,25440
26375,25440
26387,25793
26389,25855
26391,26137
26393,26137
26395,26137
26403,26137
26411,26198
26419,25923
26421,26198
26442,24672
26467,24469
26478,24469
26484,26866
26498,26866
26508,24469
26519,24469
26525,26866
26534,26866
26580,24619
26589,26500
26599,26459
26718,24619
26737,26459
26750,26500
26766,26459
26769,26500
26820,33628
26834,25923
26840,33125
26844,24539
26854,26328
26873,26812
26876,31454
26883,25968
26889,26328
26893,26866
26904,24497
26926,24497
26950,24497
26971,24497
27015,24619
27020,26500
27026,26459
27032,26459
27038,26500
27058,26189
27063,26189
27073,26189
27109,25440
27120,25392
27123,25440
27133,25440
27136,25440
27139,25440
27142,25793
27144,25855
27146,26137
27148,26137
27150,26137
27152,26137
27154,26137
27156,26198
