src, dst
164,707
108,655
134,608
155,669
192,631
200,168
209,648
212,648
215,648
222,648
225,648
228,648
238,684
264,555
270,720
282,720
291,720
328,720
361,720
375,499
388,720
395,684
400,720
415,720
418,720
432,720
445,720
454,720
478,720
485,684
550,696
552,696
553,696
554,696
668,555
787,4167
819,4223
824,4180
831,4306
848,4167
863,4223
867,4180
874,4306
883,4167
896,4223
900,4180
907,4306
916,4167
929,4223
933,4180
955,4306
979,4167
1002,4223
1006,4180
1013,4306
1022,4167
1035,4223
1039,4180
1046,4306
1056,4167
1069,4223
1073,4180
1083,4306
1123,4167
1146,4223
1150,4180
1162,4306
1171,4167
1194,4223
1198,4180
1205,4306
1222,4167
1238,4223
1242,4180
1249,4306
1258,4167
1273,4223
1277,4180
1284,4306
1293,4167
1308,4223
1312,4180
1319,4306
1328,4167
1343,4223
1347,4180
1354,4306
1363,4167
1376,4223
1380,4180
1387,4306
1400,4167
1415,4223
1419,4180
1426,4306
1439,4167
1452,4223
1456,4180
1465,4306
1475,4167
1488,4223
1492,4180
1501,4306
1515,4167
1528,4223
1532,4180
1539,4306
1548,4167
1561,4223
1565,4180
1569,4306
1600,4167
1620,4223
1624,4180
1631,4306
1640,4167
1653,4223
1657,4180
1660,4306
1681,4167
1701,4223
1705,4180
1708,4282
1729,4167
1749,4223
1753,4180
1762,4306
1771,4167
1800,4223
1804,4180
1807,4306
1835,4167
1848,4223
1852,4180
1855,4306
1886,4167
1912,4223
1916,4180
1919,4306
1947,4167
1960,4223
1964,4180
1971,4306
1980,4167
1993,4223
1997,4180
2006,4306
2015,4167
2028,4223
2032,4180
2041,4306
2054,4167
2085,4223
2089,4180
2100,4306
2109,4167
2124,4223
2128,4180
2135,4306
2144,4167
2159,4223
2163,4180
2170,4306
2179,4167
2194,4223
2198,4180
2205,4306
2214,4167
2245,4223
2249,4180
2252,4306
2290,4167
2303,4223
2307,4180
2310,4306
2333,4167
2346,4223
2350,4180
2353,4306
2370,4167
2383,4223
2387,4180
2391,54
2406,137
2426,4167
2442,4223
2446,4180
2453,4306
2462,4167
2475,4223
2479,4180
2482,4306
2498,4223
2509,4306
2537,4167
2562,4223
2566,4180
2577,4306
2586,4167
2601,4223
2605,4180
2612,4306
2621,4167
2636,4223
2640,4180
2647,4306
2656,4167
2671,4223
2675,4180
2682,4306
2691,4167
2721,4223
2725,4180
2728,4306
2765,4167
2778,4223
2782,4180
2785,4306
2807,4167
2820,4223
2824,4180
2827,4306
2843,4167
2856,4223
2860,4180
2863,54
2878,137
2898,4167
2911,4223
2915,4180
2922,4306
2931,4167
2944,4223
2948,4180
2951,4306
2974,4223
2985,4306
3015,4167
3028,4223
3032,4180
3048,4306
3057,4223
3072,4306
3081,4223
3095,4306
3108,4167
3121,4223
3125,4180
3132,4306
3141,4167
3154,4223
3158,4180
3165,4306
3174,4167
3187,4223
3191,4180
3200,4306
3213,4167
3234,4223
3238,4180
3251,4306
3264,4167
3283,4223
3287,4180
3296,4306
3309,4167
3328,4223
3332,4180
3345,4306
3358,4167
3379,4213
3385,4180
3388,4306
3415,4180
3422,4167
3443,4213
3447,4180
3450,4306
3472,4167
3493,4213
3497,4180
3500,4306
3522,4167
3543,4213
3547,4180
3550,4306
3572,4167
3593,4213
3597,4180
3600,4306
3626,4167
3639,4213
3643,4180
3646,4306
3666,4167
3685,4223
3689,4180
3698,4306
3711,4167
3728,4223
3732,4180
3739,4306
3752,4167
3781,4306
3796,4180
3807,4180
3820,4167
3847,4306
3860,4180
3871,4180
3888,4167
3901,4223
3905,4180
3908,4306
3924,4167
3937,4223
3941,4180
3944,4306
3960,4167
3973,4223
3977,4180
3980,4306
3999,4167
4012,4223
4018,4180
4021,4306
4048,4223
4071,4306
4082,4223
4098,4306
4155,555
4216,4223
4221,4314
4237,54
4252,137
4257,4320
4305,4230
4313,4230
