src, dst
110,3901
141,3809
141,3817
155,186
183,3809
183,3817
249,1875
267,3809
267,3817
287,1875
295,2702
327,967
327,503
344,967
344,503
350,3901
422,2702
438,2702
509,3901
532,503
553,697
605,728
652,1057
682,1062
693,697
781,1642
787,3809
787,3817
798,3809
798,3817
808,3809
808,3817
818,3809
818,3817
834,1104
839,1624
852,3809
852,3817
865,3809
865,3817
877,104
885,1057
939,1067
949,1067
982,1875
1001,1762
1107,3809
1107,3817
1110,1253
1113,3809
1113,3817
1116,1148
1119,3809
1119,3817
1122,1441
1125,3809
1125,3817
1128,1610
1131,3809
1131,3817
1160,1164
1187,3809
1187,3817
1192,1136
1197,1136
1208,1136
1223,3809
1223,3817
1249,3809
1249,3817
1265,1269
1272,3809
1272,3817
1294,3809
1294,3817
1298,1136
1303,1136
1315,1136
1345,3809
1345,3817
1392,3809
1392,3817
1437,3809
1437,3817
1444,3809
1444,3817
1453,1457
1480,3809
1480,3817
1484,1136
1489,1136
1494,1136
1606,3809
1606,3817
1613,3809
1613,3817
1627,3809
1627,3817
1660,1136
1665,1136
1675,1136
1701,1136
1706,1136
1716,1136
1794,3809
1794,3817
1881,3901
1927,3809
1927,3817
2083,2088
2138,3809
2138,3817
2158,1875
2170,2179
2174,2206
2187,1875
2193,3831
2197,3831
2201,3831
2214,1875
2266,3809
2266,3817
2289,3831
2301,1875
2318,3809
2318,3817
2340,3831
2369,2344
2388,2344
2399,2344
2403,2344
2415,2344
2419,2344
2584,3831
2616,2088
2658,3318
2748,3114
2751,3298
2754,3134
2757,3154
2760,3220
2763,3240
2901,3318
2934,1875
2938,1875
2941,2134
2944,2293
2963,2978
2984,2134
2984,1875
2985,1875
3007,3318
3011,3318
3015,2134
3119,2978
3139,2978
3159,2978
3198,2344
3198,1875
3225,2978
3245,2978
3264,1875
3283,1875
3303,2978
3331,1875
3358,1875
3380,3318
3406,2978
3430,2926
3454,503
3460,967
3485,2926
3507,3318
3872,3831
4029,3982
4035,3809
4035,3817
4055,4022
4057,4022
4059,4022
4064,4022
4084,4022
4104,4022
4115,4022
4125,4022
4136,4022
4147,4022
4152,4022
4163,4022
4179,4022
4187,4022
4202,4022
4210,4022
4212,4022
4219,4022
