src, dst
816,480
134,139
136,74
190,91
221,91
255,91
460,752
491,505
497,420
499,524
502,732
517,420
519,480
522,524
523,732
538,1700
575,577
599,624
605,683
612,387
618,683
622,624
631,683
643,372
648,683
662,699
670,752
682,699
695,1737
698,699
706,524
726,524
759,401
768,624
777,683
786,683
825,480
851,874
856,874
860,874
864,874
869,874
873,874
880,420
937,420
945,420
952,874
1000,956
1000,974
1002,420
1048,1016
1062,1016
1074,420
1078,480
1083,1016
1102,1016
1153,480
1153,420
1157,1104
1165,994
1169,956
1169,974
1177,420
1190,420
1196,956
1196,974
1203,480
1203,896
1213,480
1248,420
1254,956
1254,974
1286,1216
1293,1216
1303,480
1303,896
1327,480
1337,480
1337,896
1350,480
1350,896
1407,1418
1411,1461
1586,420
1613,480
1684,1659
1719,1813
1766,1879
1775,1879
1807,1850
1835,5085
1844,5085
1853,5085
1876,5085
1919,2010
1932,2010
1944,2010
1968,1928
1997,1940
4411,4397
4439,4426
4467,4451
4496,4482
4525,4516
4547,4516
4660,5085
4666,4581
