id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,8,0,103,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
3,VariableDeclaration,,-1,-1,10,0,10,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
5,Identifier,printWarning,-1,-1,10,4,10,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
6,FunctionExpression,,0,-1,10,19,10,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
8,IfStatement,,-1,-1,12,0,29,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
12,Identifier,process,-1,-1,12,4,12,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
13,Identifier,env,-1,-1,12,12,12,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
14,Identifier,NODE_ENV,-1,-1,12,16,12,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
16,VariableDeclaration,,-1,-1,13,2,13,67,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
18,Identifier,ReactPropTypesSecret,-1,-1,13,6,13,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
19,CallExpression,require,-1,1,13,29,13,66,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
20,Identifier,require,-1,-1,13,29,13,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
21,VariableDeclaration,,-1,-1,14,2,14,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
23,Identifier,loggedTypeFailures,-1,-1,14,6,14,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
24,ObjectExpression,,-1,-1,14,27,14,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
25,VariableDeclaration,,-1,-1,15,2,15,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
27,Identifier,has,-1,-1,15,6,15,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
28,CallExpression,require,-1,1,15,12,15,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
31,FunctionExpression,,1,-1,17,17,28,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
32,Identifier,text,-1,-1,17,26,17,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
34,VariableDeclaration,,-1,-1,18,4,18,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
36,Identifier,message,-1,-1,18,8,18,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
38,IfStatement,,-1,-1,19,4,21,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
40,UnaryExpression,,-1,-1,19,8,19,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
41,Identifier,console,-1,-1,19,15,19,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
44,CallExpression,error,-1,1,20,6,20,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
46,Identifier,error,-1,-1,20,14,20,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
47,TryStatement,,-1,-1,22,4,27,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
49,ThrowStatement,,-1,-1,26,6,26,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
50,NewExpression,Error,-1,1,26,12,26,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
51,Identifier,Error,-1,-1,26,16,26,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
52,CatchClause,,-1,-1,27,6,27,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
53,Identifier,x,-1,-1,27,13,27,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
55,FunctionDeclaration,checkPropTypes,5,-1,42,0,90,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
56,Identifier,checkPropTypes,-1,-1,42,9,42,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
57,Identifier,typeSpecs,-1,-1,42,24,42,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
58,Identifier,values,-1,-1,42,35,42,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
59,Identifier,location,-1,-1,42,43,42,51,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
60,Identifier,componentName,-1,-1,42,53,42,66,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
61,Identifier,getStack,-1,-1,42,68,42,76,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
63,IfStatement,,-1,-1,43,2,89,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
68,ForInStatement,,-1,-1,44,4,88,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
69,VariableDeclaration,,-1,-1,44,9,44,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
71,Identifier,typeSpecName,-1,-1,44,13,44,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
73,IfStatement,,-1,-1,45,6,87,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
74,CallExpression,has,-1,2,45,10,45,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
76,VariableDeclaration,,-1,-1,46,8,46,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
78,TryStatement,,-1,-1,50,8,65,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
80,IfStatement,,-1,-1,53,10,61,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
82,UnaryExpression,,-1,-1,53,14,53,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
85,VariableDeclaration,,-1,-1,54,12,58,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
87,Identifier,err,-1,-1,54,16,54,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
88,CallExpression,Error,-1,1,54,22,58,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
99,UnaryExpression,,-1,-1,56,95,56,125,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js
