src, dst
4861,4853
14363,14340
3,4
19,65
64,65
74,83
74,77
74,75
148,83
166,83
489,328
508,309
547,328
755,539
919,759
940,358
965,648
1189,1085
1205,1085
1222,1097
1365,1038
1366,1121
1545,1376
1656,1038
1657,1121
1722,1723
1893,1802
1925,1832
1954,1832
2242,1752
2617,2608
2698,2699
2754,2736
2773,2736
2862,2736
2863,2736
2886,2736
2931,2736
2945,2736
3003,2736
3004,2736
3020,2660
3026,2660
3032,2660
3038,3011
3050,3011
3056,2736
3302,3011
3353,3225
3363,3272
4059,4795
4074,4858
4086,4858
4106,4858
4120,4858
4139,4858
4170,5073
4188,3982
4200,3982
4225,4704
4228,5180
4239,4887
4265,4858
4272,4064
4275,4064
4282,4730
4286,4868
4290,5240
4306,4795
4323,5137
4326,5047
4359,4685
4361,4698
4385,4704
4395,5240
4399,5164
4405,5218
4413,4743
4418,5240
4441,4242
4488,4911
4507,4242
4508,4242
4510,5147
4515,4989
4532,4242
4534,5147
4538,4940
4542,5142
4545,5018
4549,5142
4551,4969
4555,5142
4557,4769
4561,5137
4562,4242
4565,4828
4569,5137
4570,4242
4574,4782
4578,5137
4582,4756
4586,5137
4587,4242
4592,4717
4595,4730
4600,5240
4606,3977
4630,4863
4676,5218
4709,4863
4722,4863
4735,4863
4748,4863
4761,4863
4774,4863
4787,4863
5096,5073
5108,4685
5155,5218
5175,4887
5245,4704
5266,4858
5304,4858
5466,5427
5477,5427
5500,5427
5525,5560
5558,5460
5585,5495
5628,5473
5931,7497
5941,7497
5949,7827
5952,5789
5960,7497
5971,5768
5991,7816
6011,5789
6219,6003
6325,7781
6385,6223
6406,5819
6431,6112
6437,7341
6446,7706
6677,6567
6685,7827
6695,6567
6706,7527
6712,6581
6713,7792
6723,7527
6731,7527
6763,7827
6858,6512
6859,6606
7075,6869
7155,6512
7156,6606
7222,7223
7405,7307
7437,7341
7469,7341
7776,7254
8220,6381
8228,6381
8236,6381
8246,6381
8255,6381
8264,6381
8274,6381
8281,6381
8288,6381
8295,6381
8302,6381
8309,6381
8318,6381
8328,6381
8339,6381
8347,6381
8370,6381
8381,6381
8391,6381
8400,6381
8418,6381
8428,6381
8438,6381
8447,6381
8465,6381
8475,6381
8485,6381
8494,6381
8512,6381
8522,6381
8532,6381
8541,6381
8559,6381
8566,6381
8582,6381
8591,6381
8603,6381
8630,6381
8644,6381
8665,6381
8675,6381
8695,6381
8705,6381
8720,6381
8733,6381
8741,6381
8749,6381
8765,6381
8773,6381
8781,6381
8789,6381
8797,6381
8808,6381
8818,6381
8826,6381
8836,6381
8846,6381
8862,6381
8872,6381
8889,6381
8897,6381
8905,6381
8915,6381
8926,6381
8942,6381
8952,6381
8963,6381
8971,6381
8983,6381
8997,6381
9012,6381
9021,6381
9038,6381
9046,6381
9062,6381
9068,6381
9074,6381
9089,6381
9100,6381
9110,6381
9120,6381
9130,6381
9141,6381
9155,6381
9168,6381
9182,6381
9195,6381
9216,6381
9232,6381
9250,6381
9266,6381
9280,6381
9294,6381
9306,6381
9318,6381
9330,6381
9343,6381
9367,6381
9385,6381
9394,6381
9401,6381
9416,6381
9430,6381
9433,6381
9455,6381
9465,6381
9483,6381
9491,6381
9502,6381
9513,6381
9524,6381
9535,6381
9551,6381
9561,6381
9576,6381
9590,6381
9613,6381
9624,6381
9639,6381
9653,6381
9676,6381
9687,6381
9713,6381
9742,6381
9755,6381
9763,6381
9773,6381
9806,6381
9836,6381
9849,6381
9875,6381
9894,6381
9912,6381
9930,6381
9948,6381
9967,6381
9979,6381
9991,6381
10011,6381
10034,6381
10062,6381
10072,6381
10081,6381
10118,6381
10134,6381
10145,6381
10157,6381
10166,6381
10175,6381
10185,6381
10193,6381
10201,6381
10211,6381
10219,6381
10227,6381
10245,6381
10256,6381
10296,6381
10306,6381
10324,6381
10336,6381
10347,6381
10359,6381
10378,6381
10387,6381
10397,6381
10430,6381
10467,6381
10490,6381
10525,6381
10584,6381
10632,6381
10638,6381
10666,6381
10686,6381
10703,6381
10711,6381
10719,6381
10735,6381
10746,6381
10755,6381
10810,6381
10829,6381
10836,6381
10843,6381
10858,6381
10865,6381
10872,6381
10887,6381
10897,6381
10906,6381
10918,6381
10944,6381
10960,6381
10977,6381
11014,6381
11025,6381
11068,6381
11075,6381
11102,6381
11117,6381
11172,6381
11196,6381
11216,6381
11236,6381
11252,6381
11281,6381
11306,6381
11329,6381
11350,6381
11371,6381
11393,6381
11415,6381
11435,6381
11461,6381
11479,6381
11498,6381
11537,6381
11571,6381
11634,7068
11643,7068
11650,7068
11659,7068
11666,7068
11673,7068
11680,7068
11687,7068
11703,7068
11709,7068
11714,7068
11722,7068
11727,7068
11745,7068
11753,7068
11760,7068
11768,7068
11814,7068
11819,7068
11825,7068
11834,7068
11841,7068
11850,7068
11861,7068
11881,7068
11899,7068
11915,7068
11927,7068
11940,7068
11959,7068
11968,7068
11990,7068
12002,7068
12025,7068
12035,7068
12045,7068
12055,7068
12071,7068
12090,7068
12110,7068
12135,7068
12145,7068
12155,7068
12165,7068
12182,7068
12193,7068
12204,7068
12215,7068
12228,7068
12246,7068
12257,7068
12268,7068
12279,7068
12297,7068
12308,7068
12329,7068
12342,7068
12355,7068
12368,7068
12388,7068
12400,7068
12411,7068
12422,7068
12433,7068
12445,7068
12457,7068
12469,7068
12481,7068
12493,7068
12505,7068
12517,7068
12537,7068
12549,7068
12561,7068
12573,7068
12585,7068
12598,7068
12611,7068
12624,7068
12637,7068
12650,7068
12663,7068
12676,7068
12697,7068
12711,7068
12725,7068
12739,7068
12760,7068
12772,7068
12784,7068
12794,7068
12809,7068
12824,7068
12845,7068
12858,7068
12871,7068
12886,7068
12906,7068
12920,7068
12934,7068
12947,7068
12964,7068
12981,7068
13005,7068
13025,7068
13043,7068
13059,7068
13077,7068
13095,7068
13113,7068
13131,7068
13138,7068
13147,7068
13155,7068
13165,7068
13174,7068
13185,7068
13204,7068
13217,7068
13231,7068
13245,7068
13259,7068
13273,7068
13288,7068
13303,7068
13318,7068
13333,7068
13348,7068
13364,7068
13379,7068
13394,7068
13409,7068
13446,7068
13459,7068
13464,7068
13469,7068
13474,7068
13501,7068
13514,7068
13521,7068
13533,7068
13545,7068
13563,7068
13586,14340
13592,7068
13607,7068
13628,7068
13635,7068
13656,7068
13663,7068
13672,7068
13679,7068
13696,7068
13706,7068
13725,7068
13751,7068
13782,7068
13801,7068
13814,7068
13852,7068
13874,7068
13885,7068
13895,7068
13911,7068
13927,7068
13997,7068
14015,7068
14024,7068
14035,7068
14063,7068
14075,7068
14106,7068
14133,7068
14162,7068
14221,7068
14247,7068
14269,7068
14297,7068
14323,7068
14330,14340
14351,14340
14356,7068
14375,7068
14391,7068
14410,7068
14438,7068
14452,7068
14463,7068
14476,7068
14495,7068
14507,7068
14518,7068
14539,7068
14546,7068
14575,7068
14593,7068
14608,7068
14629,7068
14652,7068
14670,7068
14688,7068
14705,7068
14722,7068
14741,7068
14761,7068
14790,7068
14819,7068
14857,7068
14895,7068
14902,7068
14910,7068
14918,7068
14926,7068
14933,7068
14941,7068
14949,7068
14967,7068
14977,7068
14992,7068
15006,7068
15045,7068
15064,7068
15076,7068
15123,7341
15130,7341
15137,7341
15150,7341
15171,7341
15197,7341
15219,7341
15236,7341
15291,7341
15339,7479
15379,7816
15424,7816
15449,7816
15481,7816
15518,7792
15532,7792
15543,7792
15559,7792
