src, dst
3993,3945
4041,137
4051,137
7494,6756
24301,35387
44680,44636
44685,44645
76434,76385
76439,76395
3,4
17,37
31,37
97,73
97,80
107,57
107,73
107,80
124,98
148,98
149,110
159,98
160,98
162,98
163,110
170,98
171,110
180,133
386,98
405,98
422,241
427,348
431,133
438,110
440,241
441,348
446,110
450,137
486,188
498,110
502,137
534,188
558,98
559,133
569,98
570,98
572,98
573,133
579,98
580,133
585,110
595,98
596,98
597,98
600,98
601,98
602,133
609,98
610,98
611,133
618,98
619,98
620,133
626,98
627,110
633,98
634,110
640,98
641,110
650,543
672,188
731,685
758,701
872,776
885,810
888,133
889,710
1010,1011
1027,967
1044,1045
1079,110
1089,110
1110,1018
1110,1024
1115,967
1138,967
1140,1053
1152,110
1177,908
1180,908
1185,1200
1193,933
1199,933
1203,977
1209,115
1212,115
1272,953
1285,57
1285,73
1285,80
1286,57
1286,73
1286,80
1287,977
1299,977
1378,1168
1399,1168
1436,115
1441,115
1470,967
1471,1200
1481,133
1485,1200
1502,57
1502,73
1502,80
1571,137
1584,1488
1681,1640
1686,1640
1690,1640
1694,1640
1698,1640
1821,1778
1825,133
1826,710
1833,1769
1834,1722
1847,115
1848,1743
1852,133
1856,137
1857,1711
1876,1579
1877,1858
1884,1585
1891,1608
1892,1865
1910,1585
1920,1585
1921,1881
1922,137
1929,115
1934,57
1934,73
1934,80
1937,1865
1951,1865
1953,1608
1954,1656
1954,1662
1959,1865
1969,57
1969,73
1969,80
1972,1865
1986,1865
1995,57
1995,73
1995,80
1998,1865
2001,1608
2024,1881
2025,115
2029,110
2033,1858
2037,133
2059,2044
2067,2044
2068,57
2068,73
2068,80
2069,57
2069,73
2069,80
2076,57
2076,73
2076,80
2080,115
2084,2044
2085,115
2137,2093
2141,133
2142,710
2153,137
2166,1722
2176,115
2179,1585
2203,133
2215,2191
2222,133
2232,2186
2233,137
2238,133
2242,137
2243,137
2247,110
2252,685
2261,57
2261,73
2261,80
2265,2191
2304,115
2377,133
2382,241
2430,137
2435,2293
2472,2436
2475,543
2479,2300
2483,2468
2487,110
2492,137
2493,547
2494,137
2519,110
2529,133
2594,776
2607,2534
2610,133
2611,710
2632,110
2636,137
2637,547
2638,137
2687,2293
2691,133
2718,2300
2722,188
2723,137
2804,2824
2816,2857
2860,188
2884,2755
2888,133
2889,710
2894,133
2899,188
2903,133
2912,110
2918,115
2944,685
2949,115
2962,110
2968,2939
2976,2963
2978,137
2979,547
2980,137
2981,115
2987,2939
2991,137
2995,133
3003,543
3025,2186
3026,685
3056,110
3064,543
3087,115
3088,967
3090,57
3090,73
3090,80
3094,2186
3100,3065
3106,3020
3110,543
3114,547
3119,133
3217,110
3221,137
3242,133
3249,137
3251,137
3255,1722
3256,137
3265,110
3269,137
3274,133
3280,3222
3293,115
3293,115
3296,110
3334,115
3340,3312
3416,3367
3424,3383
3444,115
3445,2345
3449,2300
3459,3417
3468,2134
3468,2131
3469,3455
3473,133
3474,710
3492,3312
3492,3307
3493,137
3497,543
3548,3643
3551,3631
3564,3719
3571,3658
3588,3541
3593,115
3596,3558
3605,3558
3614,3511
3636,57
3636,73
3636,80
3663,3695
3759,3695
3792,110
3804,3541
3808,133
3814,2300
3852,110
3867,110
3875,115
3911,685
3928,543
3929,3889
3942,110
3943,3889
3944,547
3955,241
3958,547
3960,115
3964,110
3969,2191
3996,115
4000,137
4008,110
4012,133
4023,137
4027,115
4029,241
4034,2300
4047,133
4055,115
4058,133
4062,685
4065,685
4073,115
4075,2191
4078,2191
4085,115
4089,3222
4098,3222
4107,115
4111,110
4117,547
4118,137
4126,241
4153,110
4157,137
4162,133
4180,115
4181,137
4228,110
4232,137
4237,133
4243,137
4244,547
4245,137
4257,1585
4266,115
4270,2300
4324,967
4374,3541
4398,4278
4402,348
4404,710
4410,2468
4421,967
4423,3541
4429,776
4435,2300
4440,353
4449,137
4454,133
4465,543
4507,4520
4518,4520
4525,57
4525,73
4525,80
4690,1579
4756,1579
4772,133
4794,4480
4802,4503
4809,4503
4824,543
4841,933
4844,933
4857,543
4881,2186
4882,685
4885,547
4906,2186
4907,685
4928,133
4941,4872
4958,4901
4961,547
4962,4929
4967,133
4971,137
4976,133
5030,4981
5034,133
5035,710
5040,547
5099,776
5107,5043
5111,133
5112,710
5117,547
5124,137
5196,5204
5240,5130
5244,133
5245,710
5263,547
5313,5348
5317,5325
5329,2300
5363,5265
5367,133
5368,710
5445,5370
5449,137
5454,133
5455,710
5480,137
5494,110
5495,710
5500,5438
5501,137
5505,543
5509,137
5515,133
5520,716
5520,710
5525,5438
5526,547
5527,137
5528,547
5582,5529
5586,133
5587,710
5605,547
5609,133
5617,133
5622,3222
5635,115
5635,115
5670,110
5717,685
5720,2191
5722,1769
5725,1018
5725,1024
5726,5727
5731,5636
5739,133
5743,137
5751,133
5756,137
5757,137
5762,543
5768,137
5774,133
5782,1769
5784,685
5805,57
5805,73
5805,80
5816,5775
5881,776
5894,5820
5898,133
5899,710
5988,776
6003,5919
6007,133
6008,710
6085,6029
6089,133
6090,710
6182,6109
6186,133
6187,710
6210,110
6211,3307
6215,110
6219,137
6242,133
6243,3889
6263,133
