src, dst
19213,19172
21253,21212
24696,35931
24741,35931
37642,36553
37731,36741
79076,78748
846,798
850,798
858,822
864,822
870,822
878,790
883,790
894,822
905,822
911,822
917,822
922,790
927,790
936,822
942,822
951,816
957,822
963,822
967,798
971,798
975,798
984,822
993,822
999,822
1004,790
1011,790
1017,798
1022,790
1028,822
1033,798
1039,816
1045,822
1051,822
1057,822
1062,822
1068,822
1074,822
1080,816
1086,822
1093,822
1099,822
1105,822
1111,798
1122,798
1127,790
1142,798
1146,798
1156,798
1161,798
1168,798
1174,822
1180,822
1187,816
1193,822
1199,822
1205,822
1212,822
1219,822
1226,822
1233,822
1240,822
1247,822
1254,822
1261,822
1279,822
1284,822
1288,798
1303,798
1310,816
1317,816
1323,822
1327,798
1331,798
1335,798
1339,798
1343,798
1347,798
1353,798
1359,822
1367,798
1378,798
1387,822
1393,816
1403,822
1411,790
1416,790
1422,798
1428,816
1434,822
1440,822
1448,798
1456,822
1463,816
1470,816
1477,816
1484,816
1491,816
1497,816
1503,822
1509,822
1515,790
1521,822
1526,790
1530,816
1538,822
1544,790
1550,790
1556,790
1562,822
1568,822
1574,822
1580,822
1586,822
1592,822
1598,822
1605,816
1612,822
1619,822
1626,822
1633,822
1638,798
1642,822
1648,822
1656,822
1660,822
1666,822
1672,822
1678,822
1684,822
1690,822
1698,822
1702,822
1708,822
1714,822
1720,822
1727,790
1732,790
1736,798
1744,822
1751,790
1768,822
1774,816
1784,816
1791,816
1795,816
1804,822
1808,822
1816,822
1820,822
1826,822
1834,822
1840,822
1844,822
1852,822
1858,822
1862,822
1868,816
1875,816
1882,822
1897,816
1907,822
1913,822
1919,822
1925,822
1935,798
1944,790
1953,798
1959,790
1963,822
1970,822
1975,822
1980,790
1985,790
1989,822
1995,816
2001,798
2005,798
2009,798
2014,798
2021,816
2029,798
2033,798
2037,798
2041,798
2045,798
2049,798
2053,822
2061,822
2067,816
2071,816
2077,816
2083,816
2089,816
2095,816
2102,822
2110,822
2114,798
2118,822
2124,822
2130,822
2136,798
2147,790
2157,798
2161,816
2170,822
2176,822
2182,822
2188,822
2192,816
2198,798
2202,822
2214,798
2228,822
2234,822
2240,822
2246,822
2250,816
2258,822
2264,822
2268,816
2274,816
2282,822
2286,816
2293,816
2300,822
2317,822
2329,816
2334,798
2344,816
2357,822
2364,816
2382,822
2389,798
2396,816
2402,816
2422,822
2429,816
2439,822
2445,822
2451,822
2457,822
2465,822
2469,822
2475,822
2481,822
2487,822
2495,822
2501,822
2505,822
2513,822
2517,816
2526,816
2533,816
2540,816
2550,798
2556,822
2562,822
2566,816
2573,816
2579,816
2585,816
2595,798
2603,816
2609,816
2616,816
2623,798
2627,798
2631,798
2635,816
2643,798
2647,822
2659,816
2666,816
2676,822
2682,822
2688,822
2694,822
2703,816
2709,822
2715,798
2719,822
2725,816
2732,798
2739,798
2743,822
2756,816
2763,816
2774,816
2786,798
2795,798
2800,798
2804,816
2821,822
2826,822
2836,822
2842,816
2853,816
2859,816
2865,798
2871,790
2877,790
2881,816
2894,790
2900,790
2907,790
2914,790
2927,816
2933,798
2937,822
2943,822
2949,822
2955,798
2959,816
2968,822
2974,822
2980,822
2986,822
2990,822
2996,822
3002,822
3008,822
3014,822
3022,822
3028,822
3034,822
3040,822
3046,822
3052,822
3058,822
3064,822
3070,822
3076,822
3082,822
3088,822
3094,822
3100,822
3106,822
3112,822
3121,798
3125,816
3132,816
3140,816
3145,816
3152,816
3158,816
3164,816
3172,822
3178,822
3183,822
3189,822
3195,822
3199,816
3206,822
3212,822
3218,816
3226,822
3231,822
3241,816
3246,798
3250,822
3256,822
3262,822
3268,822
3274,822
3280,822
3286,822
3294,822
3298,822
3306,822
3310,822
3316,822
3322,822
3328,798
3332,798
3341,822
3347,822
3353,822
3359,822
3365,822
3417,790
3421,816
3430,822
3436,822
3445,822
3449,822
3455,822
3461,822
3467,822
3473,822
3479,822
3485,822
3491,822
3497,816
3504,822
3510,798
3516,822
3520,822
3526,798
3535,816
3539,822
3545,798
3552,822
3558,822
3567,822
3573,822
3577,822
3583,822
3589,816
3595,816
3601,816
3608,822
3614,798
3618,798
3622,798
3626,798
3630,798
3634,798
3638,798
3642,798
3646,798
3650,798
3654,798
3658,798
3662,798
3666,798
3670,798
3674,798
3678,798
3682,798
3686,798
3690,798
3694,798
3698,790
3703,798
3707,798
3711,798
3715,822
3721,816
3727,816
3733,816
3740,816
3746,816
3760,790
3820,3821
3857,3931
3862,3931
3926,4048
3935,3898
3948,3936
3966,3886
4004,3936
4010,3936
4013,3886
4038,3936
4059,3936
4118,3936
4126,3944
4130,3931
4133,4006
4141,3863
4143,4104
4167,4063
4168,3898
4178,4063
4179,3898
4180,4063
4181,3898
4207,4134
4331,4560
4347,4348
4549,4445
4563,4544
4567,4445
4694,4560
4698,4487
4707,4487
4998,4841
5009,4886
5034,4982
5038,4982
5066,4982
5322,4898
5325,4898
5390,5392
5445,5392
5681,5808
5689,5825
5698,5808
5703,5825
5710,5808
5715,5825
5722,5808
5727,5825
5781,5771
6266,6085
6272,6141
6275,6170
6282,6197
6327,6311
6386,6311
6389,6311
6392,6311
6395,6311
6398,6346
6401,6311
6404,6311
6407,6311
6410,6311
6413,6311
6416,6346
6419,6311
6422,6311
6425,6311
6428,6346
6684,6605
6741,6685
6921,7211
6924,7060
7315,7266
7316,7281
7450,5978
7580,7498
7684,70087
7845,7824
7866,7824
7958,7907
7996,7959
8160,8077
8199,70087
8382,36553
8382,37563
8386,36553
8386,37563
8387,36553
8387,37563
8391,36553
8391,37563
8397,36553
8397,37563
8398,36553
8398,37563
8406,36553
8406,37563
8419,36553
8419,37563
8420,36553
8420,37563
8421,36553
8421,37563
8422,8580
8423,36553
8423,37563
8429,36553
8429,37563
8437,36553
8437,37563
8441,36553
8441,37563
8442,36553
8442,37563
8445,36553
8445,37563
8482,36553
8482,37563
8496,36553
8496,37563
8497,36553
8497,37563
8498,36553
8498,37563
8547,36553
8547,37563
8548,36553
8548,37563
8551,36553
8551,37563
8553,36553
8553,37563
8557,36553
8557,37563
8559,36553
8559,37563
8564,36553
8564,37563
8566,36553
8566,37563
8594,8573
8615,8573
8741,36553
8741,37563
8808,8784
8894,8809
8897,8809
8900,8809
8903,8809
8907,8884
8929,8930
9138,9140
9373,9108
9415,9336
9420,9358
9424,9358
9434,9325
9438,9358
9528,9448
9530,9108
9539,9448
9553,9448
9555,9108
9558,9448
9656,9108
9686,9108
9784,9619
9791,9592
9843,9640
9847,9671
9849,9702
9932,9880
9975,9924
10002,9856
10004,9108
10007,9856
10036,9867
10039,9952
10041,9867
10055,9084
10082,9867
10086,9952
10133,9358
10135,9454
10149,9358
10151,9108
10165,9108
10194,9856
10196,9108
10199,9856
10206,9856
10208,9108
10210,9856
10219,9188
10243,9899
10251,9880
10277,9358
10286,9108
10291,9762
10319,10008
10329,9108
10334,10008
10340,10167
10343,10088
10393,10394
10602,10604
10837,10572
10879,10800
10884,10822
10888,10822
10898,10789
10902,10822
10993,10912
10995,10572
11004,10912
11018,10912
11020,10572
11023,10912
11121,10572
11151,10572
11249,11084
11256,11057
11308,11105
11312,11136
11314,11167
11397,11345
11440,11389
11467,11321
11469,10572
11472,11321
11501,11332
11504,11417
11506,11332
11520,10548
11547,11332
11551,11417
11598,10822
11600,10919
11614,10822
11616,10572
11630,10572
11659,11321
11661,10572
11664,11321
11671,11321
11673,10572
11675,11321
11684,10652
11708,11364
11716,11345
11742,10822
11751,10572
11756,11227
11784,11473
11794,10572
11799,11473
11805,11632
11808,11553
11815,11676
11821,11676
12036,12037
12249,12251
12492,12219
12534,12455
12539,12477
12543,12477
12553,12444
12557,12477
12646,12566
12648,12219
12657,12566
12671,12566
12673,12219
12676,12566
12774,12219
12804,12219
12902,12737
12909,12710
12961,12758
12965,12789
12967,12820
13050,12998
13093,13042
13120,12974
13122,12219
13125,12974
13154,12985
13157,13070
13159,12985
13173,12195
13200,12985
13204,13070
13251,12477
13253,12572
13267,12477
13269,12219
13283,12219
13312,12974
13314,12219
13317,12974
13324,12974
13326,12219
13328,12974
13337,12307
13361,13017
13369,12998
13395,12477
13404,12219
13409,12880
13437,13126
13447,12219
13452,13126
13458,13285
13461,13206
13511,13512
13724,13726
13967,13694
14009,13930
14014,13952
14018,13952
14028,13919
14032,13952
14122,14041
14124,13694
14133,14041
14147,14041
14149,13694
14152,14041
14250,13694
14280,13694
14378,14213
14385,14186
14437,14234
14441,14265
14443,14296
14526,14474
14569,14518
14596,14450
14598,13694
14601,14450
14630,14461
14633,14546
14635,14461
14649,13670
14676,14461
14680,14546
14727,13952
14729,14048
14743,13952
14745,13694
14759,13694
14788,14450
14790,13694
14793,14450
14800,14450
14802,13694
14804,14450
14813,13782
14837,14493
14845,14474
14871,13952
14880,13694
14885,14356
14913,14602
14923,13694
14928,14602
14934,14761
14937,14682
14944,14805
14950,14805
15165,15166
15379,15381
15398,15629
15409,15528
15414,15629
15643,15349
15685,15607
15690,15629
15694,15629
15704,15596
15708,15629
15800,15720
15802,15349
15811,15720
15825,15720
15827,15349
15830,15720
15933,15629
15941,15349
15947,15629
15970,15349
16000,15349
16095,15891
16102,15864
16108,15912
16156,15954
16160,15985
16162,16016
16205,15629
16247,16196
16290,16239
16313,15629
16317,16172
16319,15349
16322,16172
16351,16183
16354,16267
16356,16183
16370,15320
16397,16183
16401,16267
16448,15629
16450,15726
16464,15629
16466,15349
16480,15349
16509,16172
16511,15349
16514,16172
16521,16172
16523,15349
16525,16172
16534,15462
16558,16214
16566,16196
16592,15629
16601,15349
16606,16073
16634,16323
16644,15349
16649,16323
16655,16482
16658,16403
16708,16709
16922,16924
16941,17172
16952,17071
16957,17172
17186,16892
17228,17150
17233,17172
17237,17172
17247,17139
17251,17172
17344,17263
17346,16892
17355,17263
17369,17263
17371,16892
17374,17263
17477,17172
17485,16892
17491,17172
17514,16892
17544,16892
17639,17435
17646,17408
17652,17456
17700,17498
17704,17529
17706,17560
17749,17172
17791,17740
17834,17783
17857,17172
17861,17716
17863,16892
17866,17716
17895,17727
17898,17811
17900,17727
17914,16863
17941,17727
17945,17811
17992,17172
17994,17270
18008,17172
18010,16892
18024,16892
18053,17716
18055,16892
18058,17716
18065,17716
18067,16892
18069,17716
18078,17005
18102,17758
18110,17740
18136,17172
18145,16892
18150,17617
18178,17867
18188,16892
18193,17867
18199,18026
18202,17947
18209,18070
18215,18070
18433,18434
18651,18653
18816,18621
18858,18795
18865,18795
18870,18772
18875,18801
18879,18801
18900,18801
19057,18621
19164,18938
19338,18999
19352,19066
19367,19118
19394,19118
19395,19368
19401,19066
19405,19066
19408,19066
19417,19362
19421,19381
19425,19362
19440,19381
19466,19381
19552,19452
19554,18621
19563,19452
19577,19452
19579,18621
19582,19452
19682,18801
19690,18621
19696,18801
19718,18621
19746,18621
19838,19641
19845,19616
19851,19662
19899,19703
19903,19731
19905,19762
19926,19381
19966,18801
20009,19957
20052,20002
20075,18801
20079,19915
20081,18621
20084,19915
20113,19944
20116,20029
20118,19944
20132,18592
20159,19944
20163,20029
20210,18801
20212,19480
20226,18801
20228,18621
20242,18621
20271,19915
20273,18621
20276,19915
20283,19915
20285,18621
20287,19915
20296,18708
20321,19975
20329,19957
20355,18801
20364,18621
20369,19816
20397,20085
20407,18621
20412,20085
20418,20244
20421,20165
20473,20474
20691,20693
20856,20661
20898,20835
20905,20835
20910,20812
20915,20841
20919,20841
20940,20841
21097,20661
21204,20978
21378,21039
21392,21106
21407,21158
21434,21158
21435,21408
21441,21106
21445,21106
21448,21106
21457,21402
21461,21421
21465,21402
21480,21421
21506,21421
21592,21492
21594,20661
21603,21492
21617,21492
21619,20661
21622,21492
21722,20841
21730,20661
21736,20841
21758,20661
21786,20661
21878,21681
21885,21656
21891,21702
21939,21743
21943,21771
21945,21802
21966,21421
22006,20841
22049,21997
22092,22042
22115,20841
22119,21955
22121,20661
22124,21955
22153,21984
22156,22069
22158,21984
22172,20632
22199,21984
22203,22069
22250,20841
22252,21520
22266,20841
22268,20661
22282,20661
22311,21955
22313,20661
