id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,3,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/superagent/.commitlintrc.js
5,Identifier,module,-1,-1,1,0,1,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/superagent/.commitlintrc.js
6,Identifier,exports,-1,-1,1,7,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/superagent/.commitlintrc.js
7,ObjectExpression,,-1,-1,1,17,3,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/superagent/.commitlintrc.js
9,Identifier,extends,-1,-1,2,2,2,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/superagent/.commitlintrc.js
10,ArrayExpression,,-1,-1,2,11,2,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/superagent/.commitlintrc.js
11,Program,,-1,-1,1,0,5,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/superagent/.lintstagedrc.js
15,Identifier,module,-1,-1,1,0,1,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/superagent/.lintstagedrc.js
16,Identifier,exports,-1,-1,1,7,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/superagent/.lintstagedrc.js
17,ObjectExpression,,-1,-1,1,17,5,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/superagent/.lintstagedrc.js
19,ArrowFunctionExpression,,1,-1,2,10,2,75,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/superagent/.lintstagedrc.js
20,Identifier,filenames,-1,-1,2,10,2,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/superagent/.lintstagedrc.js
21,CallExpression,map,-1,1,2,23,2,75,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/superagent/.lintstagedrc.js
23,Identifier,map,-1,-1,2,33,2,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/superagent/.lintstagedrc.js
24,ArrowFunctionExpression,,1,-1,2,37,2,74,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/superagent/.lintstagedrc.js
25,Identifier,filename,-1,-1,2,37,2,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/superagent/.lintstagedrc.js
26,TemplateLiteral,,-1,-1,2,49,2,74,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/superagent/.lintstagedrc.js
27,TemplateElement,,-1,-1,2,49,2,59,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/superagent/.lintstagedrc.js
28,TemplateElement,,-1,-1,2,67,2,74,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/superagent/.lintstagedrc.js
