src, dst
594,560
509,485
509,490
527,467
527,485
527,490
548,528
834,743
868,743
875,743
882,743
891,743
1030,1052
1045,1052
1061,1004
1065,1052
1111,1129
1114,1129
1116,1129
1136,1138
1414,1347
1414,1388
1543,1462
1650,1638
1675,1685
1676,1685
1677,1685
1704,1706
1711,1721
1717,1745
1734,1745
1740,1706
1744,1706
1755,1706
1771,1784
1772,1784
1776,1784
1799,1638
1828,1416
1834,1844
1835,1844
1836,1844
1862,1865
1942,1347
1942,1388
1944,1904
1944,1912
2158,2129
2195,2149
2197,2163
2201,2149
2207,2163
2332,2333
2368,2425
2369,2390
2371,2390
2382,2425
2383,2390
2384,2390
2388,2425
2389,2390
2484,2442
2484,2449
2504,2485
2778,2687
2812,2687
2819,2687
2826,2687
2835,2687
2969,2991
2984,2991
3000,2943
3004,2991
3051,3069
3054,3069
3056,3069
3075,3077
3298,3303
3298,3341
3479,3399
3586,3575
3611,3621
3612,3621
3613,3621
3640,3642
3647,3657
3653,3681
3670,3681
3676,3642
3680,3642
3691,3642
3707,3720
3708,3720
3712,3720
3735,3575
3764,3353
3770,3780
3771,3780
3772,3780
3798,3801
3877,3303
3877,3341
3879,3839
3879,3847
4092,4063
4129,4083
4131,4097
4135,4083
4141,4097
