src, dst
15558,5807
15568,5807
16865,5127
25112,25072
25124,25072
26439,26296
29104,28869
30095,29791
31368,30080
31389,30080
3,4
73,24
76,36
77,36
88,55
101,24
165,125
354,4079
413,3923
422,400
429,404
467,3821
469,1351
472,3923
476,4261
478,4947
500,4052
503,457
520,6079
583,534
597,3821
605,1225
607,560
610,568
626,560
630,568
721,4079
867,490
920,4079
966,908
967,1351
1056,407
1065,3923
1131,3310
1137,1082
1170,1527
1176,1527
1206,490
1208,2194
1241,1570
1250,973
1259,973
1299,1660
1312,3821
1321,3821
1618,5976
1628,3179
1666,3923
1683,577
1725,5113
1733,3821
1740,5113
1745,1038
1762,5113
1769,1082
1805,6079
1866,3923
1886,2325
1960,6318
1978,1185
1985,1225
2008,407
2074,5113
2120,634
2138,5113
2167,5113
2174,1082
2176,2325
2182,1948
2202,1351
2220,1366
2220,1375
2220,1384
2220,1391
2226,4079
2236,1366
2236,1375
2236,1384
2236,1391
2249,702
2269,490
2276,4079
2307,634
2316,634
2337,490
2339,2194
2377,2400
2391,855
2408,490
2412,4079
2437,855
2453,2363
2454,4261
2484,3096
2498,1082
2518,3821
2548,994
2549,1613
2552,4015
2561,1185
2568,1225
2593,1613
2611,1225
2641,4527
3070,1185
3090,760
3152,1948
3164,1948
3190,4079
3225,5113
3237,3821
3244,1613
3258,4167
3274,994
3298,1570
3300,3301
3305,1580
3305,3310
3314,1225
3325,1570
3331,1570
3366,1570
3375,3821
3388,1570
3438,3310
3444,4079
3518,3520
3548,3367
3552,3367
3602,3520
3603,1593
3604,1593
3612,3992
3661,3821
3663,3821
3712,3481
3720,4079
3729,4079
3740,1225
3741,3481
3758,3481
3764,1570
3798,1570
3843,1281
3844,1570
3858,4079
3920,1570
3943,1570
3958,1281
3959,1570
3965,1570
3971,1570
4001,3367
4012,1929
4036,1281
4037,1570
4043,1570
4058,457
4085,3923
4099,1225
4106,577
4139,5098
4154,760
4175,490
4182,4079
4225,490
4229,4079
4274,3850
4323,6318
4347,490
4349,2194
4403,1225
4463,6318
4487,490
4489,2194
4532,2194
4533,2504
4563,509
4600,15391
4600,15475
4600,15973
4600,16054
4665,5113
4677,3821
4681,4570
4692,4167
4693,1082
4703,1948
4727,4079
4764,5113
4816,1038
4829,1185
4861,5113
4877,3821
4885,1351
4889,1660
4895,1082
4918,1262
4918,1366
4918,1375
4918,1384
4918,1391
4937,4167
4938,4947
4953,1613
4959,994
4980,2539
5064,901
5070,901
5090,2325
5091,4570
5092,490
5211,1613
5221,3821
5251,3821
5287,6318
5290,4983
5296,5941
5323,4983
5349,5272
5372,4079
5392,490
5399,4079
5443,490
5445,4931
5448,4167
5512,490
5903,1351
5913,1366
5913,1375
5913,1384
5913,1391
5965,4167
5967,6318
6001,2194
6044,509
6047,2194
6071,509
6091,6079
6142,702
6154,5113
6159,6175
6160,1082
6184,3337
6196,490
6241,1948
6251,1948
6295,4289
6311,4931
6325,4079
6361,2325
6362,4261
6371,5113
6398,5113
6600,6601
6629,2460
6638,53253
6644,2460
6651,2460
6659,2460
6666,2460
6673,6674
6677,2460
6685,4167
6701,2460
6707,2460
6714,2460
6721,2460
6733,2460
6775,5098
6782,5098
6788,5098
6793,6794
6799,53253
6806,4167
6815,2492
6849,3096
6857,3096
6864,3096
6870,6871
