id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,4,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.eslintrc.js
5,Identifier,module,-1,-1,1,0,1,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.eslintrc.js
6,Identifier,exports,-1,-1,1,7,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.eslintrc.js
7,ObjectExpression,,-1,-1,1,17,4,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.eslintrc.js
9,Identifier,root,-1,-1,2,2,2,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.eslintrc.js
11,Identifier,extends,-1,-1,3,2,3,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.eslintrc.js
12,ArrayExpression,,-1,-1,3,11,3,65,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.eslintrc.js
13,Program,,-1,-1,1,0,1,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.prettierrc.js
17,Identifier,module,-1,-1,1,0,1,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.prettierrc.js
18,Identifier,exports,-1,-1,1,7,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.prettierrc.js
19,ObjectExpression,,-1,-1,1,17,1,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.prettierrc.js
21,Identifier,singleQuote,-1,-1,1,19,1,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.prettierrc.js
22,Program,,-1,-1,1,0,19,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
23,VariableDeclaration,,-1,-1,1,0,1,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
25,Identifier,MIN_BABEL_VERSION,-1,-1,1,6,1,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
29,Identifier,module,-1,-1,3,0,3,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
30,Identifier,exports,-1,-1,3,7,3,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
31,ArrowFunctionExpression,,1,-1,3,17,19,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
32,Identifier,api,-1,-1,3,18,3,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
35,CallExpression,assertVersion,-1,1,4,2,4,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
37,Identifier,assertVersion,-1,-1,4,6,4,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
39,CallExpression,cache,-1,1,5,2,5,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
41,Identifier,cache,-1,-1,5,6,5,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
42,ReturnStatement,,-1,-1,7,2,18,4,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
43,ObjectExpression,,-1,-1,7,9,18,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
45,Identifier,presets,-1,-1,8,4,8,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
46,ArrayExpression,,-1,-1,8,13,17,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
