src,dst
2457,2426
2457,2432
2492,2464
2492,2472
2538,2500
2538,2518
2643,2579
3122,2426
3122,2432
3122,3102
3185,3188
3514,2288
3562,3503
3562,3517
3568,3503
3568,3522
3595,3503
3595,3517
3599,3503
3599,3522
3638,3503
3638,3525
3696,2288
5532,2500
5532,2518
5629,2426
5629,2432
5653,2464
5653,2472
6321,6342
6338,6342
6418,6086
6418,6185
6477,6342
6558,6342
6578,6342
6639,6086
6639,6189
6671,2288
6942,6918
6943,6921
6946,6793
6946,6924
6949,6793
6949,6928
6951,6793
6951,6931
6958,6793
6958,6924
6961,6793
6961,6928
6963,6793
6963,6931
10137,9984
10138,9984
10139,9984
11939,11810
13840,13808
16643,16541
16643,16580
16645,16541
16645,16584
16646,16541
16646,16588
16647,16541
16647,16591
16675,16541
16675,16594
16679,16541
16684,16541
16791,16541
16791,16580
16793,16541
16793,16584
16795,16541
16795,16588
16797,16541
16797,16591
17133,16541
17137,16541
17140,16541
17328,17316
17329,17319
17335,16541
17335,16894
17338,16541
17338,16897
17340,16541
17340,16894
17343,16541
17343,16897
17556,16541
17558,16541
18170,18138
18324,16541
19432,19258
19432,19328
19455,19258
19455,19328
19461,19258
19461,19328
19509,19258
19509,19328
19538,19258
19538,19328
19571,19258
19571,19324
19578,19258
19578,19342
19603,19258
19603,19324
19634,19258
19634,19324
19643,19258
19643,19328
19655,19258
19655,19324
19808,2288
56481,56404
56481,56433
56481,56508
56481,56542
56504,56404
56504,56433
56504,56508
56504,56542
63189,63190
378,362
391,182
458,56782
482,56782
492,438
492,429
513,57158
546,504
554,504
559,561
562,571
567,561
570,561
577,647
580,531
591,56782
598,561
628,616
631,620
663,665
672,613
675,755
677,665
728,56767
740,56782
746,561
749,613
751,678
753,755
758,831
762,839
766,859
770,888
788,596
803,596
807,1030
807,53882
829,596
830,596
833,57158
835,568
836,571
838,685
842,57196
845,568
849,57158
851,568
853,571
856,57205
858,685
863,423
873,487
877,423
879,93
879,87
882,571
885,685
887,568
895,555
905,692
908,692
918,487
921,423
922,911
941,487
945,423
947,911
949,93
949,87
951,571
954,685
959,423
963,423
965,487
969,93
969,87
971,568
974,568
1022,182
1041,423
1047,429
1052,568
1055,568
1060,429
1065,429
1069,429
1083,415
1085,429
1090,57196
1094,415
1097,57158
1101,415
1103,429
1105,685
1108,429
1112,429
1115,93
1115,87
1118,571
1126,568
1127,568
1132,423
1155,423
1161,93
1161,87
1169,56871
1171,571
1173,685
1177,568
1182,56879
1184,571
1186,685
1189,56850
1192,568
1193,571
1195,685
1204,57083
1206,56968
1208,521
1209,521
1211,568
1212,571
1214,685
1218,521
1220,57158
1222,568
1223,571
1225,685
1228,521
1230,57221
1233,568
1239,571
1241,685
1246,521
1248,57158
1250,571
1253,57144
1255,568
1257,571
1259,685
1266,57158
1272,57196
1273,55257
1275,55501
1278,568
1288,93
1288,87
1290,571
1293,568
1296,55862
1299,568
1300,571
1303,571
1305,57369
1307,685
1309,571
1311,57293
1313,685
1316,521
1324,55651
1340,571
1343,571
1347,685
1349,57347
1351,571
1355,685
1357,1358
1366,1376
1373,1376
1394,1420
1409,1423
1418,1423
1426,1379
1430,1389
1448,1451
1475,1451
1506,1484
1513,1484
1522,1489
1615,1639
1696,1564
1696,1566
1699,1528
1699,1564
1703,1564
1703,1679
1708,1662
1709,1569
1736,1412
1746,1561
1753,1561
1764,1561
1767,1561
1778,1484
1782,1484
1786,1484
1789,1484
1798,1769
1799,1769
1806,1518
1837,1484
1844,1484
1861,1484
1868,1484
1872,1769
1930,1379
1931,1379
1934,1379
1972,1890
1987,1962
2070,2004
2070,2012
2133,2008
2133,2024
2134,1997
2134,2000
2143,1997
2143,2000
2147,2008
2147,2024
2156,1997
2156,2000
2157,2008
2157,2024
2224,2033
2228,2033
2232,2033
2236,2033
2254,2256
2293,2257
2299,2351
2310,2358
2314,2358
2323,2256
2422,2382
2424,2396
2424,2412
2440,2428
2461,3333
2480,2468
2495,3333
2528,2498
2528,2516
2541,3333
2550,3333
2591,2553
2613,2553
2623,2768
2626,2780
2635,2576
2650,2583
2650,2595
2661,3333
2667,3333
2692,3333
2716,2734
2733,2693
2733,3333
2750,2768
2752,2780
2771,2780
2779,2756
2836,2382
2839,2756
2846,2780
2847,2791
2847,2797
2847,2803
2847,2809
2847,2815
2847,2824
2884,2780
2885,2857
2885,2864
2885,2871
2890,2893
2892,2756
2899,2854
2922,2780
2923,2901
2923,2906
2923,2910
2927,2756
2937,2939
2942,2928
2971,2934
2975,2946
2979,2934
2983,2954
2988,2966
2993,2976
2998,2966
2998,2976
3004,2928
3007,2934
3008,2756
3014,2963
3018,2780
3019,2984
3019,2989
3019,2994
3041,2780
3043,3026
3043,3030
3046,2756
3065,2780
3067,3050
3067,3054
3070,2756
3078,2780
3088,2780
3095,2419
3097,2436
3111,2419
3115,2428
3117,2436
3131,2780
3147,2436
3153,2918
3155,2756
3173,3186
3242,3169
3242,3186
3261,3194
3264,2756
3279,2780
3280,3209
3280,3233
3294,2854
3315,3289
3321,3289
3326,2780
3327,3310
3327,3316
3336,3333
3347,3333
3352,3333
3357,3343
3359,2419
3364,3366
3423,3387
3427,3393
3432,3333
3436,3333
3446,3387
3453,3393
3457,3387
3464,3393
3480,3258
3480,3343
3482,3258
3490,3258
3490,3343
3492,3258
3496,3258
3498,3258
3541,2241
3566,3625
3574,3258
3574,3258
3574,3343
3577,3475
3578,3466
3579,3643
3581,3470
3588,3258
3588,3343
3589,3485
3590,3470
3603,3625
3604,3466
