src,dst
13162,13163
14354,14318
14357,14318
14374,14322
14377,14322
14469,14470
14535,14536
16366,16224
16376,16364
16457,16364
16477,16364
16501,16224
16536,16224
16557,16224
16565,16224
16572,16224
16586,16571
16588,16224
16615,16600
17675,17663
17677,17667
17680,17681
18930,18931
19578,19579
19872,19873
19958,19955
19958,19961
20003,19890
20396,19890
21749,21750
22074,22075
22126,22127
22396,22386
25292,25293
25383,25384
25480,25442
25483,25442
25500,25447
25503,25447
25713,25714
26870,26840
26873,26840
26888,26843
26891,26843
26955,26956
27021,27022
28852,28710
28862,28850
28943,28850
28963,28850
28987,28710
29022,28710
29043,28710
29051,28710
29058,28710
29072,29057
29074,28710
29101,29086
30159,30148
30161,30152
30164,30165
31411,31412
32058,32059
32352,32353
32438,32435
32438,32441
32483,32370
32876,32370
34229,34230
34554,34555
34606,34607
34876,34866
37772,37773
37942,37943
38376,38282
40230,40233
40485,40486
40717,40718
41377,41378
42381,42382
42401,42402
42431,42432
42461,42462
42595,42596
42658,42659
42731,42732
42763,42764
43004,43005
43043,43044
43055,43056
43074,43075
43799,43800
44081,44082
44097,44098
44165,44166
44209,44210
44243,44244
44316,44317
44349,44350
44389,44390
44548,44549
44613,44614
44704,44705
44742,44743
44791,44792
44824,44825
44883,44884
44928,44929
44954,44955
44970,44971
44975,44976
45167,45168
45204,45205
45488,45489
45492,45493
45614,45733
45837,45610
45883,45740
45885,45630
45889,45740
45891,45630
45903,45904
46051,46052
46410,46411
46558,46543
46792,46427
47341,47342
47737,47654
49117,49118
49861,49831
49864,49831
49879,49834
49882,49834
49946,49947
50279,50280
50398,50403
50409,50403
50694,50695
50737,50738
50866,50867
51380,51381
51388,51389
149134,149135
149454,149455
150280,150281
150323,150324
150937,150938
150985,150986
151010,151011
151232,151233
151293,151290
151293,151297
151325,151235
151663,151235
151685,151686
152113,152114
152163,152164
152289,152290
152353,152354
152467,152468
152603,152604
152796,152797
152911,152912
152924,152925
153546,153547
153694,153695
153769,153766
153769,153771
153802,153708
154142,153708
155268,155269
155552,155553
155580,155581
155746,155747
155839,155844
155850,155844
156106,156107
156458,156459
156490,156491
156541,156542
156594,156595
156609,156610
156644,156645
156664,156665
156697,156698
156932,156933
157007,157008
157157,157099
157157,157218
157157,157236
157163,157099
157163,157218
157163,157236
157367,157099
157367,157218
157367,157236
470086,470087
470089,470090
470560,470561
470562,470563
471219,471220
471221,471222
472498,472499
472500,472501
473590,473591
473592,473593
473750,473734
474051,473916
474062,474049
474142,474049
474162,474049
474186,473916
474223,473916
474244,473916
474252,473916
474259,473916
474276,474258
474278,473916
475547,475548
475549,475550
475830,475820
476213,476153
476213,476278
476213,476296
476219,476153
476219,476278
476219,476296
476430,476153
476430,476278
476430,476296
476639,476628
476641,476632
476646,476647
476648,476649
478336,478337
478338,478339
479408,479409
479411,479412
480888,480889
480891,480892
480959,480956
480959,480965
481002,480895
481391,480895
481420,481421
481422,481423
481865,481770
484887,484852
484890,484852
484907,484856
484910,484856
484991,484992
484993,484994
485469,485470
485472,485473
485778,485781
628979,628980
629023,629024
629062,629063
629216,629217
629289,629290
629376,629377
629410,629411
629662,629663
629702,629703
629715,629716
629738,629739
630494,630495
630779,630780
630795,630796
630863,630864
630907,630908
630941,630942
631017,631018
631050,631051
631090,631091
631251,631252
631317,631318
631408,631409
631447,631448
631496,631497
631529,631530
631588,631589
631633,631634
631659,631660
631675,631676
631680,631681
631875,631876
631912,631913
632197,632198
632201,632202
632323,632442
632547,632319
632593,632449
632595,632339
632599,632449
632601,632339
632613,632614
632762,632763
633142,633143
633302,633287
633552,633161
634118,634119
634578,634483
636121,636122
636885,636849
636888,636849
636905,636853
636908,636853
636992,636993
637338,637339
637463,637468
637474,637468
637761,637762
637822,637823
637981,637982
638502,638503
638510,638511
642428,642415
642993,642948
643072,643153
643173,643206
650713,650734
652298,668345
652411,668345
652451,668345
658521,658493
658742,668517
658751,668529
658916,658752
658928,658914
659017,658914
659037,658914
659061,658752
659101,658752
659127,658752
659135,658752
659143,658752
659165,659142
659167,658752
661639,668101
661651,668101
661830,661820
662228,668357
662345,662272
662345,662430
662345,662450
662351,662272
662351,662430
662351,662450
662600,662272
662600,662430
662600,662450
662873,662859
662876,662865
666659,668357
666686,668357
667011,668345
667108,668345
667125,668357
667159,668345
668490,662904
674069,674059
674260,674181
674407,674399
674407,674402
674407,674414
674407,674424
674407,674434
674946,675019
694784,694785
697889,697890
699558,699553
699613,699608
700041,700042
701721,701722
703286,703287
705339,705340
705671,705672
705936,705937
706852,706853
707071,707072
707471,707472
707896,707897
709533,709534
709886,709887
710175,710176
710513,710514
710946,710947
711461,711462
713426,713427
716278,716279
716518,716519
717996,717997
718295,718296
718456,718457
718539,718540
719170,719171
719350,719351
719499,719500
719804,719805
720047,720048
720323,720324
725387,725388
725436,725437
725692,725693
726147,726148
726513,726514
726620,726621
726861,726862
726988,726989
727558,727559
728587,728572
729837,729838
730434,730435
13036,13037
13046,13057
13055,13057
13056,13057
13059,13060
13082,13065
13193,13171
13220,13759
13228,13196
13263,13759
13269,13196
13279,13759
13283,13196
13288,13196
13309,13830
13318,13337
13329,13830
13335,13337
13372,13337
13401,13349
13414,13337
13431,13830
13454,13759
13469,13830
13539,13522
13547,13522
13554,13522
13570,13557
13591,13830
13608,13337
13628,13337
13638,13644
13643,13644
13647,13741
13654,13337
13657,13803
13700,13702
13700,26230
13700,149837
13700,479831
13700,668300
13713,13702
13713,26230
13713,149837
13713,479831
13713,668300
13775,13747
13782,13772
13783,13784
13815,13819
13839,13784
13844,13772
13886,13884
13893,13772
13913,13759
13933,13919
13962,13747
13964,13919
13993,13641
14003,13919
14147,14099
14174,13830
14178,14140
14258,14268
14265,14268
14304,13830
14326,14327
14350,14318
14370,14322
14398,14400
14405,14338
14416,14358
14425,14430
14429,14338
14481,14494
14487,14494
14531,14532
14537,14538
14565,14601
14565,14639
14565,14651
14565,14659
14565,14673
14597,14571
