src,dst
951,903
1131,1068
1944,903
2433,1920
2447,1920
2458,1920
2481,553
2733,2429
6113,6064
6295,6232
7079,6064
7575,7055
7589,7055
7600,7055
7622,5705
7872,7571
12033,12274
12215,12814
12341,12274
12821,13045
12844,13045
12856,13045
12895,14982
14508,14434
15484,15485
17980,13045
17992,13045
18009,13045
18019,13045
21793,14982
22017,13045
22033,13045
22044,13045
22054,13045
150,151
159,172
171,172
193,183
193,186
227,203
229,203
237,245
239,251
241,290
243,328
299,319
318,319
347,348
371,351
378,173
378,183
378,186
382,374
388,376
390,376
391,376
396,365
407,369
411,374
413,374
416,374
421,173
421,183
421,186
430,351
441,365
444,365
447,365
450,365
455,419
456,376
466,376
468,351
469,376
473,365
500,173
500,183
500,186
535,536
552,376
557,548
567,519
569,428
570,428
571,553
573,428
574,553
582,482
593,482
596,376
597,331
674,376
683,684
721,365
738,739
748,365
759,482
768,751
771,376
779,376
803,798
804,798
853,376
865,419
876,482
880,862
882,376
886,862
889,365
894,419
895,376
896,376
898,376
915,611
926,856
946,621
960,428
966,650
985,962
1000,621
1011,419
1015,621
1037,848
1056,903
1059,687
1072,173
1072,183
1072,186
1074,650
1083,991
1085,650
1086,664
1087,962
1094,1168
1096,969
1099,1043
1102,957
1104,1168
1105,969
1106,1043
1126,482
1136,1114
1144,419
1147,1114
1166,1005
1184,1149
1184,1176
1185,1149
1185,1176
1214,1171
1214,1161
1228,1229
1231,194
1234,222
1260,482
1290,1291
1304,1305
1323,1005
1324,1161
1331,383
1341,708
1374,743
1381,419
1384,1359
1387,1345
1391,460
1396,694
1398,1359
1399,1337
1415,476
1442,419
1447,460
1455,1357
1458,383
1459,453
1464,397
1479,1171
1479,1319
1489,1005
1496,1405
1520,940
1538,482
1544,482
1548,553
1553,792
1657,724
1672,1673
1677,194
1679,222
1693,1588
1699,519
1702,1595
1707,482
1710,1686
1712,428
1713,1705
1718,1617
1719,1705
1720,1557
1721,1686
1726,1588
1729,519
1737,1604
1752,1588
1755,519
1760,1621
1770,1588
1773,519
1776,1621
1781,1768
1794,1621
1804,482
1807,519
1809,1595
1815,1642
1820,1595
1841,482
1862,233
1904,1588
1907,1653
1911,1901
1916,767
1917,767
1928,482
1947,611
1958,2256
1959,2260
1960,903
1968,1969
2011,1974
2014,2015
2040,2023
2042,2027
2047,2048
2085,2059
2093,2059
2095,2096
2153,2105
2166,2123
2210,460
2231,2035
2235,1196
2255,1949
2259,2200
2263,2200
2286,903
2292,903
2303,903
2310,2088
2310,2098
2311,2000
2311,2020
2316,482
2332,2145
2338,2145
2348,1942
2356,2340
2359,2100
2364,903
2373,482
2407,903
2412,743
2428,1942
2431,2421
2440,2386
2446,2421
2455,1936
2456,2421
2478,428
2479,428
2484,428
2486,553
2499,2475
2504,2475
2511,2475
2518,2475
2523,2475
2528,2475
2531,2475
2545,2493
2546,2464
2547,2464
2548,482
2557,2493
2571,173
2571,183
2571,186
2589,903
2590,2578
2598,2578
2607,173
2607,183
2607,186
2609,903
2624,903
2628,903
2636,2637
2640,194
2643,1230
2644,1230
2645,222
2654,2468
2658,2602
2660,2576
2661,2576
2662,2576
2667,2602
2672,553
2673,482
2745,2468
2747,2035
2749,1196
2751,482
2757,2468
2761,482
2772,2468
2778,2764
2779,2764
2784,2785
2788,194
2799,2809
2824,1942
2826,222
2856,2786
2875,419
2946,233
2953,2638
2955,331
2956,586
2958,586
2962,2949
2963,2468
2966,2949
2976,1357
5496,5497
5520,5499
5532,5523
5538,5524
5541,5524
5542,5524
5547,5515
5558,5519
5562,5523
5564,5523
5567,5523
5579,5499
5592,5515
5595,5515
5598,5515
5601,5515
5605,5570
5606,5524
5616,5524
5618,5499
5619,5524
5623,5515
5685,5686
5704,5524
5710,5701
5719,5669
5721,5577
5722,5577
5723,5705
5725,5577
5726,5705
5734,5631
5744,5631
5747,5524
5748,5475
5829,5524
5839,5840
5880,5515
5897,5898
5904,5515
5915,5631
5926,5907
5929,5524
5937,5524
5964,5959
5965,5959
6013,5524
6025,5570
6037,5631
6041,6022
6043,5524
6047,6022
6050,5515
6054,5570
6055,5524
6056,5524
6058,5524
6076,5762
6087,6016
6108,5775
6122,5577
6128,5804
6147,6124
6162,5775
6174,5570
6179,5775
6201,6008
6220,6064
6223,5843
6238,5804
6247,6153
6249,5804
6250,5819
6251,6124
6258,6332
6260,6131
6263,6207
6266,6119
6268,6332
6269,6131
6270,6207
6290,5631
6300,6278
6308,5570
6311,6278
6330,6168
6348,6313
6348,6340
6349,6313
6349,6340
6378,6335
6378,6325
6421,5631
6450,6451
6464,6465
6483,6168
6484,6325
6491,5533
6501,5866
6534,5900
6541,5570
6544,6519
6547,6505
6551,5610
6556,5850
6558,6519
6559,6497
6575,5626
6602,5570
6607,5610
6615,6517
6618,5533
6619,5604
6624,5548
6639,6335
6639,6479
6649,6168
6656,6565
6680,6102
6698,5631
6704,5631
6708,5705
6713,5952
6816,5883
6835,6837
6848,6748
6854,5669
6857,6755
6861,5631
6863,6841
6865,5577
6866,6860
6871,6777
6872,6860
6873,6717
6874,6841
6879,6748
6882,5669
6890,6764
6905,6748
6908,5669
6913,6780
6923,6748
6926,5669
6929,6780
6934,6921
6947,6780
6957,5631
6960,5669
6962,6755
6968,6801
6973,6755
6987,5631
6998,6983
7005,6983
7015,6834
7022,6834
7025,6837
7040,6748
7043,6812
7047,7037
7049,7029
7051,5925
7052,5925
7061,7012
7063,5631
7067,6952
7069,6952
7082,5762
7093,7391
7094,7395
7095,6064
7103,7104
7146,7109
7149,7150
7175,7158
7177,7162
7182,7183
7220,7194
7228,7194
7230,7231
7288,7240
7301,7258
7331,6952
7331,7012
7345,5610
7361,6837
7366,7170
7370,6360
7379,7012
7390,7084
7394,7335
7399,7335
7422,6064
7428,6064
7439,6064
7446,7223
7446,7233
7447,7135
7447,7155
7449,6837
7452,5631
7453,6983
7468,7280
7474,7280
7484,7077
7492,7476
7495,7235
7500,6064
7509,5631
7543,6064
7550,5900
7570,7077
7573,7563
7574,7012
7582,7522
7588,7563
7590,7012
7597,7071
7598,7563
7601,7012
7619,5577
7620,5577
7625,5577
7627,5705
7640,7616
7645,7616
7652,7616
7659,7616
7664,7616
7669,7616
7672,7616
7685,7634
7686,7606
7687,7606
7688,5631
7697,7634
7729,6064
7730,7718
7738,7718
7749,6064
7764,6064
7768,6064
7782,6394
7783,6394
7791,7609
7795,7742
7797,7716
7799,7716
7800,7716
7805,7742
7811,5705
7812,5631
7816,7017
7822,6420
7835,6420
7884,7609
7886,7170
7888,6360
7889,5631
7894,7785
7895,7609
7899,5631
7910,7609
7916,7902
7917,7902
7936,7946
7953,7968
7955,7976
7961,7077
7990,7924
8008,5570
8086,7778
8089,5475
8090,5738
8092,5738
8096,8082
8097,7609
8101,8082
8120,6517
10711,14907
10757,12274
10765,15179
10939,10894
10945,14775
10972,10963
10978,10963
10989,10949
11013,13740
11051,11036
11058,12028
11067,11052
11072,12772
11084,13011
11090,13981
11097,12325
11103,15032
11109,13011
11111,12470
11117,12274
11120,12602
11120,12670
11122,12475
11136,15287
11145,12475
11153,14886
11157,12475
11190,14880
11206,12274
11214,12274
11217,15254
11226,14880
11233,13316
11235,15254
11257,12563
11262,13697
11277,12475
11281,12635
11290,10894
11329,13316
11331,15254
11332,15254
11380,11036
11385,12470
11387,13011
11404,12274
11412,12274
11421,12325
11435,15032
11438,12325
11439,13011
11454,12325
11470,12274
11486,12274
11491,11052
11493,14880
11508,11052
11509,12028
11565,14191
11580,14211
11614,12602
11614,12670
11633,14886
11655,12475
11661,12772
11669,13697
11680,12670
11693,13011
11698,11622
11703,11622
11727,12274
11733,12274
11745,12274
11753,14114
11753,14128
11755,13832
11755,13853
11758,12475
11762,14907
11764,12635
11783,11557
11789,11557
11800,12028
11808,11791
11812,14182
11818,12274
11877,12084
11880,13665
11883,15016
11887,15016
11893,11872
11894,12877
11898,11872
11909,13908
11943,11957
11965,11988
11969,11998
11980,12028
12015,11926
12038,15041
12090,12725
12092,12725
12102,12877
12110,14628
12114,14600
12117,14600
12119,14600
12126,14628
12135,14982
12138,14907
12143,12676
12150,12755
12167,12755
12228,12877
12231,12772
12234,13697
12236,14907
12243,12094
12244,12877
12249,14907
12261,12877
12267,12253
12268,12253
12291,15041
12303,15295
12332,15054
12448,15162
12472,12475
12487,12358
12495,14946
12500,12368
12504,14907
12506,12480
12508,14853
12510,12503
12515,12398
12516,12503
12517,14142
12518,12480
12524,12358
12527,14946
12535,12380
12551,12358
12554,14946
