src,dst
828,764
2237,2225
2357,2345
5521,5453
7050,7036
7212,7196
1,2
9,29
28,29
34,41
34,36
34,35
78,41
85,41
122,105
126,105
130,105
134,105
138,105
167,12509
175,12509
179,12509
183,12509
362,311
1265,1191
2105,2106
2105,2106
2105,2106
2105,2106
2105,2106
2105,2106
2105,2106
2105,2106
2105,2106
2105,2106
2105,2106
2105,2106
2511,2480
2837,2853
2944,2925
2952,2919
2953,2936
2969,2919
2970,2936
3058,3392
3060,3392
3064,3039
3076,3392
3077,3392
3080,3039
3082,3041
3083,3030
3084,3041
3085,3041
3090,3110
3094,3100
3099,3110
3106,3392
3107,3392
3114,3030
3118,3051
3123,3051
3131,3072
3134,3100
3142,3072
3144,3072
3146,3150
3148,3072
3157,3086
3168,3342
3183,3264
3187,3236
3191,3278
3195,3264
3202,3264
3207,3240
3211,3240
3234,3352
3261,3264
3275,3086
3280,3264
3281,3306
3283,3306
3295,3284
3298,3306
3349,3086
3355,3320
3358,3320
3361,3328
3364,3328
3369,3264
3371,3395
3374,3395
3377,3342
3380,3292
3383,3292
3388,3264
3438,3439
3444,3455
3453,3455
3470,3461
3470,3464
3474,3482
3476,3486
3478,3520
3480,3551
3528,3543
3542,3543
3776,3471
3779,3759
3801,3705
3805,3705
3843,3817
3847,3834
3864,3688
3872,3705
3899,3688
3904,3817
3912,3688
3916,3471
3939,3705
3940,3922
3947,3942
3963,3688
3968,3688
3986,3688
4002,3705
4003,3987
4032,3688
4066,3471
4098,3705
4105,3705
4125,3817
4131,4080
4138,3705
4156,3688
4162,3705
4176,3471
4192,3705
4214,3705
4224,4188
4268,4253
4337,4259
4340,4257
4348,3633
4353,3456
4353,3461
4353,3464
4363,4323
4369,4347
4375,4080
4380,4194
4384,4121
4386,4080
4390,4080
4392,3619
4398,4259
4400,4261
4496,4421
4503,4449
4504,4449
4505,4415
4510,4494
4515,4421
4516,4467
4522,4523
4527,4533
4532,4533
4727,4746
4833,12509
4841,12509
4845,12509
4849,12509
5046,4991
5964,5890
6857,6858
6857,6858
6857,6858
6857,6858
6857,6858
6857,6858
6857,6858
6857,6858
6857,6858
6857,6858
6857,6858
6857,6858
7056,7311
7057,7311
7069,8009
7071,7105
7093,8009
7095,7879
7155,7311
7156,7311
7169,8009
7171,7105
7172,7879
7206,7630
7208,7311
7209,7311
7220,8009
7236,7599
7237,7599
7258,7311
7261,7311
7263,7311
7369,7311
7371,7311
7374,7329
7378,7311
7388,7648
7391,7648
7394,7648
7425,7311
7428,7311
7449,7405
7472,7476
7653,7599
7719,8009
7734,8009
7774,7311
7775,7311
7778,7311
7779,7311
7786,7311
7794,8009
7796,7105
7797,7879
7836,7630
7838,7311
7839,7311
7842,7311
7843,7311
7849,7311
7857,8009
7885,7630
7915,7498
7929,7945
7941,7311
7942,7311
8001,7311
8060,8043
8064,8043
8068,8043
8072,8043
8076,8043
8261,8257
8274,8257
8278,8257
8282,8257
8287,8257
8291,8257
8295,8257
8303,8298
8313,8257
8338,8329
8344,8341
8349,8341
8353,8341
8357,8341
8362,8341
8366,8341
8370,8341
8377,8341
8390,8341
8398,8393
10285,10235
10297,10235
10321,10235
11610,11603
11753,11702
11923,11914
12037,12000
12062,12006
12083,12009
12099,12014
12115,12018
12131,12023
12149,12000
12171,12006
12192,12009
12208,12014
12224,12018
12240,12023
12271,12252
12292,12254
12313,12255
12329,12257
12345,12259
12361,12261
12379,12252
12400,12254
12421,12255
12437,12257
12453,12259
12469,12261
12597,12576
12600,12576
12609,12576
12612,12576
12615,12576
12618,12576
13050,13051
13086,13087
13139,13135
13155,13135
13160,13135
13165,13135
13170,13135
13176,13135
13181,13135
13186,13135
13194,13189
13205,13135
14529,14518
14602,14518
16867,16845
16874,16847
19063,19064
19089,19073
19090,19073
19091,19073
19092,19073
19096,19073
19101,19073
19144,19141
19159,19141
19163,19141
19167,19141
19172,19141
19176,19141
19180,19141
19188,19183
19197,19141
19967,19961
20020,19961
21571,21545
21578,21547
