src,dst
0,3
0,1
0,2
3,4
3,5
5,6
6,7
6,8
9,10
9,15
9,18
9,19
9,214
9,215
10,11
10,13
11,12
13,14
15,16
15,17
17,14
18,19
18,20
20,21
20,16
20,22
20,23
20,24
20,25
20,26
20,27
20,28
20,29
20,30
20,31
20,32
20,33
20,34
20,35
20,39
20,40
20,63
20,64
20,12
20,131
20,132
20,133
35,36
35,37
35,38
40,41
41,42
42,43
42,44
42,52
42,53
42,55
42,56
42,60
42,61
44,45
44,46
44,47
47,48
48,49
48,50
49,14
50,51
53,54
53,45
56,57
56,58
58,14
58,59
61,62
64,65
64,66
64,69
64,70
64,87
64,88
64,112
64,113
64,121
64,122
64,126
64,127
66,67
66,68
70,21
70,71
70,72
70,75
70,76
72,73
72,74
76,77
76,82
76,84
76,85
77,78
77,79
77,80
77,81
82,83
82,81
82,80
84,83
84,81
84,80
85,86
85,81
85,80
88,89
88,90
88,91
88,104
88,105
91,92
91,96
91,100
92,21
92,75
92,93
93,94
93,95
94,81
94,83
95,81
95,83
96,21
96,75
96,97
97,98
97,99
98,81
98,86
99,81
99,86
100,21
100,75
100,101
101,102
101,103
102,81
102,83
103,81
103,86
105,106
105,107
105,108
108,109
108,111
109,110
113,114
114,22
114,68
114,115
115,116
115,117
115,118
118,120
118,16
118,119
122,55
122,12
122,123
122,124
122,125
127,128
127,129
127,130
133,134
133,183
134,135
135,136
135,137
135,138
135,139
139,140
139,153
139,164
139,165
140,141
141,144
141,142
141,143
144,22
144,145
145,146
145,147
145,83
145,150
147,148
147,149
147,22
150,151
150,152
150,22
153,154
154,156
154,155
154,143
156,22
156,157
157,146
157,158
157,83
157,161
158,159
158,160
158,22
161,162
161,163
161,22
164,146
164,83
165,146
165,166
165,83
165,181
166,167
166,174
167,168
168,170
168,169
168,143
170,22
170,171
171,172
171,173
171,22
174,175
175,177
175,176
175,143
177,22
177,178
178,179
178,180
178,22
181,182
183,184
184,185
184,186
184,187
184,188
184,189
184,190
184,191
184,192
184,193
184,210
184,211
193,194
193,195
193,198
193,199
193,207
193,208
195,196
195,197
199,200
199,201
199,202
199,203
199,204
199,205
199,206
208,209
211,80
211,212
211,213
