src,dst
231,232
485,486
558,489
560,489
627,489
649,489
665,489
668,489
671,489
676,489
681,489
687,489
832,489
839,489
851,489
854,489
855,489
865,489
880,881
888,489
899,489
915,489
925,489
926,489
997,489
1001,489
1006,489
1033,489
1049,489
1065,489
1144,1145
1277,1148
1298,1148
1299,1148
1300,1148
1310,1148
1320,1148
1322,1148
1331,1148
1336,1148
1586,1148
1594,1148
1692,1148
1739,1148
1768,1148
1771,1148
1774,1148
1776,1148
1778,1148
1781,1148
1788,1148
1792,1148
1978,1148
2090,1148
2096,1148
2099,1148
5167,2902
5196,5089
5223,5224
5329,5227
5385,5386
6298,5399
6586,5399
6706,6707
6965,5399
7337,5399
7376,5399
7450,5399
7591,5399
7718,7719
7769,5399
7837,5399
8267,5399
9072,9073
9184,9185
9594,9595
9659,9615
9688,9598
9698,9615
9775,9745
9775,9753
10152,10153
10689,10690
10751,10752
10783,10784
10826,10827
11303,11304
11931,11932
12538,12539
12634,12635
18548,14864
18581,18451
18592,18593
18754,18755
18786,18787
18930,18931
19473,9833
19523,19524
19536,9833
19593,19594
19644,19645
19657,9833
20128,9833
20145,20146
20157,9833
20203,9833
20257,9833
20297,9833
20341,9833
20462,20463
20488,9833
20531,20532
20563,9833
20594,20595
20604,9833
20631,20632
20641,9833
20668,9833
20691,20692
20701,9833
20748,9833
20782,9833
20812,9833
20832,9833
20852,9833
20869,20870
20887,9833
20964,20965
20977,9833
21019,21020
21029,9833
21038,21039
21048,9833
21057,21058
21075,9833
21471,21472
21485,9833
21547,9833
21600,9833
21638,9833
21660,9833
21673,21674
21689,9833
21720,9833
21737,9833
21751,21752
21766,9833
21809,21810
21824,9833
21914,21915
21926,9833
21961,21962
21976,9833
22127,22128
22198,22199
22223,9833
22353,22354
22441,22442
22460,22461
22470,9833
22520,22521
22533,9833
22605,22606
22626,9833
22653,22654
22681,9833
22707,22708
22721,9833
22742,22743
22758,9833
22792,22793
22805,9833
22833,22834
22847,9833
23024,23025
23108,23109
23121,9833
23181,23182
23196,9833
23503,23504
23530,9833
23572,23573
23589,9833
23690,23691
23820,23821
23835,23836
23847,9833
24165,24166
24245,24246
24261,9833
24388,24389
24423,24424
24438,9833
24467,24468
24480,9833
24498,24499
24512,9833
24563,9833
24632,24633
24646,9833
24699,9833
24771,9833
24805,9833
24827,9833
24842,24843
24854,9833
24871,24872
24924,9833
24938,9833
24945,24946
24959,9833
25025,9833
25068,9833
25089,9833
25111,9833
25138,9833
25162,9833
25195,25196
25210,9833
25923,9833
25930,25931
25945,9833
26254,26255
26593,26594
26642,26643
26656,9833
26792,26793
26809,9833
26890,26891
26900,9833
26940,26941
26950,9833
26983,26984
27001,9833
27119,27120
27144,9833
27621,27622
27634,9833
27733,27734
27748,9833
27839,27840
27854,9833
27943,27944
27955,9833
27987,27988
28004,9833
28081,28082
28093,9833
28147,28148
28163,9833
28415,9833
28431,28432
28443,9833
28460,9833
28467,28468
28479,9833
28829,28830
28847,28848
28862,9833
29036,29037
29054,9833
29082,29083
29095,9833
29105,29106
29120,9833
29337,29338
29350,9833
29375,29376
29766,29767
29810,29811
29958,29959
30353,30354
30443,30376
30483,30376
30559,30529
30559,30537
30933,30934
31470,31471
31532,31533
31564,31565
31607,31608
32084,32085
32712,32713
33319,33320
33415,33416
39329,35645
39362,39232
39373,39374
39536,39537
39568,39569
39712,39713
40254,30617
40305,40306
40318,30617
40375,40376
40426,40427
40439,30617
40910,30617
40927,40928
40939,30617
40985,30617
41039,30617
41079,30617
41123,30617
41244,41245
41270,30617
41313,41314
41345,30617
41376,41377
41386,30617
41413,41414
41423,30617
41450,30617
41473,41474
41483,30617
41530,30617
41564,30617
41594,30617
41614,30617
41634,30617
41651,41652
41669,30617
41746,41747
41759,30617
41801,41802
41811,30617
41820,41821
41830,30617
41839,41840
41857,30617
42253,42254
42267,30617
42329,30617
42382,30617
42420,30617
42442,30617
42455,42456
42471,30617
42502,30617
42519,30617
42533,42534
42548,30617
42591,42592
42606,30617
42696,42697
42708,30617
42743,42744
42758,30617
42909,42910
42980,42981
43005,30617
43135,43136
43223,43224
43242,43243
43252,30617
43302,43303
43315,30617
43387,43388
43408,30617
43435,43436
43463,30617
43489,43490
43503,30617
43524,43525
43540,30617
43574,43575
43587,30617
43615,43616
43629,30617
43806,43807
43890,43891
43903,30617
43963,43964
43978,30617
44285,44286
44312,30617
44354,44355
44371,30617
44472,44473
44602,44603
44617,44618
44629,30617
44947,44948
45027,45028
45043,30617
45170,45171
45205,45206
45220,30617
45249,45250
45262,30617
45280,45281
45294,30617
45345,30617
45414,45415
45428,30617
45481,30617
45553,30617
45587,30617
45609,30617
45624,45625
45636,30617
45653,45654
45706,30617
45720,30617
45727,45728
45741,30617
45807,30617
45850,30617
45871,30617
45893,30617
45920,30617
45944,30617
45977,45978
45992,30617
46705,30617
46712,46713
46727,30617
47036,47037
47375,47376
47424,47425
47438,30617
47574,47575
47591,30617
47672,47673
47682,30617
47722,47723
47732,30617
47765,47766
47783,30617
47901,47902
47926,30617
48403,48404
48416,30617
48515,48516
48530,30617
48621,48622
48636,30617
48725,48726
48737,30617
48769,48770
48786,30617
48863,48864
48875,30617
48929,48930
48945,30617
49197,30617
49213,49214
49225,30617
49242,30617
49249,49250
49261,30617
49611,49612
49629,49630
49644,30617
49818,49819
49836,30617
49864,49865
49877,30617
49887,49888
49902,30617
50119,50120
50132,30617
50157,50158
50548,50549
50592,50593
50740,50741
51135,51136
51225,51158
51265,51158
51314,51315
51497,51498
51682,51683
52189,52190
53087,53088
55370,55371
55918,55919
55965,55959
56157,56158
56800,56801
56895,56896
57963,57964
58210,58211
58790,58791
58851,58852
58899,58900
59360,59361
59634,59635
59689,59690
59738,59739
59762,59763
59791,59792
59904,59905
59985,59986
60026,60027
60032,60033
60038,60039
60430,60431
60578,60579
60617,60618
60662,60663
60742,60743
60773,60774
60915,60916
60981,60982
61108,61109
61196,61197
61213,61214
61252,61253
61324,61325
61356,61357
61399,61400
61421,61422
61454,61455
61482,61483
61706,61707
61807,61808
61877,61878
62174,62175
62222,62223
62309,62310
62433,62434
62446,62447
62760,62761
62844,62845
62955,62956
62990,62991
63021,63022
63039,63040
63145,63146
63276,63277
63290,63291
63339,63340
63491,63492
64170,64171
64461,64462
64776,64777
64821,64822
64965,64966
65044,65045
65079,65080
65104,65105
65232,65233
65719,65720
65809,65810
65913,65914
66002,66003
66032,66033
66109,66110
66162,66163
66379,66380
66396,66397
66802,66803
66819,66820
66982,66983
67014,67015
67026,67027
67251,67252
67276,67277
67657,67658
72282,68811
72316,72154
72327,72328
72453,72454
72840,72412
72840,72837
72860,72861
72936,72937
72964,72965
73009,73010
73463,73464
74042,74043
74226,74227
74254,74255
74293,74294
74469,74439
74469,74447
74846,74847
75383,75384
75445,75446
75477,75478
75520,75521
75997,75998
76625,76626
77232,77233
77328,77329
83242,79558
83275,83145
83286,83287
83448,83449
83480,83481
83624,83625
84167,74527
84217,84218
84230,74527
84287,84288
84338,84339
84351,74527
84822,74527
84839,84840
84851,74527
84897,74527
84951,74527
84991,74527
85035,74527
85156,85157
85182,74527
85225,85226
85257,74527
85288,85289
85298,74527
85325,85326
85335,74527
85362,74527
85385,85386
85395,74527
85442,74527
85476,74527
85506,74527
85526,74527
85546,74527
85563,85564
85581,74527
85658,85659
85671,74527
85713,85714
85723,74527
85732,85733
85742,74527
85751,85752
85769,74527
86165,86166
86179,74527
86241,74527
86294,74527
86332,74527
86354,74527
86367,86368
86383,74527
86414,74527
86431,74527
86445,86446
86460,74527
86503,86504
86518,74527
86608,86609
86620,74527
86655,86656
86670,74527
86821,86822
86892,86893
86917,74527
87047,87048
87135,87136
87154,87155
87164,74527
87214,87215
87227,74527
87299,87300
87320,74527
87347,87348
87375,74527
87401,87402
87415,74527
87436,87437
87452,74527
87486,87487
87499,74527
87527,87528
87541,74527
87718,87719
87802,87803
87815,74527
87875,87876
87890,74527
88197,88198
88224,74527
88266,88267
88283,74527
88384,88385
88514,88515
88529,88530
88541,74527
88859,88860
88939,88940
88955,74527
89082,89083
89117,89118
89132,74527
89161,89162
89174,74527
89192,89193
89206,74527
89257,74527
89326,89327
89340,74527
89393,74527
89465,74527
89499,74527
89521,74527
89536,89537
89548,74527
89565,89566
89618,74527
89632,74527
89639,89640
89653,74527
89719,74527
89762,74527
89783,74527
89805,74527
89832,74527
89856,74527
89889,89890
89904,74527
90617,74527
90624,90625
90639,74527
90948,90949
91287,91288
91336,91337
91350,74527
91486,91487
91503,74527
91584,91585
91594,74527
91634,91635
91644,74527
91677,91678
91695,74527
91813,91814
91838,74527
92315,92316
92328,74527
92427,92428
92442,74527
92533,92534
92548,74527
92637,92638
92649,74527
92681,92682
92698,74527
92775,92776
92787,74527
92841,92842
92857,74527
93109,74527
93125,93126
93137,74527
93154,74527
93161,93162
93173,74527
93523,93524
93541,93542
93556,74527
93730,93731
93748,74527
93776,93777
93789,74527
93799,93800
93814,74527
94031,94032
94044,74527
94069,94070
94460,94461
94504,94505
94652,94653
95047,95048
95137,95070
95177,95070
95253,95223
95253,95231
95627,95628
96164,96165
96226,96227
96258,96259
96301,96302
96778,96779
97406,97407
98013,98014
98109,98110
104023,100339
104056,103926
104067,104068
104230,104231
104262,104263
104406,104407
104948,95311
104999,105000
105012,95311
105069,105070
105120,105121
105133,95311
105604,95311
105621,105622
105633,95311
105679,95311
105733,95311
105773,95311
105817,95311
105938,105939
105964,95311
106007,106008
106039,95311
106070,106071
106080,95311
106107,106108
106117,95311
106144,95311
106167,106168
106177,95311
106224,95311
106258,95311
106288,95311
106308,95311
106328,95311
106345,106346
106363,95311
106440,106441
106453,95311
106495,106496
106505,95311
106514,106515
106524,95311
106533,106534
106551,95311
106947,106948
106961,95311
107023,95311
107076,95311
107114,95311
107136,95311
107149,107150
107165,95311
107196,95311
107213,95311
107227,107228
107242,95311
107285,107286
107300,95311
107390,107391
107402,95311
107437,107438
107452,95311
107603,107604
107674,107675
107699,95311
107829,107830
107917,107918
107936,107937
107946,95311
107996,107997
108009,95311
108081,108082
108102,95311
108129,108130
108157,95311
108183,108184
108197,95311
108218,108219
108234,95311
108268,108269
108281,95311
108309,108310
108323,95311
108500,108501
108584,108585
108597,95311
108657,108658
108672,95311
108979,108980
109006,95311
109048,109049
109065,95311
109166,109167
109296,109297
109311,109312
109323,95311
109641,109642
109721,109722
109737,95311
109864,109865
109899,109900
109914,95311
109943,109944
109956,95311
109974,109975
109988,95311
110039,95311
110108,110109
110122,95311
110175,95311
110247,95311
110281,95311
110303,95311
110318,110319
110330,95311
110347,110348
110400,95311
110414,95311
110421,110422
110435,95311
110501,95311
110544,95311
110565,95311
110587,95311
110614,95311
110638,95311
110671,110672
110686,95311
111399,95311
111406,111407
111421,95311
111730,111731
112069,112070
112118,112119
112132,95311
112268,112269
112285,95311
112366,112367
112376,95311
112416,112417
112426,95311
112459,112460
112477,95311
112595,112596
112620,95311
113097,113098
113110,95311
113209,113210
113224,95311
113315,113316
113330,95311
113419,113420
113431,95311
113463,113464
113480,95311
113557,113558
113569,95311
113623,113624
113639,95311
113891,95311
113907,113908
113919,95311
113936,95311
113943,113944
113955,95311
114305,114306
114323,114324
114338,95311
114512,114513
114530,95311
114558,114559
114571,95311
114581,114582
114596,95311
114813,114814
114826,95311
114851,114852
115242,115243
115286,115287
115434,115435
115829,115830
115919,115852
115959,115852
44,36
58,31
64,46
70,7
100,46
106,81
118,109
118,110
123,31
129,132
135,146
147,117
147,131
155,117
155,131
172,158
172,166
176,46
182,154
185,186
188,189
227,228
283,288
284,288
307,294
369,354
408,418
408,10509
408,31290
408,55725
408,75203
408,95984
441,250
461,458
464,458
481,482
507,508
514,563
516,576
518,592
520,989
522,1060
524,688
526,960
528,980
588,532
601,532
621,1090
626,1090
635,606
637,606
640,606
644,541
653,1090
664,1090
667,1090
670,1090
675,1090
678,1090
680,1090
686,1090
693,532
727,715
734,715
741,715
742,706
747,732
748,706
753,725
754,706
760,706
772,500
781,500
800,500
808,500
811,745
818,712
820,739
823,745
824,778
825,756
830,712
837,712
841,739
843,745
844,778
846,751
847,804
862,764
863,712
874,764
877,712
901,706
903,706
908,712
909,786
913,712
920,715
922,725
929,739
932,706
933,745
934,778
936,751
938,804
941,751
946,712
947,804
952,751
956,751
957,804
959,712
962,532
982,532
1014,532
1072,532
1140,1141
1158,190
1161,190
1167,1168
1194,1236
1200,1248
1202,1511
1204,1704
1206,1639
1208,1428
1210,1367
1212,1550
1214,1530
1216,1727
1219,1934
1226,1834
1229,2073
1261,1962
1264,1958
1267,1962
1270,1958
1273,1967
1276,1967
1279,1962
1282,1958
1284,1962
1287,1958
1289,1962
1292,1958
1301,2106
1309,1962
1328,1967
1332,2073
1338,1339
1358,1958
1365,1958
1379,2073
1386,2073
1393,2073
1399,2073
1402,1403
1424,1958
1437,1967
1439,1440
1454,1837
1464,1465
1479,1884
1483,1484
1487,1979
1496,1884
1498,1499
1502,1979
1522,2073
1528,1958
1548,1958
1557,2073
1562,1837
1573,2024
1579,1990
1597,2073
1603,1949
1612,2073
1617,1985
1619,1958
1620,2039
1626,1958
1627,1958
1628,1958
1629,1884
1634,1958
1635,1958
1636,1958
1637,1958
1651,1972
1657,1723
1659,1716
1665,1723
1670,1958
1675,2073
1678,1681
1695,1922
1697,1958
1699,1967
1701,1962
1702,1958
1718,1967
1720,1962
1721,1958
1724,1967
1733,1811
1750,2086
1751,2073
1797,1949
1808,1922
1814,1962
1836,1681
1849,2024
1853,1949
1859,1934
1860,1171
1861,1169
1875,2073
1886,1958
1909,2039
1912,1958
1920,1958
1929,2073
1930,1681
1932,1922
1953,1934
1954,1934
1959,1949
1977,1962
1981,2009
1987,1990
1992,2009
2002,1996
2007,1996
2008,1996
2013,2014
2020,2073
2023,1994
2035,2073
2078,1934
2135,2136
2212,2213
2218,2219
4090,2224
4092,2224
4095,2224
4098,2224
4100,2224
4103,2224
4106,2224
4108,2224
4110,2224
4112,2224
4114,2224
4116,2224
4118,2224
4120,2224
4122,2224
4124,2224
4126,2224
4128,2224
4130,2224
4132,2224
4134,2224
4136,2224
4138,2224
4142,2224
4145,2224
4147,2224
4149,2224
4151,2224
4153,2224
4155,2224
4165,2224
4171,2224
4177,2224
4182,2224
4187,2224
4189,2224
4198,2224
4200,2224
4202,2224
4204,2224
4206,2224
4208,2224
4210,2224
4212,2224
4214,2224
4216,2224
4221,2224
4223,2224
4226,2224
4234,2224
4236,2224
4248,2224
4251,2224
4253,2224
4255,2224
4258,2224
4261,2224
4264,2224
4267,2224
4283,2224
4285,2224
4288,2224
4290,2224
4293,2224
4295,2224
4299,2224
4303,2224
4308,2224
4310,2224
4313,2224
4318,2224
4324,2224
4328,2224
4330,2224
4335,2224
4337,2224
4339,2224
4341,2224
4343,2224
4347,2224
4351,2224
4355,2224
4358,2224
4361,2224
4364,2224
4367,2224
4370,2224
4371,2224
4374,2224
4376,2224
4384,2224
4389,2224
4391,2224
4396,2224
4399,2224
4403,2224
4406,2224
4409,2224
4418,2224
4425,2224
4435,2224
4439,2224
4441,2224
4444,2224
4447,2224
4449,2224
4451,2224
4453,2224
4455,2224
4460,2224
4464,2224
4468,2224
4470,2224
4473,2224
4478,2224
4481,2224
4485,2224
4487,2224
4489,2224
4491,2224
4493,2224
4498,2224
4500,2224
4502,2224
4506,2224
4510,2224
4512,2224
4514,2224
4516,2224
4518,2224
4522,2224
4525,2224
4527,2224
4530,2224
4533,2224
4536,2224
4539,2224
4543,2224
4547,2224
4551,2224
4555,2224
4559,2224
4563,2224
4567,2224
4571,2224
4575,2224
4578,2224
4581,2224
4583,2224
4585,2224
4587,2224
4589,2224
4591,2224
4601,2224
4603,2224
4604,2224
4606,2224
4608,2224
4611,2224
4614,2224
4620,2224
4623,2224
4626,2224
4629,2224
4633,2224
4638,2224
4641,2224
4644,2224
4654,2224
4657,2224
4660,2224
4671,2224
4673,2224
4676,2224
4680,2224
4685,2224
4687,2224
4689,2224
4692,2224
4696,2224
4703,2224
4707,2224
4712,2224
4717,2224
4720,2224
4722,2224
4724,2224
4727,2224
4732,2224
4735,2224
4741,2224
4745,2224
4751,2224
4757,2224
4759,2224
4761,2224
4767,2224
4773,2224
4776,2224
4778,2224
4781,2224
4782,2224
4786,2224
4791,2224
4795,2224
4800,2224
4803,2224
4807,2224
4810,2224
4812,2224
4815,2224
4817,2224
4822,2224
4827,2224
4829,2224
4837,2224
4839,2224
4844,2224
4849,2224
4855,2224
4859,2224
4865,2224
4868,2224
4871,2224
4874,2224
4880,2224
4883,2224
4885,2224
4887,2224
4891,2224
4897,2224
4899,2224
4901,2224
4903,2224
4905,2224
4907,2224
4909,2224
4911,2224
4913,2224
4915,2224
4920,2224
4925,2224
4928,2224
4930,2224
4936,2224
4940,2224
4942,2224
4944,2224
4950,2224
4954,2224
4956,2224
4958,2224
4960,2224
4965,2224
4967,2224
4969,2224
4971,2224
4973,2224
4975,2224
4977,2224
4982,2224
4986,2224
4989,2224
4992,2224
4994,2224
5004,2224
5006,2224
5008,2224
5011,2224
5016,2224
5018,2224
5020,2224
5023,2224
5025,2224
5027,2224
5029,2224
5037,2224
5039,2224
5041,2224
5043,2224
5047,2224
5051,2224
5055,2224
5057,2224
5060,2224
5063,2224
5066,2224
5068,2224
5070,2224
5082,2476
5087,5084
5140,5079
5190,2220
5205,190
5210,190
5213,5089
5215,5197
5219,5220
5236,5237
5275,5291
5279,5255
5290,5255
5296,5308
5324,5299
5328,5291
5334,5255
5339,5255
5352,5354
5381,5382
5394,5389
5410,190
5412,190
5416,190
5441,5442
5470,5471
5476,5458
5477,5479
5483,5429
5488,5429
5490,5494
5496,5429
5501,7651
5503,5889
5508,5574
5510,5574
5513,5996
5517,5964
5518,6073
5520,6574
5521,5971
5522,6384
5523,6306
5530,5663
5533,5663
5540,5425
5542,5964
5545,7366
5551,5663
5554,5479
5561,5458
5562,5458
5566,5640
5570,6306
5571,5896
5573,6034
5577,5628
5598,5604
5630,5604
5639,8051
5643,5433
5656,5604
5665,5443
5671,5663
5672,5663
5683,5663
5687,5688
5693,5388
5752,5798
5828,5754
5833,5841
5861,5754
5862,5754
5892,5689
5894,5895
5897,5388
5910,5911
5915,5388
5917,5918
5922,5388
5928,5929
5932,5388
5941,5942
5946,5388
5948,5949
5953,5388
5955,5956
5960,5388
5962,5963
5967,5388
5969,5970
5974,5388
5976,5977
5981,5388
5994,5995
5998,5388
6008,6009
6012,5388
6019,6020
6023,5388
6025,6026
6030,5388
6032,6033
6035,5388
6041,5433
6041,5564
6047,5479
6047,6037
6055,5479
6055,6037
6060,6061
6065,5388
6071,6072
6081,5388
6098,6092
6102,6092
6105,6087
6106,5425
6106,5429
6106,6103
6106,8094
6106,8526
6109,6087
6110,5425
6110,5429
6110,6107
6113,6092
6117,6092
