id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name,new_id
1,Program,,-1,-1,1,0,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js,0
3,IfStatement,,-1,-1,3,0,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js,1
7,Identifier,process,-1,-1,3,4,3,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js,2
8,Identifier,env,-1,-1,3,12,3,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js,3
9,Identifier,NODE_ENV,-1,-1,3,16,3,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js,4
14,Identifier,module,-1,-1,4,2,4,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js,5
15,Identifier,exports,-1,-1,4,9,4,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js,6
16,CallExpression,require,-1,1,4,19,4,62,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js,7
17,Identifier,require,-1,-1,4,19,4,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js,8
22,CallExpression,require,-1,1,6,19,6,57,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js,9
23,Program,,-1,-1,1,0,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js,10
25,IfStatement,,-1,-1,3,0,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js,11
29,Identifier,process,-1,-1,3,4,3,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js,12
30,Identifier,env,-1,-1,3,12,3,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js,13
31,Identifier,NODE_ENV,-1,-1,3,16,3,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js,14
36,Identifier,module,-1,-1,4,2,4,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js,15
37,Identifier,exports,-1,-1,4,9,4,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js,16
38,CallExpression,require,-1,1,4,19,4,61,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js,17
39,Identifier,require,-1,-1,4,19,4,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js,18
44,CallExpression,require,-1,1,6,19,6,56,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js,19
45,Program,,-1,-1,1,0,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js,20
47,IfStatement,,-1,-1,3,0,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js,21
51,Identifier,process,-1,-1,3,4,3,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js,22
52,Identifier,env,-1,-1,3,12,3,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js,23
53,Identifier,NODE_ENV,-1,-1,3,16,3,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js,24
58,Identifier,module,-1,-1,4,2,4,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js,25
59,Identifier,exports,-1,-1,4,9,4,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js,26
60,CallExpression,require,-1,1,4,19,4,59,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js,27
61,Identifier,require,-1,-1,4,19,4,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js,28
66,CallExpression,require,-1,1,6,19,6,54,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js,29
67,Program,,-1,-1,1,0,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/runtime-core/index.js,30
69,IfStatement,,-1,-1,3,0,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/runtime-core/index.js,31
73,Identifier,process,-1,-1,3,4,3,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/runtime-core/index.js,32
74,Identifier,env,-1,-1,3,12,3,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/runtime-core/index.js,33
75,Identifier,NODE_ENV,-1,-1,3,16,3,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/runtime-core/index.js,34
80,Identifier,module,-1,-1,4,2,4,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/runtime-core/index.js,35
81,Identifier,exports,-1,-1,4,9,4,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/runtime-core/index.js,36
82,CallExpression,require,-1,1,4,19,4,61,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/runtime-core/index.js,37
83,Identifier,require,-1,-1,4,19,4,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/runtime-core/index.js,38
88,CallExpression,require,-1,1,6,19,6,56,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/runtime-core/index.js,39
89,Program,,-1,-1,1,0,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/runtime-dom/index.js,40
91,IfStatement,,-1,-1,3,0,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/runtime-dom/index.js,41
95,Identifier,process,-1,-1,3,4,3,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/runtime-dom/index.js,42
96,Identifier,env,-1,-1,3,12,3,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/runtime-dom/index.js,43
97,Identifier,NODE_ENV,-1,-1,3,16,3,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/runtime-dom/index.js,44
102,Identifier,module,-1,-1,4,2,4,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/runtime-dom/index.js,45
103,Identifier,exports,-1,-1,4,9,4,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/runtime-dom/index.js,46
104,CallExpression,require,-1,1,4,19,4,60,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/runtime-dom/index.js,47
105,Identifier,require,-1,-1,4,19,4,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/runtime-dom/index.js,48
