src,dst
163,119
190,103
195,119
217,103
324,288
328,288
528,1296
536,1296
542,1296
548,1296
554,1296
560,1296
566,1296
572,1296
578,1296
584,1296
590,1296
596,1296
851,1847
883,653
884,890
914,1521
920,1635
950,1729
957,1457
974,1468
993,1056
1061,1243
1063,1296
1079,1378
1081,1378
1087,1800
1138,994
1149,1498
1151,1610
1165,1822
1386,1341
1398,1364
1631,1582
1632,1582
1666,1644
1710,1644
1814,1714
2129,2092
2143,2227
2147,2240
2288,2227
2369,2316
2502,2466
2517,2466
2537,2466
2541,2455
2609,2481
2632,2481
2863,2844
2869,2844
2872,2837
2948,3627
2968,3627
2979,3987
2990,2875
3133,3037
3142,3103
3155,3054
3184,3627
3187,4147
3270,4018
3357,4177
3377,4226
3382,4226
3394,4226
3402,4226
3406,4226
3416,4226
3424,4226
3516,3454
3521,3483
3565,3483
3674,4485
3740,3702
3786,3710
3861,3816
3867,3797
4135,4094
4138,4110
4151,4100
4153,4142
4155,4125
4352,4295
4372,4295
4504,4376
4507,4461
4538,4303
4542,4267
4559,4461
4562,4461
4732,4622
4738,4648
4741,4682
4835,4856
4837,4893
4840,4856
4841,4856
4842,4964
5129,5119
5134,5250
5138,5192
5143,5119
5150,3987
5168,5146
5170,5250
5173,5192
5176,5119
5178,3987
5212,5197
5216,5127
5223,5140
5226,5174
5257,5229
5259,5233
5273,5238
5280,5229
5281,5250
5290,5261
5292,5261
5384,5328
5386,5328
5405,5382
5419,5392
5420,5382
6185,6186
6388,6288
6392,6321
6394,6337
6397,6352
6424,4177
6428,6418
6470,6418
6472,6418
6474,6418
6476,6418
6478,6418
6480,6439
6482,6418
6484,6418
6486,6418
6488,6418
6490,6418
6492,6439
6494,6418
6496,6418
6498,6418
6500,6418
6502,6439
6509,6418
6510,6418
6511,6418
6512,6418
6513,6418
6514,6439
6515,6418
6516,6418
6517,6418
6518,6418
6519,6418
6520,6439
6521,6418
6522,6418
6523,6418
6524,6418
6525,6439
6527,6505
6529,6505
6531,6418
6533,6505
6539,6418
6561,6505
6565,6418
6566,6505
6568,6505
6572,6505
6576,6439
6580,6505
6581,6505
6585,6505
6589,6505
6593,6505
6597,6439
6601,6505
6605,6505
6606,6505
6607,6505
6608,6439
6612,6505
6613,6505
6614,6505
6618,6505
6704,4226
6734,3838
6744,5000
6746,4576
6769,6944
6799,6944
6823,6944
6845,6944
6852,6944
6925,6896
6985,6973
7001,6973
7033,6944
7044,6944
7051,6944
7058,6944
7065,6944
7072,6944
7079,6944
7086,6944
7093,6944
7100,6944
7107,6944
7114,6944
7121,6944
7128,6944
7135,6944
7170,6896
7207,6944
7208,7150
7213,6944
7214,7150
7219,6944
7220,7150
7225,6944
7226,7150
7231,6944
7232,7150
7237,6944
7238,7150
7243,6944
7252,6944
7261,6944
7269,6944
7276,6944
7283,6944
7290,6944
7291,7150
7296,6944
7411,3587
7437,3483
7442,2265
7448,7602
7451,7516
7478,2102
7496,4814
7504,4755
7508,4755
7546,3987
7551,3987
7706,7650
8000,7669
8060,8032
8061,8042
8132,8088
8140,8088
8180,8181
8249,8208
8251,8196
8484,8196
8524,8571
8532,8587
8538,8658
8589,8658
