src,dst
133,85
134,85
135,85
136,85
137,85
138,85
139,94
145,1301
162,816
172,816
176,99
179,1301
190,798
197,798
200,99
204,85
205,85
206,85
207,85
208,85
209,85
210,94
211,177
215,177
218,177
221,177
226,140
229,140
232,140
235,140
238,140
241,140
245,140
250,140
252,140
254,140
257,140
259,140
287,798
306,281
308,281
350,798
378,798
416,798
471,441
477,441
483,441
491,441
499,441
510,441
516,441
618,587
643,608
644,587
646,587
652,608
677,1295
685,732
695,732
696,798
699,1292
718,663
727,663
734,9
734,2718
739,1251
741,1320
741,1328
741,1332
743,623
753,663
755,663
811,868
814,931
820,1320
820,1328
820,1332
822,1320
822,1328
822,1332
824,1267
828,663
852,1251
859,1251
860,1267
861,1320
861,1328
861,1332
863,702
866,1301
870,1320
870,1328
870,1332
872,1320
872,1328
872,1332
903,913
917,1202
921,1202
924,1202
953,1051
1021,1251
1022,1320
1022,1328
1022,1332
1024,1251
1027,735
1032,1320
1032,1328
1032,1332
1062,1085
1083,1120
1148,1110
1166,794
1169,794
1174,1110
1176,1110
1261,1193
1282,1193
1314,1315
1380,1358
1390,1358
1399,1358
1405,1358
1418,1358
1427,1358
1442,1358
1487,1488
1528,798
1536,798
1542,798
1543,1497
1553,798
1554,1497
1568,798
1574,798
1579,798
1587,798
1597,798
1601,798
1619,798
1628,816
1630,1497
1643,816
1644,1497
1657,816
1658,1497
1674,798
1686,798
1707,798
1715,798
1727,798
1745,798
1756,798
1775,798
1790,798
1798,816
1803,816
1811,816
1815,816
1819,816
1823,816
1827,816
1831,816
1835,816
1839,816
1843,816
1848,816
1853,816
1859,816
1864,816
1877,816
1882,816
1895,816
1898,816
1907,816
1916,830
1939,830
1950,830
1953,1930
1954,1933
1962,830
1977,830
1988,830
2024,830
2042,830
2049,830
2060,830
2082,830
2098,830
2113,816
2116,865
2118,816
2130,816
2133,865
2134,816
2146,816
2150,816
2154,816
2158,816
2166,816
2167,1497
2168,1497
2174,816
2179,816
2184,816
2189,816
2200,816
2208,816
2213,816
2218,798
2230,816
2231,1497
2233,1497
2237,816
2238,1497
2240,1497
2244,816
2245,1497
2246,1497
2252,816
2253,1497
2255,1497
2259,816
2260,1497
2276,798
2285,798
2294,816
2298,816
2300,816
2301,1497
2304,1497
2310,816
2312,816
2320,816
2321,1497
2323,1497
2329,816
2330,1497
2331,1497
2337,816
2338,1497
2339,1497
2345,816
2346,1497
2347,1497
2353,816
2354,1497
2356,1497
2362,816
2363,1497
2380,1497
2387,816
2388,1497
2401,1497
2412,1480
2419,1496
2422,816
2423,1497
2431,816
2438,816
2449,1496
2456,816
2457,1497
2463,1497
2470,816
2471,1497
2474,1497
2479,816
2480,1497
2483,1497
2493,816
2494,1497
2497,1497
2502,816
2503,1497
2506,1497
2510,816
2511,1497
2522,816
2523,1497
2534,816
2542,816
2543,1497
2547,1497
2552,816
2553,1497
2558,1497
2566,816
2567,1497
2571,1497
2588,816
2589,1497
2593,1497
2605,816
2606,1497
2609,1497
2614,816
2615,1497
2618,1497
2624,816
2625,1497
2629,1497
2634,816
2635,1497
2638,1497
2643,798
2644,1497
2663,798
2664,1497
2677,816
2678,1497
2681,1497
2683,816
2684,1497
2688,816
2689,1497
2695,816
2711,816
2712,1497
2713,1497
2725,830
2752,1480
2754,1480
2758,1496
2759,1496
2761,1496
2762,1496
2781,798
2791,798
2800,798
2860,1202
2862,1202
2867,1202
2869,1202
2876,1202
2878,1202
2885,1224
2887,1224
2892,1224
2894,1224
2903,1224
2905,1224
2916,1231
2918,1231
2925,1251
2927,1251
2933,1251
2935,1251
2940,1251
2942,1251
2954,1251
2956,1251
2966,1251
2968,1251
2979,1251
2984,1251
2992,1267
2994,1267
2999,1267
3001,1267
3006,1267
3008,1267
3016,1267
3018,1267
3023,1267
3025,1267
3030,1267
3032,1267
3039,1267
3041,1267
3054,1267
3057,1267
3068,1292
3072,1292
3075,1292
3078,1292
3083,1292
3086,1292
3089,1292
3097,1295
3100,1295
3105,1295
3107,1295
3112,1295
3114,1295
3119,1295
3122,1295
3131,1298
3134,1295
3139,1298
3141,1295
3146,1298
3148,1295
3155,1301
3167,1304
3177,1304
3179,1304
3186,1304
3188,1304
