id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name,new_id
1,Program,,-1,-1,1,0,195,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,0
3,VariableDeclaration,,-1,-1,3,0,3,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,1
5,Identifier,ejs,-1,-1,3,4,3,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,2
6,CallExpression,require,-1,1,3,10,3,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,3
7,Identifier,require,-1,-1,3,10,3,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,4
8,VariableDeclaration,,-1,-1,4,0,4,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,5
10,Identifier,path,-1,-1,4,4,4,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,6
11,CallExpression,require,-1,1,4,11,4,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,7
15,Identifier,fileLoader,-1,-1,6,4,6,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,8
16,FunctionExpression,,1,-1,6,17,6,72,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,9
17,Identifier,n,-1,-1,6,26,6,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,10
19,ReturnStatement,,-1,-1,6,31,6,70,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,11
21,Identifier,files,-1,-1,6,38,6,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,12
22,CallExpression,basename,-1,2,6,44,6,68,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,13
24,Identifier,basename,-1,-1,6,49,6,57,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,14
25,VariableDeclaration,,-1,-1,8,0,8,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,15
27,Identifier,loops,-1,-1,8,4,8,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,16
28,VariableDeclaration,,-1,-1,9,0,9,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,17
30,Identifier,runs,-1,-1,9,4,9,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,18
31,VariableDeclaration,,-1,-1,11,0,11,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,19
33,Identifier,runCompile,-1,-1,11,4,11,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,20
34,VariableDeclaration,,-1,-1,12,0,12,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,21
36,Identifier,runNoCache,-1,-1,12,4,12,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,22
37,VariableDeclaration,,-1,-1,13,0,13,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,23
39,Identifier,runCache,-1,-1,13,4,13,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,24
40,VariableDeclaration,,-1,-1,15,0,15,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,25
42,Identifier,i,-1,-1,15,4,15,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,26
43,WhileStatement,,-1,-1,16,0,38,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/benchmark/bench-ejs.js,27
