src,dst
118,113
250,266
309,266
315,322
328,350
332,364
354,336
357,342
367,336
370,342
390,280
402,406
424,567
447,539
454,419
464,539
469,419
479,539
480,495
501,419
508,419
515,419
530,539
551,567
628,916
637,623
643,613
647,712
665,539
723,697
769,783
803,783
806,838
845,813
849,817
861,828
901,880
902,735
903,796
904,852
905,862
956,601
959,631
962,567
965,560
983,518
987,431
993,395
994,208
995,300
996,377
997,613
998,182
1004,154
1042,1026
1144,518
1156,431
1168,431
1181,431
1190,431
1199,431
1214,431
1227,431
1251,601
1479,1526
1495,1451
