id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name,new_id
1,Program,,-1,-1,4,0,8,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/electron.js,0
5,Identifier,module,-1,-1,4,0,4,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/electron.js,1
6,Identifier,exports,-1,-1,4,7,4,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/electron.js,2
7,ObjectExpression,,-1,-1,4,17,8,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/electron.js,3
9,Identifier,settings,-1,-1,5,2,5,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/electron.js,4
10,ObjectExpression,,-1,-1,5,12,7,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/electron.js,5
12,ArrayExpression,,-1,-1,6,27,6,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/electron.js,6
13,Program,,-1,-1,6,0,14,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/errors.js,7
17,Identifier,module,-1,-1,6,0,6,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/errors.js,8
18,Identifier,exports,-1,-1,6,7,6,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/errors.js,9
19,ObjectExpression,,-1,-1,6,17,14,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/errors.js,10
21,Identifier,plugins,-1,-1,7,2,7,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/errors.js,11
22,ArrayExpression,,-1,-1,7,11,7,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/errors.js,12
24,Identifier,rules,-1,-1,8,2,8,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/errors.js,13
25,ObjectExpression,,-1,-1,8,9,13,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/errors.js,14
31,Program,,-1,-1,4,0,13,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react-native.js,15
35,Identifier,module,-1,-1,4,0,4,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react-native.js,16
36,Identifier,exports,-1,-1,4,7,4,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react-native.js,17
37,ObjectExpression,,-1,-1,4,17,13,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react-native.js,18
39,Identifier,settings,-1,-1,5,2,5,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react-native.js,19
40,ObjectExpression,,-1,-1,5,12,12,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react-native.js,20
42,ObjectExpression,,-1,-1,6,23,11,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react-native.js,21
44,Identifier,node,-1,-1,7,6,7,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react-native.js,22
45,ObjectExpression,,-1,-1,7,12,10,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react-native.js,23
47,Identifier,extensions,-1,-1,9,8,9,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react-native.js,24
48,ArrayExpression,,-1,-1,9,20,9,64,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react-native.js,25
49,Program,,-1,-1,8,0,18,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react.js,26
53,Identifier,module,-1,-1,8,0,8,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react.js,27
54,Identifier,exports,-1,-1,8,7,8,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react.js,28
55,ObjectExpression,,-1,-1,8,17,18,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react.js,29
57,Identifier,settings,-1,-1,10,2,10,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react.js,30
58,ObjectExpression,,-1,-1,10,12,12,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react.js,31
60,ArrayExpression,,-1,-1,11,25,11,40,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react.js,32
62,Identifier,parserOptions,-1,-1,14,2,14,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react.js,33
63,ObjectExpression,,-1,-1,14,17,16,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react.js,34
65,Identifier,ecmaFeatures,-1,-1,15,4,15,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react.js,35
66,ObjectExpression,,-1,-1,15,18,15,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react.js,36
68,Identifier,jsx,-1,-1,15,20,15,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/react.js,37
69,Program,,-1,-1,5,0,28,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/recommended.js,38
73,Identifier,module,-1,-1,5,0,5,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/recommended.js,39
74,Identifier,exports,-1,-1,5,7,5,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/recommended.js,40
75,ObjectExpression,,-1,-1,5,17,28,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/recommended.js,41
77,Identifier,plugins,-1,-1,6,2,6,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/recommended.js,42
78,ArrayExpression,,-1,-1,6,11,6,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/recommended.js,43
80,Identifier,rules,-1,-1,8,2,8,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/recommended.js,44
81,ObjectExpression,,-1,-1,8,9,20,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/recommended.js,45
91,Identifier,parserOptions,-1,-1,24,2,24,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/recommended.js,46
92,ObjectExpression,,-1,-1,24,17,27,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/recommended.js,47
94,Identifier,sourceType,-1,-1,25,4,25,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/recommended.js,48
96,Identifier,ecmaVersion,-1,-1,26,4,26,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/recommended.js,49
97,Program,,-1,-1,7,0,12,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/stage-0.js,50
101,Identifier,module,-1,-1,7,0,7,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/stage-0.js,51
102,Identifier,exports,-1,-1,7,7,7,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/stage-0.js,52
103,ObjectExpression,,-1,-1,7,17,12,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/stage-0.js,53
105,Identifier,plugins,-1,-1,8,2,8,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/stage-0.js,54
106,ArrayExpression,,-1,-1,8,11,8,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/stage-0.js,55
108,Identifier,rules,-1,-1,9,2,9,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/stage-0.js,56
109,ObjectExpression,,-1,-1,9,9,11,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/stage-0.js,57
111,Program,,-1,-1,10,0,34,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/typescript.js,58
112,VariableDeclaration,,-1,-1,10,0,10,61,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/eslint-plugin-import/config/typescript.js,59
