src,dst
53,24
61,36
64,24
205,20220
283,267
288,248
293,267
303,267
316,304
317,307
321,277
322,284
323,294
334,307
348,267
349,22279
371,325
411,395
415,395
422,22217
426,22158
432,355
434,325
436,325
442,22217
454,22158
457,355
459,325
469,22217
471,325
474,395
477,395
489,372
504,325
507,341
551,20220
576,22279
580,22279
587,22279
593,22279
601,582
607,582
610,578
613,596
615,596
619,578
634,573
637,596
642,582
647,20292
654,573
666,573
668,596
698,20220
745,22279
751,22279
766,720
853,20220
881,785
886,825
897,793
900,22279
904,22279
912,798
916,802
918,816
923,19724
927,22279
945,19724
948,931
949,22279
969,913
975,940
991,22279
996,22279
1014,22279
1090,20220
1115,23012
1139,23012
1140,1127
1142,22279
1147,22279
1172,19652
1177,19868
1187,20262
1194,20262
1200,22251
1203,1120
1208,22251
1221,1120
1226,1149
1230,1120
1235,22251
1238,1120
1242,1149
1244,1120
1249,19868
1253,1149
1259,22251
1261,1120
1263,1120
1272,19652
1280,1149
1284,1120
1295,1135
1304,1144
1331,20220
1447,1399
1452,22279
1499,20220
1566,1468
1571,22279
1607,20220
1656,22279
1666,1650
1676,20292
1686,1650
1690,1650
1692,1650
1721,20220
1762,1739
1770,1748
1783,19724
1786,1755
1789,19724
1791,1755
1792,22279
1802,22279
1842,20220
1892,1881
1893,22279
1900,22230
1907,22241
1928,1873
1937,1887
1940,1873
1944,1887
1949,1911
1954,22792
1957,1911
1963,22158
1969,1945
2002,22217
2005,1873
2007,1897
2009,1904
2011,1945
2016,22217
2018,1873
2020,1897
2022,1904
2024,1945
2031,1873
2033,22217
2036,19598
2038,1911
2043,22217
2045,1873
2047,1897
2049,1904
2053,19527
2057,1945
2068,22217
2070,1873
2072,1897
2074,1904
2077,1911
2152,2128
2178,2128
2182,2133
2204,20220
2261,2174
2265,2117
2268,2184
2271,2187
2282,2092
2285,2133
2286,2153
2288,2133
2289,2159
2290,2144
2293,22279
2297,2251
2310,2128
2313,2291
2319,2128
2322,2291
2353,2299
2392,20220
2433,22279
2446,2369
2448,2369
2505,20784
2562,20784
2583,22279
2586,22279
2636,22279
2644,22279
2657,2608
2660,22279
2680,2608
2683,22279
2696,20220
2704,2646
2708,20292
2712,2662
2911,20220
2959,2874
2962,2842
2966,22279
2975,2885
2978,2842
2981,22279
3018,20220
3041,3031
3059,3038
3061,3038
3066,22279
3073,3031
3076,22279
3080,3031
3112,20220
3202,3174
3294,3282
3298,3282
3302,3282
3309,3238
3311,3161
3316,3188
3322,3174
3330,22279
3365,3206
3395,20220
3422,19637
3424,22279
3436,19637
3497,20220
3546,3519
3553,3519
3582,3538
3583,3542
3585,3555
3594,20436
3601,3532
3613,3519
3629,3519
3642,3532
3668,3542
3674,3603
3684,22279
3693,20427
3714,20427
3726,22279
3730,20427
3739,3547
3740,3532
3741,3597
3748,3568
3749,3573
3752,3637
3758,20436
3766,3759
3781,3755
3783,3763
3785,3564
3787,3577
3788,20427
3790,3559
3791,3681
3798,3759
3800,3577
3802,3559
3803,3681
3805,20427
3806,3681
3813,20427
3844,3755
3847,3815
3862,3755
3864,3815
3876,20427
3877,3833
3880,3586
3881,3853
3884,3586
3887,3807
3891,20427
3894,3597
3895,3547
3899,3586
3902,3807
3907,3681
3911,3870
3912,3767
3915,3888
3916,3723
3960,20220
3986,3925
4028,3987
4032,3987
4035,3996
4038,22279
4058,22279
4065,22279
4077,22279
4093,4011
4134,20220
4229,4187
4237,4187
4244,4187
4284,22279
4297,4254
4301,22279
4311,4254
4314,22279
4339,4254
4344,4254
4347,22279
4368,4254
4372,4254
4375,22279
4384,22279
4448,4373
4451,4245
4452,4280
4456,4382
4459,4245
4460,4299
4463,4245
4466,4280
4469,4312
4471,4245
4474,4299
4477,4345
4508,20220
4538,4521
4558,22279
4571,22279
4580,22279
4588,22279
4627,20220
4680,22279
4689,22279
4717,20220
4744,4730
4745,4730
4753,22279
4767,4730
4771,22279
4829,20220
4844,20834
4848,20820
4870,23012
4871,22279
4895,4797
4896,4797
4919,4797
4920,4797
4924,4797
4939,22792
4978,4866
4981,22279
4987,4875
5013,4934
5015,4866
5022,22279
5025,4907
5050,20220
5109,5093
5112,5093
5146,5097
5149,5097
5172,5097
5185,22279
5192,22279
5222,20220
5283,22279
5343,5302
5348,19637
5350,5273
5366,5302
5367,5333
5400,20220
5522,22279
5528,5442
5599,5530
5602,5560
5605,5566
5607,19637
5611,5514
5637,5514
5662,5530
5666,5560
5667,5566
5668,5574
5669,5595
5677,5530
5680,5595
5689,5530
5698,19618
5702,5595
5712,5530
5713,5612
5727,5530
5728,5595
5736,20427
5746,20443
5751,5530
5754,5530
5756,5514
5806,20220
5832,20834
5836,20820
5846,22279
5849,22279
5864,5855
5867,5855
5881,5855
5903,19652
5908,5855
5914,5838
5924,5921
5925,5838
5928,5921
5929,5838
5931,5921
5932,5838
5934,5921
5936,5838
5987,22279
6003,5885
6004,22279
6022,22279
6030,22279
6041,19652
6043,5915
6044,5900
6051,19652
6053,5915
6054,5900
6091,20220
6122,20427
6124,6115
6125,20427
6142,20427
6144,6115
6146,20427
6151,22279
6175,20427
6176,6157
6180,22764
6193,6162
6205,6119
6209,6148
6212,6127
6213,6197
6218,6127
6221,6137
6223,6148
6233,22770
6237,6157
6241,6137
6242,6197
6280,20220
6413,6251
6414,22279
6419,6321
6452,20220
6500,6486
6535,6486
6538,6433
6539,6433
6553,22279
6573,22279
6615,20220
6666,6653
6668,6653
6670,6653
6715,22279
6722,6688
6725,6699
6731,6644
6736,6688
6739,6653
6742,6682
6751,6688
6753,6653
6757,6682
6771,20404
6780,6653
6782,6719
6784,22279
6817,22279
6830,20220
6839,6798
6842,6798
6893,6854
6916,6854
6918,6854
6922,6854
6924,6854
6929,6854
6944,6854
6952,6854
6974,20220
7023,6854
7050,22279
7079,20220
7122,22279
7169,7162
7175,7171
7177,7171
7197,7184
7198,7184
7218,7184
7229,19707
7243,7171
7250,7171
7322,7162
7324,19707
