src,dst
7743,7740
8434,8428
223,2208
224,1876
239,2789
248,2789
266,2789
272,2315
306,295
337,341
356,358
378,427
398,427
401,427
405,419
407,413
410,341
426,330
433,360
435,330
441,483
444,427
473,360
477,448
479,483
480,347
481,341
486,419
491,341
492,341
493,360
498,483
499,347
500,341
544,957
569,2789
583,596
589,521
591,559
620,596
628,973
632,586
633,586
635,835
638,752
641,748
643,824
644,824
645,824
646,824
649,739
651,824
652,824
653,824
654,824
655,824
660,586
663,870
667,824
673,586
682,824
694,596
695,870
700,824
701,824
702,824
706,669
710,729
716,824
717,824
720,657
726,824
731,973
733,835
735,748
737,752
738,739
742,824
743,824
744,824
746,596
747,824
750,596
751,824
754,870
756,824
762,596
763,824
764,302
769,831
771,824
774,295
779,880
782,824
785,824
788,824
789,824
793,824
797,824
801,824
804,824
807,824
814,824
817,867
821,824
823,824
837,302
842,880
846,285
866,867
869,596
873,862
874,824
875,824
877,596
878,824
886,2841
897,935
901,949
905,1056
905,998
911,2789
913,935
919,949
922,1056
922,998
932,916
956,559
956,521
970,957
1007,1050
1013,1736
1034,427
1048,1728
1072,1191
1091,1580
1112,1631
1119,392
1121,347
1121,395
1124,1283
1126,399
1132,403
1134,347
1134,395
1135,399
1136,403
1140,1195
1148,1019
1175,1732
1179,352
1187,358
1193,386
1194,386
1221,1283
1230,1240
1237,427
1249,413
1269,399
1271,1046
1275,399
1277,395
1282,403
1293,1736
1295,1724
1297,1789
1301,1699
1305,1620
1306,437
1311,1736
1313,1724
1314,1789
1315,1682
1319,1717
1322,1631
1325,437
1335,1697
1337,1638
1341,1631
1342,1026
1343,1699
1346,1699
1347,1631
1349,1026
1351,1631
1353,1026
1356,1631
1357,1026
1359,1736
1360,1699
1366,1627
1368,1724
1379,1620
1380,1010
1382,1365
1383,1398
1388,1620
1390,1398
1395,1627
1396,1627
1397,1398
1403,1620
1404,1822
1412,1638
1416,1003
1425,1620
1427,1736
1428,1699
1429,1724
1433,1627
1448,1620
1449,1732
1453,1627
1454,1728
1457,1627
1462,1627
1463,1606
1465,1627
1471,1003
1472,1789
1473,399
1475,437
1481,1699
1483,1743
1494,1736
1498,1504
1501,437
1503,1620
1519,1743
1520,1620
1521,437
1525,1616
1528,1699
1529,1431
1531,1743
1534,1003
1540,1736
1541,1620
1547,1736
1548,437
1555,1763
1558,1699
1568,1003
1572,1732
1574,1620
1575,437
1579,1699
1586,998
1589,1597
1595,1056
1624,427
1629,1620
1630,995
1633,399
1634,1026
1635,448
1637,399
