id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name,new_id
1,Program,,-1,-1,8,0,18,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/.eslintplugin/index.js,0
5,Identifier,exports,-1,-1,8,0,8,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/.eslintplugin/index.js,1
6,Identifier,rules,-1,-1,8,8,8,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/.eslintplugin/index.js,2
7,ObjectExpression,,-1,-1,8,16,18,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/.eslintplugin/index.js,3
11,CallExpression,require,-1,1,9,26,9,69,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/.eslintplugin/index.js,4
12,Identifier,require,-1,-1,9,26,9,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/.eslintplugin/index.js,5
14,CallExpression,get,-1,1,13,4,15,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/.eslintplugin/index.js,6
17,CallExpression,require,-1,1,13,4,13,42,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/.eslintplugin/index.js,7
18,Identifier,builtinRules,-1,-1,13,43,13,55,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/.eslintplugin/index.js,8
19,Identifier,get,-1,-1,13,56,13,59,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/.eslintplugin/index.js,9
21,CallExpression,get,-1,1,17,4,17,76,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/.eslintplugin/index.js,10
24,CallExpression,require,-1,1,17,4,17,42,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/.eslintplugin/index.js,11
25,Program,,-1,-1,8,0,54,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,12
26,VariableDeclaration,,-1,-1,8,0,8,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,13
28,Identifier,semver,-1,-1,8,6,8,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,14
29,CallExpression,require,-1,1,8,15,8,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,15
30,Identifier,require,-1,-1,8,15,8,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,16
31,VariableDeclaration,,-1,-1,9,0,9,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,17
33,Identifier,pkg,-1,-1,9,6,9,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,18
34,CallExpression,require,-1,1,9,12,9,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,19
35,VariableDeclaration,,-1,-1,11,0,11,73,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,20
37,Identifier,supportedNodeVersion,-1,-1,11,6,11,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,21
39,CallExpression,minVersion,-1,1,11,29,11,64,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,22
41,Identifier,minVersion,-1,-1,11,36,11,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,23
44,Identifier,engines,-1,-1,11,51,11,58,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,24
45,Identifier,node,-1,-1,11,59,11,63,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,25
46,Identifier,version,-1,-1,11,65,11,72,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,26
50,Identifier,module,-1,-1,13,0,13,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,27
51,Identifier,exports,-1,-1,13,7,13,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,28
52,ObjectExpression,,-1,-1,13,17,54,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,29
54,Identifier,babelrcRoots,-1,-1,14,2,14,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,30
55,ArrayExpression,,-1,-1,14,16,14,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,31
57,Identifier,exclude,-1,-1,16,2,16,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,32
59,Identifier,overrides,-1,-1,17,2,17,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,33
60,ArrayExpression,,-1,-1,17,13,37,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,34
61,ObjectExpression,,-1,-1,18,4,36,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,35
63,Identifier,plugins,-1,-1,19,6,19,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,36
64,ArrayExpression,,-1,-1,19,15,23,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,37
65,CallExpression,resolve,-1,1,20,8,22,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,38
67,Identifier,resolve,-1,-1,20,16,20,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,39
69,Identifier,presets,-1,-1,24,6,24,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,40
70,ArrayExpression,,-1,-1,24,15,34,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,41
71,ArrayExpression,,-1,-1,25,8,33,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,42
72,ObjectExpression,,-1,-1,27,10,32,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,43
74,Identifier,allowDeclareFields,-1,-1,29,12,29,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,44
76,Identifier,allowNamespaces,-1,-1,31,12,31,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/jest/babel.config.js,45
