src,dst
1120,1096
108,73
116,73
128,266
1004,2648
1036,1079
1085,1087
1232,1235
1266,3921
1272,2730
1275,2307
1289,2277
1293,1619
1316,2028
1326,2028
1334,2108
1343,2028
1349,1619
1367,2028
1374,2561
1378,2257
1395,2257
1402,2108
1407,1490
1414,2028
1421,2028
1427,2307
1435,2028
1441,2257
1455,2257
1464,2028
1469,1490
1482,2590
1485,1619
1486,2668
1496,2028
1503,2028
1512,2028
1517,1490
1522,1619
1527,2668
1535,2028
1548,2257
1555,2028
1560,2730
1562,1269
1574,1619
1579,2944
1608,2277
1613,1619
1614,2382
1627,2066
1634,2648
1639,2277
1644,1619
1660,2668
1661,8567
1662,8567
1729,3304
1747,2277
1763,2561
1772,1619
1795,2277
1797,1619
1810,2277
1820,2648
1821,1976
1829,1982
1841,7838
1847,7874
1873,1619
1888,2641
1898,2710
1921,2756
1936,4448
1938,3070
1970,8086
1977,2561
1985,2277
1995,2004
1997,1976
2033,2277
2044,1619
2046,2004
2064,8086
2097,1619
2111,2561
2121,2028
2172,4979
2180,4966
2206,4966
2249,1631
2262,2277
2267,1619
2289,1619
2301,2277
2308,2730
2312,1619
2318,8522
2321,8522
2359,1227
2385,2391
2394,2561
2406,2457
2429,2469
2432,2461
2436,2447
2443,2469
2450,2476
2472,2480
2474,2461
2478,2480
2685,4368
2713,2648
2762,2561
2767,2780
2804,2936
2807,2791
2817,2641
2820,2791
2822,2648
2832,2936
2840,2791
2852,2791
2880,2561
2894,2756
2898,2907
2903,2756
2916,2907
2932,2907
2954,2561
2957,2648
2964,3042
2993,2648
2996,3042
2998,2867
3006,2867
3016,2561
3030,2648
3083,3180
3102,3136
3117,3136
3118,3136
3119,3136
3138,3154
3167,2641
3193,3139
3197,3154
3198,3154
3209,3225
3215,3273
3223,3273
3317,2066
3332,4448
3358,3528
3374,3488
3376,3552
3423,2648
3471,3475
3473,3543
3665,3861
3700,3821
3705,3821
3712,4146
3716,2590
3721,2876
3737,2648
3742,3861
3753,2730
3757,3696
3768,3696
3771,3872
3784,3304
3790,3861
3834,2668
3894,3643
3939,4073
3959,4422
3988,4073
4001,4073
4036,2660
4056,4073
4069,4349
4142,4073
4150,4159
4153,4161
4162,4349
4176,4270
4179,4270
4183,4270
4187,4270
4201,4270
4222,4270
4240,4161
4245,4270
4248,4270
4256,4161
4258,4270
4264,4270
4280,4270
4288,4335
4312,4335
4323,4161
4332,4270
4454,4368
4971,4957
4974,5017
4981,4957
4983,5017
4990,5027
5002,8018
5010,8025
5016,8031
5019,2648
5058,5062
5210,3225
5227,3225
5242,5234
5245,5234
5331,5452
5353,2944
5387,2730
5425,2648
5475,5519
5482,5519
5518,5519
5530,3225
5552,1724
5629,2648
5670,4368
5810,6489
5899,2730
5907,2690
6007,6477
6053,6477
6092,6477
6105,6477
6119,6477
6130,6417
6133,6442
6137,6452
6154,2605
6181,2730
6188,2690
6192,6483
6216,2561
6225,2867
6240,6489
6279,2561
6290,2621
6395,6483
6403,6483
6451,6417
6503,6536
6510,6536
6629,2605
6753,2730
6759,8522
6768,8541
6774,2730
6777,8522
6783,8541
6859,6992
6908,2605
6922,6992
7009,2628
7013,7035
7026,7035
7029,7035
7034,7035
7197,7268
7212,7268
7220,2867
7246,2648
7283,7301
7284,7330
7292,7330
7293,7330
7341,3180
7405,7642
7407,7642
7421,7649
7438,2634
7480,2605
7851,2668
7854,8033
7867,3225
7877,2668
7879,8033
7989,3200
8001,3225
8037,8070
8048,8010
8055,4957
8060,8086
8067,3200
8093,2125
8097,8429
8111,1924
8117,8109
8119,1924
8135,8356
8154,8356
8163,8482
8165,4979
8175,8356
8178,8356
8180,1924
8186,8356
8192,8356
8194,1924
8209,8356
8214,1924
8223,8356
8233,1924
8240,8356
8255,8356
8260,8356
8265,8356
8267,8269
8308,2710
8311,1924
8319,8335
8328,8356
8334,8356
8337,8351
8346,8351
8353,3097
8363,8437
8383,8437
8403,3180
8410,4988
8434,2668
8463,1924
8476,2641
8487,1946
8531,8758
8544,2641
8557,8606
8571,8522
8583,8541
8590,8594
8596,2641
8613,8616
8717,8522
8725,8522
8821,17875
8837,17875
8847,17875
8944,17875
9032,17875
9071,17875
9075,17875
9098,17875
9107,17875
9115,17875
9128,17875
9137,17875
9145,17875
9168,17875
9176,17875
9184,17875
9203,17875
9211,17875
9218,17875
9238,17875
9259,17875
9272,17875
9293,17875
9315,17875
9346,17875
9367,17875
9394,17875
9455,17875
9461,17875
9472,17875
9483,17875
9501,17875
9511,17875
9517,17875
9527,17875
9545,17875
9554,17875
9563,17875
9570,17875
9590,17875
9607,17875
9627,17875
9637,17875
9647,17875
9671,17875
9681,17875
9691,17875
9723,17875
9733,17875
9743,17875
9792,17875
9871,17875
9893,17875
9920,17875
9966,17875
9982,17875
9997,17875
10015,17875
10030,17875
10042,17875
10056,17875
10073,17875
10088,17875
10109,17875
10126,17875
10145,17875
10200,17875
10219,17875
10235,17875
10251,17875
10280,17875
10292,17875
10303,17875
10316,17875
10331,17875
10344,17875
10375,17875
10410,17875
10422,17875
10838,17875
10957,17875
10978,17875
11032,17875
11039,17875
11085,17875
11095,17875
11116,17875
11129,17875
11146,17875
11177,17875
11194,17875
11209,17875
11229,17875
11248,17875
11259,17875
11377,17875
11394,17875
11455,17875
11505,17875
11524,17875
11601,17875
11730,17875
11740,17875
11932,17875
11971,17875
11984,17875
12021,17875
12034,17875
12047,17875
12065,17875
12108,17875
12147,17875
12161,17875
12169,17875
12200,17875
12224,17875
12257,17875
12294,17875
12333,17875
12379,17875
12405,17875
12421,17875
12491,17854
12507,17854
12533,17854
12548,17854
12582,17854
12626,17875
12630,17875
12636,17875
12657,17875
12666,17875
12675,17875
12692,17875
12708,17875
12722,17875
12733,17875
12751,17875
12764,17875
12783,17875
12797,17875
12811,17875
12826,17875
12841,17875
12860,17875
12877,17875
12893,17875
12900,17875
12911,17875
12991,17875
13051,17875
13092,17875
13111,17875
13152,17875
