id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name,new_id
1,Program,,-1,-1,1,0,3,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/benchmark/implementations/current/index.js,0
6,Identifier,module,-1,-1,3,0,3,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/benchmark/implementations/current/index.js,1
7,Identifier,exports,-1,-1,3,7,3,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/benchmark/implementations/current/index.js,2
8,CallExpression,require,-1,1,3,17,3,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/benchmark/implementations/current/index.js,3
9,Identifier,require,-1,-1,3,17,3,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/benchmark/implementations/current/index.js,4
10,Program,,-1,-1,3,0,3874,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,5
12,CallExpression,,-1,2,3,1,3874,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,6
13,FunctionExpression,,2,-1,3,1,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,7
14,Identifier,global,-1,-1,3,11,3,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,8
15,Identifier,factory,-1,-1,3,19,3,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,9
18,ConditionalExpression,,-1,-1,4,2,6,105,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,10
21,UnaryExpression,,-1,-1,4,2,4,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,11
22,Identifier,exports,-1,-1,4,9,4,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,12
24,UnaryExpression,,-1,-1,4,33,4,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,13
25,Identifier,module,-1,-1,4,40,4,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,14
26,CallExpression,factory,-1,1,4,65,4,81,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,15
27,ConditionalExpression,,-1,-1,5,2,6,105,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,16
30,UnaryExpression,,-1,-1,5,2,5,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,17
31,Identifier,define,-1,-1,5,9,5,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,18
33,Identifier,amd,-1,-1,5,41,5,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,19
34,CallExpression,define,-1,2,5,47,5,75,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,20
35,ArrayExpression,,-1,-1,5,54,5,65,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,21
36,SequenceExpression,,-1,-1,6,3,6,104,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,22
38,ConditionalExpression,,-1,-1,6,12,6,75,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,23
40,UnaryExpression,,-1,-1,6,12,6,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,24
41,Identifier,globalThis,-1,-1,6,19,6,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,25
43,Identifier,self,-1,-1,6,71,6,75,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,26
44,CallExpression,factory,-1,1,6,77,6,104,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,27
47,Identifier,jsyaml,-1,-1,6,92,6,98,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,28
48,ObjectExpression,,-1,-1,6,101,6,103,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,29
50,FunctionExpression,,1,-1,7,9,3874,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,30
53,FunctionDeclaration,isNothing,1,-1,9,2,11,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,31
54,Identifier,isNothing,-1,-1,9,11,9,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,32
55,Identifier,subject,-1,-1,9,21,9,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,33
57,ReturnStatement,,-1,-1,10,4,10,66,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,34
60,UnaryExpression,,-1,-1,10,12,10,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,35
62,FunctionDeclaration,isObject,1,-1,14,2,16,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,36
63,Identifier,isObject,-1,-1,14,11,14,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,37
65,ReturnStatement,,-1,-1,15,4,15,63,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,38
68,UnaryExpression,,-1,-1,15,12,15,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,39
70,FunctionDeclaration,toArray,1,-1,19,2,24,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,40
71,Identifier,toArray,-1,-1,19,11,19,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,41
72,Identifier,sequence,-1,-1,19,19,19,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,42
74,IfStatement,,-1,-1,20,4,21,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,43
75,CallExpression,isArray,-1,1,20,8,20,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,44
77,Identifier,Array,-1,-1,20,8,20,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,45
78,Identifier,isArray,-1,-1,20,14,20,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,46
79,ReturnStatement,,-1,-1,20,33,20,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,47
80,IfStatement,,-1,-1,21,9,21,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,48
81,CallExpression,isNothing,-1,1,21,13,21,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,49
82,ReturnStatement,,-1,-1,21,34,21,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,50
83,ArrayExpression,,-1,-1,21,41,21,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,51
84,ReturnStatement,,-1,-1,23,4,23,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,52
85,ArrayExpression,,-1,-1,23,11,23,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,53
86,FunctionDeclaration,extend,2,-1,27,2,40,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,54
87,Identifier,extend,-1,-1,27,11,27,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,55
88,Identifier,target,-1,-1,27,18,27,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,56
89,Identifier,source,-1,-1,27,26,27,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,57
91,VariableDeclaration,,-1,-1,28,4,28,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,58
93,Identifier,index,-1,-1,28,8,28,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,59
95,Identifier,length,-1,-1,28,15,28,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,60
97,Identifier,key,-1,-1,28,23,28,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,61
99,Identifier,sourceKeys,-1,-1,28,28,28,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,62
100,IfStatement,,-1,-1,30,4,37,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,63
104,CallExpression,keys,-1,1,31,19,31,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,64
106,Identifier,Object,-1,-1,31,19,31,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,65
107,Identifier,keys,-1,-1,31,26,31,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,66
108,ForStatement,,-1,-1,33,6,36,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,67
109,SequenceExpression,,-1,-1,33,11,33,48,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,68
123,ReturnStatement,,-1,-1,39,4,39,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,69
124,FunctionDeclaration,repeat,2,-1,43,2,51,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,70
125,Identifier,repeat,-1,-1,43,11,43,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,71
126,Identifier,string,-1,-1,43,18,43,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,72
127,Identifier,count,-1,-1,43,26,43,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,73
129,VariableDeclaration,,-1,-1,44,4,44,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,74
131,Identifier,result,-1,-1,44,8,44,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,75
133,Identifier,cycle,-1,-1,44,21,44,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,76
134,ForStatement,,-1,-1,46,4,48,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,77
141,ReturnStatement,,-1,-1,50,4,50,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,78
142,FunctionDeclaration,isNegativeZero,1,-1,54,2,56,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,79
143,Identifier,isNegativeZero,-1,-1,54,11,54,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/js-yaml/dist/js-yaml.js,80
