src,dst
9735,45197
13072,13066
14111,5522
31216,8028
31234,8028
31251,8028
31260,8028
31281,8028
36848,8862
43149,43150
4966,7153
5086,45227
5088,44540
5114,44540
5159,44372
5179,8862
5289,7674
5340,7535
5358,8517
5427,7303
5470,5449
5474,5438
5498,5487
5500,5504
5502,5449
5503,5475
5507,5438
5512,5460
5517,5504
5529,5487
5533,5468
5535,5449
5537,5438
5539,5449
5630,5884
5705,6970
5730,7561
5732,6970
5736,6970
5761,7561
5763,6970
5767,6970
5800,8862
5802,44372
5820,44372
5823,8862
6073,6955
6081,6095
6111,44372
6152,7674
6169,7674
6188,7674
6311,6271
6453,8517
6567,7181
6572,6922
6620,7181
6625,6922
6675,44372
6695,8862
6715,7674
6741,7561
6744,7674
6746,7561
6775,7561
6778,7674
6869,7561
6900,6955
6912,6858
6926,7312
6948,7312
6960,7181
6974,7312
6975,6955
6988,7312
7038,7312
7052,7312
7055,7325
7086,6955
7093,7017
7094,7437
7094,7440
7095,6922
7158,7312
7169,7325
7207,7312
7271,7303
7299,7312
7330,7312
7365,7312
7387,7312
7441,7312
7464,7312
7478,7312
7493,45227
7495,44540
7518,8517
7540,6955
7600,44372
7626,45227
7628,44540
7813,7411
7824,7834
7869,28992
7872,28983
7877,28997
7929,6858
7942,6858
7968,7411
8031,8004
8041,5048
8084,7674
8129,5943
8147,8920
8255,8517
8302,7674
8361,8367
8434,7674
8462,44350
8464,44350
8584,5982
8584,6007
8585,7983
8755,8862
8845,6955
8848,7394
8906,45227
8908,44540
8998,5884
9045,5884
9106,7361
9106,7364
9128,45227
9231,8862
9251,8862
9384,43146
9388,43146
9402,5698
9406,9396
9408,5698
9411,44898
9415,9396
9417,44898
9423,5259
9426,9396
9428,5790
9430,9396
9432,5812
9434,9396
9436,5831
9439,9396
9441,5845
9444,9396
9447,9396
9449,6095
9450,9396
9452,6194
9454,9396
9456,6628
9457,9396
9459,6660
9460,9396
9462,6687
9465,9396
9467,6709
9470,9396
9472,7561
9473,9396
9475,7584
9476,9396
9478,8960
9479,9396
9481,8986
9482,9396
9484,9007
9485,9396
9487,9033
9488,9396
9490,9200
9493,9396
9495,9220
9497,9396
9499,9238
9501,9396
9503,9258
9505,9396
9507,9272
9509,9396
9511,44964
9514,9396
9516,45197
9519,9396
9521,45314
9530,9396
9536,5698
9538,9533
9540,6709
9542,9533
9544,44898
9545,9533
9547,45251
9548,9533
9554,5698
9555,9551
9557,6709
9559,9551
9561,44898
9562,9551
9725,42833
9728,5698
9731,6709
9733,44964
9766,6448
9866,4914
9875,9859
9877,9859
9879,9859
9881,9859
9885,9859
9891,4914
10321,4942
10329,4942
10358,4942
10363,4942
10366,4942
10373,4942
10392,4942
10399,4942
10406,4942
10413,4942
10425,4942
10426,10419
10458,4942
10469,42836
10488,42836
10499,4942
10508,4942
10538,4953
10545,4953
10565,4953
10572,4953
10584,4953
10587,43093
10598,4953
10701,10690
10740,10711
10753,10711
10770,10711
10776,43132
10791,10711
10806,10711
10816,10711
10848,10832
10850,10832
10852,10832
10854,10832
10858,10832
10894,43146
11117,5083
11119,5083
11121,5083
11123,5083
11125,5083
11127,5083
11136,5083
11141,5083
11146,5083
11162,5110
11164,5110
11166,5110
11218,11219
11316,11317
11373,5118
11377,5118
11552,5151
11561,5151
11592,5151
11593,5151
11613,5151
11618,5151
11642,5183
11644,5183
11648,5183
11653,5183
11658,5183
11666,5183
11669,5183
11672,5183
11677,5183
11682,5183
11687,5183
11694,5183
11697,5183
11700,5183
11705,5183
11710,5183
11715,5183
11722,5183
11730,5183
11736,5183
11739,5183
11833,11803
11882,5218
11896,5218
11904,5232
11907,7561
12010,11803
12015,11803
12021,11803
12053,12038
12220,11803
12302,5259
12341,5259
12342,8862
12357,5259
12358,8862
12647,5334
12659,12638
12671,12638
12697,12638
12698,12682
12707,12638
12714,12644
12723,12638
12728,12644
12730,12644
12741,12638
12748,12638
12753,12644
12754,12746
12765,12638
12776,12644
12777,12644
12786,12638
12794,12644
12795,12644
12807,12638
12809,12644
12833,5320
12945,5353
12971,5353
12972,5353
12977,5353
12984,5353
13002,5353
13005,5353
13010,5353
13042,5353
13078,5373
13082,13070
13097,5373
13099,13070
13119,5373
13121,13113
13136,5373
13137,13133
13151,5373
13152,5373
13166,5373
13167,5373
13188,7535
13854,5395
13862,5522
13863,5522
13864,5522
13877,5522
13878,5522
13879,5522
13890,5395
13891,5522
13896,5522
13900,5522
13905,5395
13908,5522
13909,5522
13918,5395
13922,5522
13935,5395
13941,5395
13945,5522
13947,5522
13948,5522
13954,5522
13960,5395
13963,5522
13964,5522
13971,5522
13972,5522
13983,5395
13989,5395
13993,5522
13995,5522
14006,5395
14011,5522
14012,5522
14017,5522
14018,5522
14031,5395
14037,5395
14047,5522
14048,5522
14064,5395
14068,5522
14080,5395
14084,5522
14087,5522
14099,5395
14168,5570
14202,5579
14226,5611
14237,5611
14242,5611
14250,5611
14259,5611
14269,5611
14291,5611
14295,5611
14328,5643
14347,5643
14351,5643
14362,5643
14374,5643
14379,5643
14383,5643
14396,5643
14405,5643
14429,5643
14439,5643
14453,5643
14478,5655
14490,5655
14505,5655
14532,5671
14548,5671
14562,5671
14574,5671
14591,5671
14778,5723
14786,5723
14799,5723
14835,5754
14866,5754
14930,5790
14950,5790
14962,5790
14972,5790
14977,5790
14990,42833
15009,5790
15010,5790
15021,5790
15023,5790
15037,5790
15039,5790
15041,5790
15070,5812
15090,5812
15102,5812
15112,5812
15117,5812
15130,42833
15150,5812
15151,5812
15162,5812
15164,5812
15179,5812
15181,5812
15183,5812
15211,5831
15222,5831
15232,5831
15238,5831
15244,5831
15294,5845
15305,5845
15315,5845
15321,5845
15327,5845
15338,5845
15402,5864
15406,5864
15410,5864
15420,5864
15432,5864
15453,5864
15455,5864
15459,5864
15475,5884
15477,5884
15480,5884
15483,5884
15486,5884
15488,5884
15490,5884
15494,5884
15496,5884
15501,5884
15503,5884
15529,5912
15533,5912
15537,5912
15538,44876
15547,5912
15572,5932
15576,5932
15594,5932
15595,5932
15640,5943
15650,5943
15659,5943
15677,5943
15678,5943
15687,5943
15688,5943
15698,5943
15700,5943
15708,5943
15711,5943
16211,42833
16213,42833
16318,5982
16358,42836
16363,42833
16377,42836
16432,42772
16434,42772
16462,42772
16464,42772
16466,42772
16479,42772
16489,42772
16491,42772
16494,42772
16504,42772
16507,42772
16524,42772
16679,6323
16695,6323
16763,6060
16765,6060
16790,6060
16792,6060
16794,6060
16809,6060
16818,6060
16820,6060
16823,6060
16832,6060
16835,6060
16852,6060
16901,42772
16906,42772
16932,42772
16935,42772
16937,42772
16944,42772
16959,42772
16975,42772
16981,42772
17050,17041
17139,6178
17165,6178
17166,6178
17177,6178
17185,6178
17228,6194
17231,6211
17234,6226
17292,6194
17292,6211
17292,6226
17311,6194
17319,6211
17322,6226
17329,6194
17334,6211
17337,6226
17347,6194
17349,6211
17351,6226
17401,6226
17414,6226
17422,6226
17449,6244
17452,6253
17627,17618
17797,6404
17811,6404
17812,17804
18077,6448
18107,6448
18108,6448
18113,6448
18122,6448
18142,6448
18150,6448
18160,6448
18202,6448
18218,6470
18220,6470
18224,6470
18226,6470
18228,6470
18230,6470
18246,6483
18248,6483
18250,6483
18252,6483
18256,6483
18258,6483
18293,43146
18417,18405
18475,18467
18488,18480
18587,6628
18591,6628
18710,6640
18712,6640
18714,6640
18718,6640
18720,6640
18722,6640
18724,6640
18734,6640
18736,6640
18738,6640
18742,6640
18744,6640
18751,6640
18753,6640
18755,6640
18757,6640
18763,6640
18764,6640
18765,6640
18766,6640
18768,6640
18793,18794
19061,6660
19065,6660
19091,6660
19093,6660
19094,6660
19100,6660
19114,6660
19124,6660
19129,6660
19168,6687
