id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name,new_id
1,Program,,-1,-1,10,0,544,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,0
6,Identifier,module,-1,-1,17,0,17,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,1
7,Identifier,exports,-1,-1,17,7,17,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,2
8,Identifier,morgan,-1,-1,17,17,17,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,3
13,Identifier,compile,-1,-1,18,15,18,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,4
18,Identifier,format,-1,-1,19,15,19,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,5
23,Identifier,token,-1,-1,20,15,20,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,6
24,VariableDeclaration,,-1,-1,27,0,27,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,7
26,Identifier,auth,-1,-1,27,4,27,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,8
27,CallExpression,require,-1,1,27,11,27,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,9
28,Identifier,require,-1,-1,27,11,27,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,10
29,VariableDeclaration,,-1,-1,28,0,28,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,11
31,Identifier,debug,-1,-1,28,4,28,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,12
32,CallExpression,,-1,1,28,12,28,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,13
33,CallExpression,require,-1,1,28,12,28,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,14
34,VariableDeclaration,,-1,-1,29,0,29,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,15
36,Identifier,deprecate,-1,-1,29,4,29,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,16
37,CallExpression,,-1,1,29,16,29,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,17
38,CallExpression,require,-1,1,29,16,29,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,18
39,VariableDeclaration,,-1,-1,30,0,30,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,19
41,Identifier,onFinished,-1,-1,30,4,30,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,20
42,CallExpression,require,-1,1,30,17,30,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,21
43,VariableDeclaration,,-1,-1,31,0,31,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,22
45,Identifier,onHeaders,-1,-1,31,4,31,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,23
46,CallExpression,require,-1,1,31,16,31,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,24
47,VariableDeclaration,,-1,-1,38,0,41,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,25
49,Identifier,CLF_MONTH,-1,-1,38,4,38,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,26
50,ArrayExpression,,-1,-1,38,16,41,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,27
51,VariableDeclaration,,-1,-1,48,0,48,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,28
53,Identifier,DEFAULT_BUFFER_DURATION,-1,-1,48,4,48,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,29
54,FunctionDeclaration,morgan,2,-1,59,0,146,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,30
55,Identifier,options,-1,-1,59,25,59,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,31
57,VariableDeclaration,,-1,-1,60,2,60,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,32
59,Identifier,fmt,-1,-1,60,6,60,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,33
60,VariableDeclaration,,-1,-1,61,2,61,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,34
62,Identifier,opts,-1,-1,61,6,61,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,35
64,ObjectExpression,,-1,-1,61,24,61,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,36
65,IfStatement,,-1,-1,63,2,69,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,37
68,UnaryExpression,,-1,-1,63,16,63,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,38
77,CallExpression,deprecate,-1,1,68,4,68,129,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,39
80,ConditionalExpression,,-1,-1,68,48,68,104,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,40
82,UnaryExpression,,-1,-1,68,48,68,58,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,41
83,CallExpression,stringify,-1,1,68,74,68,93,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,42
85,Identifier,JSON,-1,-1,68,74,68,78,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,43
86,Identifier,stringify,-1,-1,68,79,68,88,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,44
87,IfStatement,,-1,-1,71,2,73,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,45
89,Identifier,undefined,-1,-1,71,14,71,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,46
92,CallExpression,deprecate,-1,1,72,4,72,51,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,47
93,VariableDeclaration,,-1,-1,76,2,76,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,48
95,Identifier,immediate,-1,-1,76,6,76,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,49
97,VariableDeclaration,,-1,-1,79,2,79,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,50
99,Identifier,skip,-1,-1,79,6,79,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,51
102,VariableDeclaration,,-1,-1,82,2,84,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,52
104,Identifier,formatLine,-1,-1,82,6,82,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,53
105,ConditionalExpression,,-1,-1,82,19,84,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,54
107,UnaryExpression,,-1,-1,82,19,82,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,55
108,CallExpression,getFormatFunction,-1,1,83,6,83,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,56
109,Identifier,getFormatFunction,-1,-1,83,6,83,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,57
110,VariableDeclaration,,-1,-1,87,2,87,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,58
112,Identifier,buffer,-1,-1,87,6,87,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,59
114,VariableDeclaration,,-1,-1,88,2,88,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,60
116,Identifier,stream,-1,-1,88,6,88,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,61
120,Identifier,process,-1,-1,88,30,88,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,62
121,Identifier,stdout,-1,-1,88,38,88,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,63
122,IfStatement,,-1,-1,91,2,101,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,64
125,CallExpression,deprecate,-1,1,92,4,92,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,65
126,VariableDeclaration,,-1,-1,95,4,97,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,66
128,Identifier,interval,-1,-1,95,8,95,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,67
129,ConditionalExpression,,-1,-1,95,19,97,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,68
131,UnaryExpression,,-1,-1,95,19,95,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,69
134,CallExpression,createBufferStream,-1,2,100,13,100,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,70
135,Identifier,createBufferStream,-1,-1,100,13,100,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,71
136,ReturnStatement,,-1,-1,103,2,145,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,72
137,FunctionExpression,logger,3,-1,103,9,145,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,73
138,Identifier,logger,-1,-1,103,18,103,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,74
139,Identifier,req,-1,-1,103,26,103,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,75
140,Identifier,res,-1,-1,103,31,103,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,76
141,Identifier,next,-1,-1,103,36,103,40,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,77
146,Identifier,_startAt,-1,-1,105,8,105,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,78
150,Identifier,_startTime,-1,-1,106,8,106,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,79
154,Identifier,_remoteAddress,-1,-1,107,8,107,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,80
155,CallExpression,getip,-1,1,107,25,107,35,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,81
156,Identifier,getip,-1,-1,107,25,107,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,82
164,CallExpression,call,-1,1,114,4,114,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,83
166,Identifier,recordStartTime,-1,-1,114,4,114,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,84
167,Identifier,call,-1,-1,114,20,114,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,85
168,FunctionDeclaration,logRequest,0,-1,116,4,131,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,86
169,Identifier,logRequest,-1,-1,116,13,116,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,87
171,IfStatement,,-1,-1,117,6,120,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,88
174,CallExpression,skip,-1,2,117,28,117,42,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,89
177,CallExpression,debug,-1,1,118,8,118,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,90
178,ReturnStatement,,-1,-1,119,8,119,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,91
179,VariableDeclaration,,-1,-1,122,6,122,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,92
181,Identifier,line,-1,-1,122,10,122,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js,93
