id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name,new_id
1,Program,,-1,-1,1,0,10,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/abort-error.js,0
2,ImportDeclaration,,-1,-1,1,0,1,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/abort-error.js,1
3,ImportSpecifier,,-1,-1,1,8,1,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/abort-error.js,2
4,Identifier,FetchBaseError,-1,-1,1,8,1,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/abort-error.js,3
5,ExportNamedDeclaration,,-1,-1,6,0,10,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/abort-error.js,4
6,ClassDeclaration,,-1,-1,6,7,10,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/abort-error.js,5
7,Identifier,AbortError,-1,-1,6,13,6,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/abort-error.js,6
8,ClassBody,,-1,-1,6,47,10,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/abort-error.js,7
9,MethodDefinition,,-1,-1,7,1,9,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/abort-error.js,8
10,Identifier,constructor,-1,-1,7,1,7,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/abort-error.js,9
11,FunctionExpression,,2,-1,7,12,9,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/abort-error.js,10
12,Identifier,message,-1,-1,7,13,7,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/abort-error.js,11
13,AssignmentPattern,,-1,-1,7,22,7,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/abort-error.js,12
14,Identifier,type,-1,-1,7,22,7,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/abort-error.js,13
17,CallExpression,,-1,2,8,2,8,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/abort-error.js,14
18,Super,,-1,-1,8,2,8,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/abort-error.js,15
19,Program,,-1,-1,1,0,17,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/base.js,16
20,ExportNamedDeclaration,,-1,-1,1,0,17,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/base.js,17
21,ClassDeclaration,,-1,-1,1,7,17,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/base.js,18
22,Identifier,FetchBaseError,-1,-1,1,13,1,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/base.js,19
23,Identifier,Error,-1,-1,1,36,1,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/base.js,20
24,ClassBody,,-1,-1,1,42,17,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/base.js,21
25,MethodDefinition,,-1,-1,2,1,8,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/base.js,22
26,Identifier,constructor,-1,-1,2,1,2,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/base.js,23
27,FunctionExpression,,2,-1,2,12,8,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/base.js,24
28,Identifier,message,-1,-1,2,13,2,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/base.js,25
29,Identifier,type,-1,-1,2,22,2,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/base.js,26
32,CallExpression,,-1,1,3,2,3,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/base.js,27
33,Super,,-1,-1,3,2,3,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/base.js,28
35,CallExpression,captureStackTrace,-1,2,5,2,5,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/base.js,29
37,Identifier,captureStackTrace,-1,-1,5,8,5,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/base.js,30
45,MethodDefinition,,-1,-1,10,1,12,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/base.js,31
46,Identifier,name,-1,-1,10,5,10,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/base.js,32
47,FunctionExpression,,0,-1,10,9,12,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-fetch/src/errors/base.js,33
