id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name,new_id
1,Program,,-1,-1,1,0,3,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/benchclean.js,0
2,VariableDeclaration,,-1,-1,1,0,1,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/benchclean.js,1
4,Identifier,rimraf,-1,-1,1,4,1,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/benchclean.js,2
5,CallExpression,require,-1,1,1,13,1,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/benchclean.js,3
6,Identifier,require,-1,-1,1,13,1,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/benchclean.js,4
7,VariableDeclaration,,-1,-1,2,0,2,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/benchclean.js,5
9,Identifier,bf,-1,-1,2,4,2,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/benchclean.js,6
11,CallExpression,sync,-1,1,3,0,3,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/benchclean.js,7
13,Identifier,sync,-1,-1,3,7,3,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/benchclean.js,8
14,Program,,-1,-1,1,0,12,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,9
15,VariableDeclaration,,-1,-1,1,0,1,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,10
17,Identifier,Glob,-1,-1,1,4,1,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,11
19,CallExpression,require,-1,1,1,11,1,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,12
20,Identifier,require,-1,-1,1,11,1,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,13
21,VariableDeclaration,,-1,-1,3,0,3,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,14
23,Identifier,pattern,-1,-1,3,4,3,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,15
25,CallExpression,log,-1,1,4,0,4,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,16
27,Identifier,console,-1,-1,4,0,4,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,17
28,Identifier,log,-1,-1,4,8,4,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,18
29,VariableDeclaration,,-1,-1,6,0,11,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,19
31,Identifier,mg,-1,-1,6,4,6,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,20
32,NewExpression,Glob,-1,3,6,9,11,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,21
33,ObjectExpression,,-1,-1,6,27,6,53,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,22
35,Identifier,mark,-1,-1,6,29,6,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,23
37,Identifier,sync,-1,-1,6,41,6,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,24
38,FunctionExpression,,2,-1,6,55,11,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,25
39,Identifier,er,-1,-1,7,2,7,4,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,26
40,Identifier,matches,-1,-1,8,2,8,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,27
43,CallExpression,log,-1,2,10,2,10,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,28
46,CallExpression,log,-1,1,12,0,12,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/g.js,29
48,Program,,-1,-1,1,0,9,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/usr-local.js,30
49,VariableDeclaration,,-1,-1,1,0,1,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/usr-local.js,31
51,Identifier,Glob,-1,-1,1,4,1,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/usr-local.js,32
53,CallExpression,require,-1,1,1,11,1,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/usr-local.js,33
54,Identifier,require,-1,-1,1,11,1,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/usr-local.js,34
55,VariableDeclaration,,-1,-1,3,0,3,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/usr-local.js,35
57,Identifier,pattern,-1,-1,3,4,3,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/usr-local.js,36
59,CallExpression,log,-1,1,4,0,4,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/usr-local.js,37
61,Identifier,console,-1,-1,4,0,4,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/usr-local.js,38
62,Identifier,log,-1,-1,4,8,4,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/usr-local.js,39
63,VariableDeclaration,,-1,-1,6,0,8,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/usr-local.js,40
65,Identifier,mg,-1,-1,6,4,6,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/usr-local.js,41
66,NewExpression,Glob,-1,3,6,9,8,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/usr-local.js,42
67,ObjectExpression,,-1,-1,6,27,6,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/usr-local.js,43
69,Identifier,mark,-1,-1,6,29,6,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/usr-local.js,44
70,FunctionExpression,,2,-1,6,43,8,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/usr-local.js,45
71,Identifier,er,-1,-1,6,53,6,55,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/usr-local.js,46
72,Identifier,matches,-1,-1,6,57,6,64,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-glob/examples/usr-local.js,47
