id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name,new_id
1,Program,,-1,-1,5,0,20,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,0
2,VariableDeclaration,,-1,-1,5,0,5,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,1
4,Identifier,errors,-1,-1,5,4,5,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,2
5,CallExpression,require,-1,1,5,13,5,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,3
6,Identifier,require,-1,-1,5,13,5,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,4
10,Identifier,module,-1,-1,10,0,10,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,5
11,Identifier,exports,-1,-1,10,7,10,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,6
12,FunctionExpression,,1,-1,10,17,20,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,7
13,Identifier,ext,-1,-1,10,26,10,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,8
15,IfStatement,,-1,-1,11,2,17,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,9
16,UnaryExpression,,-1,-1,11,6,11,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,10
17,CallExpression,hasBinary,-1,1,11,7,11,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,11
19,Identifier,hasBinary,-1,-1,11,11,11,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,12
20,CallExpression,getBinaryPath,-1,0,11,21,11,40,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,13
22,Identifier,getBinaryPath,-1,-1,11,25,11,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,14
24,IfStatement,,-1,-1,12,4,16,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,15
25,UnaryExpression,,-1,-1,12,8,12,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,16
26,CallExpression,isSupportedEnvironment,-1,0,12,9,12,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,17
28,Identifier,isSupportedEnvironment,-1,-1,12,13,12,35,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,18
30,ThrowStatement,,-1,-1,13,6,13,55,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,19
31,NewExpression,Error,-1,1,13,12,13,54,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,20
32,Identifier,Error,-1,-1,13,16,13,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,21
33,CallExpression,unsupportedEnvironment,-1,0,13,22,13,53,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,22
35,Identifier,unsupportedEnvironment,-1,-1,13,29,13,51,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,23
37,ThrowStatement,,-1,-1,15,6,15,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,24
38,NewExpression,Error,-1,1,15,12,15,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,25
39,CallExpression,missingBinary,-1,0,15,22,15,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,26
41,Identifier,missingBinary,-1,-1,15,29,15,42,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,27
42,ReturnStatement,,-1,-1,19,2,19,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,28
43,CallExpression,require,-1,1,19,9,19,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,29
44,CallExpression,getBinaryPath,-1,0,19,17,19,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/binding.js,30
46,Program,,-1,-1,5,0,49,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/errors.js,31
47,VariableDeclaration,,-1,-1,5,0,6,35,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/errors.js,32
49,Identifier,sass,-1,-1,5,4,5,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-sass/lib/errors.js,33
