src,dst
338,978
341,1028
349,1113
352,1073
374,978
376,1028
381,1113
384,1073
411,978
413,1028
421,1113
424,1073
950,915
1077,1187
1094,1006
1095,1215
1116,1187
1206,1166
1268,1215
1322,978
1325,1028
1333,1113
1336,1073
1344,978
1347,1113
1350,1073
1368,978
1370,1028
1378,1113
1381,1073
1415,978
1418,1028
1426,1113
1429,1073
1441,978
1444,1113
1447,1073
1473,978
1475,1028
1480,1113
1483,1073
1506,978
1514,1113
1517,1073
1545,978
1566,1113
1569,1073
1604,978
1606,1028
1614,1113
1617,1073
1626,978
1628,1028
1633,1113
1636,1073
1668,978
1671,1113
1674,1073
1697,978
1700,1113
1703,1073
1725,978
1728,1113
1731,1073
1753,978
1756,1113
1759,1073
1775,978
1778,1113
1781,1073
1819,978
1822,1028
1830,1113
1833,1073
1848,978
1850,1028
1877,1113
1880,1073
1890,978
1892,1028
1909,1113
1912,1073
1922,978
1924,1028
1931,1113
1934,1073
1950,978
1952,1028
1957,1113
1960,1073
1974,978
1976,1028
1981,1113
1984,1073
1998,978
2000,1028
2005,1113
2008,1073
2018,978
2020,1028
2025,1113
2028,1073
2038,978
2040,1028
2045,1113
2048,1073
2061,978
2063,1028
2068,1113
2071,1073
2082,978
2084,1028
2089,1113
2092,1073
2103,978
2105,1028
2110,1113
2113,1073
2124,978
2126,1028
2131,1113
2134,1073
2143,978
2146,1113
2149,1073
2158,978
2160,1028
2165,1113
2168,1073
2178,978
2180,1028
2185,1113
2188,1073
2203,978
2205,1028
2210,1113
2213,1073
2222,978
2225,1113
2228,1073
2237,978
2239,1028
2244,1113
2247,1073
2257,978
2259,1028
2264,1113
2267,1073
2276,978
2279,1113
2283,1073
2323,978
2325,1028
2330,1113
2333,1073
2348,978
2350,1028
2355,1113
2358,1073
2368,978
2370,1028
2375,1113
2378,1073
2388,978
2390,1028
2395,1113
2398,1073
2411,978
2413,1028
2418,1113
2421,1073
2432,978
2434,1028
2439,1113
2442,1073
2452,978
2454,1028
2459,1113
2462,1073
2476,978
2478,1028
2483,1113
2486,1073
2498,978
2500,1028
2505,1113
2508,1073
2521,978
2523,1028
2528,1113
2531,1073
2543,978
2545,1028
2550,1113
2553,1073
2563,978
2566,1113
2569,1073
2580,978
2583,1113
2586,1073
2597,978
2599,1028
2604,1113
2607,1073
2620,978
2622,1028
2627,1113
2630,1073
2639,978
2641,1028
2646,1113
2649,1073
2658,978
2660,1028
2665,1113
2668,1073
2678,978
2680,1028
2685,1113
2688,1073
2697,978
2699,1028
2704,1113
2707,1073
2716,978
2718,1028
2723,1113
2726,1073
2736,978
2738,1028
2743,1113
2746,1073
2756,978
2758,1028
2763,1113
2766,1073
2776,978
2778,1028
2783,1113
2786,1073
2796,978
2799,1113
2802,1073
2812,978
2815,1113
2818,1073
2828,978
2831,1028
2852,1113
2855,1073
2865,978
2867,1028
2872,1113
2875,1073
2891,978
2893,1028
2906,1113
2909,1073
2947,978
2951,1028
2988,1113
2991,1073
3001,978
3004,1028
3027,1113
3030,1073
3040,978
3043,1028
3066,1113
3069,1073
3084,978
3087,1028
3108,1113
3111,1073
3151,978
3154,1028
3162,1113
3165,1073
3192,978
3195,1028
3213,1113
3216,1073
3226,978
3229,1028
3236,1113
3239,1073
3249,978
3252,1028
3259,1113
3262,1073
3272,978
3275,1028
3282,1113
3285,1073
3307,978
3310,1028
3333,1113
3336,1073
3357,978
3360,1028
3383,1113
3386,1073
3397,978
3400,1028
3405,1113
3408,1073
3419,978
3422,1028
3427,1113
3430,1073
3548,3522
3581,978
3619,3536
