src,dst
379,238
79,81
80,47
102,55
113,55
124,55
232,344
244,254
248,216
249,266
251,339
262,216
263,238
264,266
265,339
270,847
280,282
290,300
292,325
296,197
298,325
299,300
304,325
310,188
313,325
315,329
320,344
324,329
327,860
328,329
331,266
338,266
348,206
353,300
358,325
361,325
382,238
398,416
402,416
405,416
408,416
412,416
415,416
420,216
450,216
456,216
461,416
486,464
486,472
488,216
508,497
513,497
519,216
521,238
523,497
531,497
556,238
556,216
559,532
563,482
565,464
565,472
569,216
576,216
579,464
579,472
583,238
583,426
587,238
606,216
610,464
610,472
627,588
630,588
634,238
634,426
647,238
653,238
653,426
662,238
662,426
694,701
697,728
792,216
804,238
839,831
854,885
873,907
878,907
883,895
891,2355
894,2355
896,2355
906,2355
928,963
933,963
937,963
947,931
959,935
2011,2004
2028,2021
2042,2034
2057,2050
2072,2066
2081,2066
2135,2355
2138,2100
