src,dst
61,3
61,18
69,3
69,18
89,194
218,323
221,323
223,323
225,323
227,323
229,323
231,323
233,323
235,343
240,375
243,388
248,528
305,169
305,174
311,266
313,266
330,669
335,682
338,266
342,274
345,274
352,266
360,669
362,266
374,274
382,669
384,266
387,274
396,669
398,266
401,274
411,708
414,266
417,274
426,169
426,174
427,169
427,174
435,260
448,682
455,266
458,274
464,266
467,669
470,266
481,274
488,169
488,174
498,169
498,174
499,695
525,266
527,274
532,604
535,266
538,274
542,266
548,669
551,266
558,539
559,682
566,274
571,669
574,266
586,539
587,682
591,266
603,274
624,204
640,604
650,604
679,656
687,669
697,682
732,194
735,102
