src,dst
2251,2247
6523,6512
1,2
9,29
28,29
34,41
34,36
34,35
78,41
85,41
245,173
252,159
272,173
360,266
415,363
426,190
439,311
551,498
558,498
567,505
638,475
639,517
701,645
738,475
739,517
759,760
841,798
855,811
867,811
964,776
1152,1151
1195,1196
1232,1220
1243,1220
1288,1220
1289,1220
1302,1220
1325,1220
1332,1220
1362,1220
1363,1220
1369,1173
1371,1173
1373,1173
1376,1366
1381,1366
1383,1220
1504,1366
1528,1466
1533,1493
1837,2218
1845,2249
1850,2249
1859,2249
1865,2249
1872,2249
1890,2361
1901,1796
1909,1796
1920,2176
1922,2410
1928,2265
1942,2249
1944,1839
1946,1839
1950,2188
1952,2255
1955,2432
1962,2218
1973,2388
1976,2348
1990,2166
1992,2172
1999,2176
2004,2432
2007,2402
2010,2425
2015,2194
2018,2432
2027,1930
2047,2277
2056,1930
2057,1930
2059,2393
2063,2318
2072,1930
2074,2393
2077,2292
2080,2390
2083,2333
2086,2390
2088,2307
2091,2390
2093,2206
2096,2388
2097,1930
2100,2235
2103,2388
2104,1930
2107,2212
2110,2388
2113,2200
2116,2388
2117,1930
2121,2182
2124,2188
2127,2432
2131,1793
2141,2252
2161,2425
2178,2252
2184,2252
2190,2252
2196,2252
2202,2252
2208,2252
2214,2252
2369,2361
2376,2166
2399,2425
2407,2265
2435,2176
2443,2249
2462,2249
2540,2526
2546,2526
2555,2526
2570,2588
2587,2536
2601,2551
2620,2544
2781,3481
2783,3481
2786,3613
2788,2714
2793,3481
2795,2698
2805,3605
2816,2714
2904,2810
2944,3588
2961,2907
2972,2731
2985,2855
2987,3406
2992,3554
3121,3062
3124,3613
3130,3062
3137,3502
3139,3071
3140,3593
3146,3502
3151,3502
3169,3613
3213,3032
3214,3084
3289,3220
3318,3032
3319,3084
3345,3346
3439,3389
3453,3406
3468,3406
3584,3364
3794,2959
3798,2959
3802,2959
3807,2959
3811,2959
3815,2959
3820,2959
3823,2959
3826,2959
3829,2959
3832,2959
